account_id,summoner_name,match_id,position,playtime,kills,deaths,assists,totalDamageDealtToChampions,totalHeal,damageSelfMitigated,visionScore,timeCCingOthers,totalDamageTaken,goldEarned,totalMinionsKilled,neutralMinionsKilled,neutralMinionsKilledEnemyJungle,totalTimeCrowdControlDealt,visionWardsBoughtInGame,wardsPlaced,wardsKilled,killsRatio,deathsRatio
RZGWvNjIOKDPRM1GtygXhiOGHBHjgLJElBGmc0ijXmvg01s,짜오짜오반점,4541946851,mid,2013,4,3,18,15574,6447,36699,27,39,25508,10516,109,8,0,437,4,11,2,0.6285714285714286,0.12
Ph-octw7cgKAy2rlP2H74rvWO7gqmR7bo-A_f4P2GBUJLiw,김 망 뚱,4529288161,mid,1235,2,10,4,10264,1826,5628,24,10,15518,6704,107,0,0,21,5,11,5,0.5,0.2702702702702703
Srm2VwE5JSM6x-15Plf_cVGrv_DHq5VIwohEhNfRbzX3_4I,탈론표장작구이,4529288161,mid,1235,10,3,10,15041,4558,8261,12,15,15570,10488,109,16,4,74,2,6,0,0.5405405405405406,0.25
dB5e6oNrcWZ8sNWig6E_PvvN0PcNiHIjSVQZwssHTWZ0_srjhKfPOWWJ,넘버원12,4540572322,mid,1753,5,12,8,19515,7094,18707,20,1,32173,8289,84,0,0,22,1,8,0,0.325,0.3157894736842105
SXRJJ-_VnA8e1fUajDLZNfsXTqqe9RxBQ35mTa4Lrxb5ZdY,너만에 서폿,4540572322,mid,1753,12,6,9,24973,7479,19962,16,18,28990,13438,186,11,3,89,1,7,3,0.5526315789473685,0.15
u6Iv_cXlIJRPt7Dqw4QgzrwfM2oW3W5VwEITWWYNZSBa6po,김인직말실수,4541540848,mid,1633,8,10,2,18956,4656,27855,21,5,27360,9187,85,10,2,22,2,10,2,0.5,0.3448275862068966
06Nc1_95WmCSw8B24CkJLOYYi2HUQvlQF89IpI0Yre1ZWZMaPtrL_eIZ,감스트 김인직,4541540848,mid,1633,10,3,4,19071,2371,24053,17,31,20742,14085,188,4,0,99,1,7,3,0.4827586206896552,0.15
uwpYHCn8FMol7fkBFHGzzD6rPGcay3Al0fnhi4Nk_WyGki34n4STM8qJ,싸 짜,4515766018,mid,2277,8,9,2,16043,3214,20416,45,4,26705,13666,260,4,0,122,6,18,5,0.2631578947368421,0.15
M5vyNCHGmBM000Imcn1cbU3k4VuNv4I3skpu6o8txW9xiZj65HCDEQ-h,roingg,4541771457,mid,1905,9,6,6,22254,1689,14377,26,35,19846,10550,126,8,0,120,4,10,1,0.5357142857142857,0.2
qbUG0iZSor8xv7x8Lp1sdkH-nJocxULviTMmtvUegnPlQ5za0abeUr_f,ADGG,4541771457,mid,1905,5,6,10,27117,4588,56856,32,55,31057,12758,177,12,8,690,3,6,2,0.5,0.21428571428571427
3hjUgnKKekJzLek0y2OUdpi4XC1MgbnLk946MNmZXkR8yIw,나 어때 잘하지,4467763245,mid,1639,9,3,13,29179,4879,8160,27,30,13736,12559,138,12,0,71,3,12,0,0.6285714285714286,0.14285714285714285
2SzrrZrU0SybXbdZ1RWbLTpi9HVQYkmdVw1vaQi38CQ4AHMNRDjySv6n,만능혜지,4467763245,mid,1639,3,5,5,8588,882,4007,24,20,10398,7771,123,0,0,94,6,11,2,0.38095238095238093,0.14285714285714285
gld6PeEVCFXzsBrbDIYCOQ6Vu51-Z-7CAZtE-fBkApdyze0M3gmq89k9,사마귀와진딧물,4522944975,mid,1435,20,3,2,30274,1605,8399,21,8,14251,14106,155,4,4,91,3,5,5,0.5945945945945946,0.13043478260869565
nhsA8foeGojh4c93UXcZREC6arPvWl1ULEGy0AJblC_E565QO2A5V3DU,친도에,4522944975,mid,1435,3,9,4,9328,2574,8926,13,3,20934,6471,93,1,0,53,1,8,1,0.30434782608695654,0.24324324324324326
y-wV1SxQToLSzhyXZkdPPjqY2nQDKit5xuO27fqr2cE,중수키라,4515480857,mid,1525,1,8,3,12110,3570,12788,19,12,22475,7914,156,0,0,60,7,11,1,0.2857142857142857,0.2222222222222222
eFop2M2p_yvKp9Pt7RJFYBFAWcWpl3Sj0duZkHzLZaVXw-g,화려한 수면,4541877633,mid,1682,5,7,16,14446,3704,14132,22,35,20912,10474,114,4,4,122,5,9,2,0.5121951219512195,0.2692307692307692
H2HDTgSbPClP5xsPKw-W3TRqRFRHpDOJTsxTp8YIQIQeIOY1LYVNai3e,퐁 냥,4541877633,mid,1682,4,10,9,21109,5729,18605,14,20,30455,9176,133,8,0,293,1,7,2,0.5,0.24390243902439024
Dv7lZ5F5gjdLJA6gk9-WhgCzHOpxvEQiTKs9nD5FYjeKIdAhZkEwl2du,인공지능3번,4537377007,mid,1640,2,7,2,11084,852,4532,22,22,14630,7323,126,0,0,78,3,10,4,0.2222222222222222,0.2413793103448276
ZsIuq7teniMVkjdvLINh73ggggJxwnJMR74LUiqz_pxaVw1gSRZR-2Ho,백수 판다12,4541545037,mid,1300,0,3,1,3173,20,1691,6,9,5469,4258,62,4,0,55,0,5,0,0.125,0.1111111111111111
BbSYQ5rfNETAT_o8OIvxNEsXpwuBe5wYZv0aER6SpynE,팀운글러먹었네,4523076307,mid,1348,12,1,3,16320,2748,6278,30,4,12730,10719,122,6,4,75,4,15,9,0.5555555555555556,0.14285714285714285
xYAzShgS2hWSAAGvTxcUcn9wD0L5K9ElFzesr4oLWmnO,JustLlikeAMoive,4523076307,mid,1348,2,2,1,10084,918,9693,13,23,9048,6454,126,4,0,242,0,7,1,0.42857142857142855,0.07407407407407407
qjUNCNv1T4VTbx_B8XHUMCg3czqcCbchAahgWuRI3IjrLfo,강력한 자석,4503543622,mid,2091,8,7,7,19060,4680,28080,21,17,23796,15758,206,48,20,138,1,10,0,0.6521739130434783,0.2692307692307692
uCVZfzr7pDiobjsGaA4lxW37azOyoHhnbQltZGxstMLwg0g,수성구딱새우,4503543622,mid,2091,10,3,7,31597,1790,14368,22,30,17963,14372,228,24,0,328,0,8,5,0.68,0.13043478260869565
Aa68gFepbZecqZS9IewFVYVuDEWk1T8rmWsrNVrEM6OC9zACnBGjLEi4,hide in bush fan,4541235640,mid,2005,14,6,10,18741,10290,15989,14,32,27460,14334,69,0,0,388,0,7,2,0.5853658536585366,0.2222222222222222
DACtRN-nl_JuRRsYkd8GAhCzcAwdiT4K5bOQMAsCAxtVfg5Yv0bY2pnI,parkuk,4541235640,mid,2005,8,7,5,32173,11621,17641,19,21,32272,14765,184,6,2,175,0,10,2,0.48148148148148145,0.17073170731707318
yuCbJr5-6b975j36xbiYGo_LuDcJWPKwxhIiBJMBzzDafM4,석현이 개텀,4541373723,mid,1406,9,6,2,19315,5940,11349,11,4,23535,8327,78,4,0,44,1,8,1,0.55,0.18181818181818182
gRtoeUd8h5-JGkk7c2BXYVdUoUxww1NocqEVg8VMogmfYgw,supper play,4513506498,mid,1956,2,14,1,14247,5196,22319,27,18,31129,10919,227,4,4,84,1,9,1,0.1111111111111111,0.3888888888888889
HucEBPa8Bod8QgGXUCjvL_tFqu_g0E0EDGxoEWRz8hwT9U0,원준님이시다,4513506498,mid,1956,17,2,11,41805,12100,37195,24,5,28837,17084,193,10,0,38,1,6,3,0.7777777777777778,0.07407407407407407
K9bhPmyyS03yvIY6dpaFgTGaOBCYekw83mbsi0C2Fzwi1fYdH9sfFl-6,건들지마던질거야,4528585360,mid,2615,8,8,20,34122,2745,23793,44,62,24001,15363,197,18,2,489,16,22,10,0.6086956521739131,0.14814814814814814
sqBUAhjYlBu0QouFYPczrklcEx1KYvPCQqYS6acO0XSy25FFagHwKMUx,너네때문에지는거,4540282052,mid,1299,3,0,1,6183,1774,4728,6,11,8356,6228,102,0,0,102,0,4,0,0.21052631578947367,0
wdFx7VkQ0YrKCWtvEHY003p-tDlS29Qr-KS_iybjfxYPkPw,거르고,4540282052,mid,1299,6,2,3,16793,3445,10497,9,21,14122,11551,186,28,17,180,1,5,1,0.6428571428571429,0.10526315789473684
SgKtFFTHZRhi6a31d0PSjBSGVflfoy2-ALd49NqaErCn4vAN-LxMHPRJ,Bosshong,4540863027,mid,1398,4,7,6,14614,2370,15037,16,5,20570,8357,101,8,0,37,3,4,0,0.45454545454545453,0.175
h0wZIbFPPhIC7P-_qPbMwueB9P7wpAh1CHbFGEy0_jxSk3s,나는좋아한다,4540863027,mid,1398,3,3,4,6210,2321,5791,2,2,13299,6091,45,0,0,33,0,2,0,0.175,0.13636363636363635
L5CmYtdYcsviUmgLaMSodcYBmggVVKYu_ixlO1WN88IgQhbQaKQgLjKs,수영누나 이쁘당,4540018409,mid,1253,4,5,4,10766,5294,10508,11,13,16263,7745,136,0,0,216,2,6,1,0.6666666666666666,0.29411764705882354
1LxxUlyr_UbluwzpDUK8LnTiVurOB1fOPSso0D8iSAps-lRRqnZ3jB-W,컨텍트롤,4540018409,mid,1253,4,2,8,16064,2813,10060,13,14,11925,9316,166,0,0,94,0,7,2,0.7058823529411765,0.16666666666666666
8UmJ2MHye8JrTTM3GBm_Dngh2UNqdEQQXkcPn7iawKuWMo0,목동재혁,4376679232,mid,2079,5,9,12,13551,1389,6799,20,38,19238,11889,163,7,0,232,2,10,5,0.5483870967741935,0.36
Jse7UPOkTsVnEXuVk_Ce_j_uxM12-DGjvhdnlSVe8Apr9aQ,Profi,4376679232,mid,2079,14,6,5,37974,3458,12544,14,34,18716,17904,222,30,1,334,2,7,1,0.76,0.1935483870967742
1gya0ZccRwsub48qJeV6r5jqKQ4jBTswc_Fu-E7S_epblLk,엠 재,4537396892,mid,1408,7,7,7,11450,3123,10674,19,29,15657,9024,96,0,0,222,0,7,2,0.7,0.20588235294117646
acmn_GUGI5YIEAbyGCXY5yqlQcj_8oW43iiw68TuYfBsM6XdQFML08Fr,DIACOIN,4537396892,mid,1408,8,5,9,12963,3463,8633,16,121,16194,9144,103,13,5,253,5,10,0,0.5,0.25
ZzIZ-eiD98d8T27Xk7u1Ja0Aiu64gWgU_I7yPwMsBMBjTH0,인생 망한 티모,4540503659,mid,1399,6,9,4,10561,654,8455,12,3,17375,7417,94,11,0,18,1,7,1,0.38461538461538464,0.3103448275862069
p6qMHaTbDmcULjt3Hb85hFJf70F327IpQzTs0-VnNCr7,진찰찰,4536857205,mid,1915,11,5,5,28914,5929,9560,31,38,20606,15909,234,4,0,129,6,11,6,0.6956521739130435,0.17857142857142858
h63VDCjsXyG7oLqXl7llQe-759h1VzvShnhH44uYbuCAVxx8mYutIuEa,신 민 영 님,4536857205,mid,1915,5,5,5,17595,1735,5598,38,28,13786,11435,178,18,0,249,1,9,2,0.35714285714285715,0.21739130434782608
