account_id,summoner_name,match_id,position,playtime,kills,deaths,assists,totalDamageDealtToChampions,totalHeal,damageSelfMitigated,visionScore,timeCCingOthers,totalDamageTaken,goldEarned,totalMinionsKilled,neutralMinionsKilled,neutralMinionsKilledEnemyJungle,totalTimeCrowdControlDealt,visionWardsBoughtInGame,wardsPlaced,wardsKilled,killsRatio,deathsRatio
Caq6uXuZg-tyi72Y4vjvcFOdfLbX74ejXhWAlC4VwvINCHO9aM-FV1Rt,HUYA1SEHUN,4519662268,carry,2350,13,7,5,46899,4615,13822,18,4,30425,18690,262,34,0,68,1,11,2,0.6206896551724138,0.1590909090909091
0qrO3JVerOCzhrHipqpl_WR6dmx2wwdy3qXQgO87wE7Nq3F2LfAYbseC,빙결 천국,4519662268,carry,2350,10,8,14,30435,6297,10367,49,55,30113,17059,227,29,8,753,1,12,10,0.5454545454545454,0.27586206896551724
E9h4jiUyAT61Q14aMFBgxgdQqESc5ZZVGMu2tIKxeeB0WBQ,Bullet specter,4540811586,carry,1305,3,5,5,7096,971,3411,18,21,8134,8026,134,4,0,422,2,9,3,0.34782608695652173,0.5555555555555556
b12RqIeYXKCrN0Ir8Ch6aD4bYsusdU4dO_dvUacrBR6hlLn4Z412E-Ib,adc02,4540811586,carry,1305,5,6,3,12629,2661,6717,9,12,13725,8172,139,9,0,169,1,6,1,0.8888888888888888,0.2608695652173913
-6YRCAzerN9kACqb6xnNdgCvLDnTbFYaphqgSaA4OdPt3bvKUiWl5pxN,아프리카TV MinE,4540667326,carry,1619,10,7,10,19122,4258,14282,38,15,23310,13286,179,14,2,312,3,12,5,0.5882352941176471,0.1794871794871795
aUPOSOBAszdVm-Qqeo_4nXzw52qoLZX8F4_Kc536a8QE,말랑뜌쀼,4540667326,carry,1619,6,8,14,22028,2192,7504,20,34,16648,12002,161,16,0,216,0,9,5,0.5128205128205128,0.23529411764705882
pubFVCEgL22OYizMoVU47a8MNlu5n6SMgu6jbcHj69oVRc0OzBtYbj04,누누슴,4493694633,carry,1252,1,1,1,2771,658,4508,12,0,3586,7645,180,0,0,17,2,7,0,0.15384615384615385,0.0625
lUsWOe7PKH0Wk0iTaXW4XLelBWXgcM_VjiCj2y_Tc7I,obsequious,4493694633,carry,1252,1,3,3,4204,882,2861,21,24,6564,7492,177,0,0,389,2,7,4,0.25,0.23076923076923078
pTEjynzfi_EUd5acl3azSy_W823sAXIkJhexbBXK51iZobY,권진호꼬봉,4540749330,carry,1490,4,4,12,8576,2479,6138,26,24,13122,10950,157,26,0,490,2,9,3,0.5333333333333333,0.18181818181818182
qWs_fH-Glpz2s52PWxMe-Imoh-JcLbLxIbrwkc7DbbssmAY,쁘띠재,4540108295,carry,1219,11,0,5,10273,1737,2813,17,0,5404,10292,154,5,1,0,3,10,2,0.6956521739130435,0
