account_id,summoner_name,match_id,position,playtime,kills,deaths,assists,totalDamageDealtToChampions,totalHeal,damageSelfMitigated,visionScore,timeCCingOthers,totalDamageTaken,goldEarned,totalMinionsKilled,neutralMinionsKilled,neutralMinionsKilledEnemyJungle,totalTimeCrowdControlDealt,visionWardsBoughtInGame,wardsPlaced,wardsKilled,killsRatio,deathsRatio
kjP13PeWZ9mfsKdZ2j4rRo6fWDtljVp-WdtLC74pzbebPts,쪼 수,4519662268,top,2350,1,9,9,12387,8357,30653,37,8,37123,9684,143,0,0,313,4,11,8,0.3448275862068966,0.20454545454545456
sBUMrF2GeciJlldxm14MJlArGTlaMczj9t3k30SNyN56uwTrMrAxQzTL,0096,4519662268,top,2350,12,6,15,40488,18265,53266,21,35,60385,18033,250,14,2,87,1,5,11,0.6136363636363636,0.20689655172413793
TXuySrNo8T8LzWgzBTfcd1B-WQKZSTwTRbAmSvrb3oYVPM5bj2Ei-000,shudai,4540811586,top,1305,4,1,7,8432,7106,12145,20,13,18448,10470,166,18,12,42,0,4,7,0.4782608695652174,0.1111111111111111
z4z2REvwh5XvGFCW2sEIPwW_nVpkCLXnoijsuiMLgIjJ,행복은CS순,4540811586,top,1305,0,5,2,5590,2036,10624,5,8,14250,6443,114,0,0,69,0,4,0,0.2222222222222222,0.21739130434782608
_CRi3d_f8f7NxNpLc1dPpoTngjynXbaW6vZW8XBwCBnJSbE,무호흡아리랑치기,4540667326,top,1619,8,10,3,16818,3693,22278,7,17,28489,10569,124,4,0,136,0,8,0,0.3235294117647059,0.2564102564102564
F9tOeQYVxXfX3W0LNbtv626r4Oa-eoeNbSXOcwaeL7pozrA,바보인건 확실해,4540667326,top,1619,5,8,7,20349,2255,12601,23,9,22415,12446,186,29,4,148,2,11,4,0.3076923076923077,0.23529411764705882
eHnixejmROMDTHwWWNxTtNP9Ymg_vaqCGZSukOj4bj2zrBQ,11월 손11,4493694633,top,1252,0,7,0,7233,1919,14340,9,2,14465,5854,121,4,0,26,1,5,1,0,0.4375
DjRMAyKAvzomnGsq-DFTiLES0XsPJekX44WS0ghlkCsK_u4,채팅안치는탑,4493694633,top,1252,10,1,1,14197,2521,8893,11,8,15257,10042,155,4,0,46,0,5,2,0.6875,0.07692307692307693
zVxhjbVfKJKL9Xg0167a2cjr9ltcqweHSc7WC0gLCtQitx4,해탈한 유저,4540749330,top,1490,1,8,13,12359,5696,23891,25,43,23888,8476,146,0,0,330,5,11,5,0.4666666666666667,0.36363636363636365
OGA2D8JAMf9vOANjnj7Bvp_n33C1F2dQvSw9yvD_mMWMs9UazvJaTE0w,Lil been No more,4540108295,top,1219,3,6,2,10678,568,12321,14,13,14828,7670,141,0,0,133,1,6,0,0.21739130434782608,0.46153846153846156
wJ4GnGeWlZgY4JCmCWi-I40Of7Puj-NImZPe2TLCc3Z2C9_ZFXQWn1Uq,juebie,4522948085,top,1911,5,5,4,10101,4257,7640,48,10,17850,10829,195,3,0,60,2,6,25,0.42857142857142855,0.15625
liXxWB_XTZdiS1_L9EV-_KnFJ6Z7zS8K28KodmhFLMbCueAE8eDMHApN,어리버리 팽수,4537133725,top,1620,9,4,7,18970,7176,13598,19,5,22633,12340,162,12,0,158,4,8,2,0.5333333333333333,0.26666666666666666
q71VC5CGMy0NCBox3e1MFMNWc05LtGCjEmipw_oGKknI,태규리,4537133725,top,1620,2,4,5,7627,2705,15575,21,12,23231,9367,170,4,0,51,1,8,1,0.4666666666666667,0.13333333333333333
tdPfvIwrBqOzcQqJEkoUR2YubU65fQ0bKCEVYHR6_NadJbs,원딜접은왕자,4540406605,top,1256,0,5,4,8329,5170,8447,9,11,18632,7046,145,4,0,151,0,6,1,0.36363636363636365,0.21739130434782608
8YUqiPGBlqjPjoyTrr_oCyz_b6wHHC3izhgpICtpectQ,담원 경구리,4540406605,top,1256,6,1,6,11159,8735,5680,12,3,12059,9662,158,1,0,89,1,6,0,0.5217391304347826,0.09090909090909091
GAr7HLxq08-vymGm-QdrSme3bKbNz7U-DxwvfMsGshgjo_XSWNilyzxX,챠니한테 진 겟넴,4540363253,top,1617,6,5,8,18609,2958,12933,22,23,18072,11308,175,4,4,203,1,7,1,0.45161290322580644,0.3125
CC9CceG5k8GXT80W5J3JnZGr9bLsyJqaLuDcf5uqJ8Leuu1MHesk-gWg,15303486,4540707651,top,1801,7,3,7,28160,11479,34918,28,5,24561,13074,185,23,8,80,4,8,4,0.3783783783783784,0.14285714285714285
SKCVrOjquHhIHl9HGQtVQ9CWb3BA6F-2YbHTSlL1EyKN1pI,zxcx,4540707651,top,1801,5,10,7,18359,3799,30271,17,9,38669,11922,184,8,0,117,3,9,1,0.5714285714285714,0.2702702702702703
ybZ_rBxKjBurd5E-KZ8dEUL_m1Ji19_Kp2YokEBGLeYz,냄새싫어,4540544406,top,1953,3,14,15,17261,6669,25041,29,26,33343,10677,131,8,0,98,5,15,5,0.47368421052631576,0.45161290322580644
7G0TJ5vNYYJ4NYyPz9pISppssm53Tbc0YW9NH1JfLXe_TFZEYKrVUkyu,매운거잘먹음,4539866612,top,2297,11,8,12,36345,15506,86733,30,50,57366,16732,196,7,0,369,2,7,7,0.5897435897435898,0.22857142857142856
hsP2m3JW4BqA9wnyOPaLYF7rghUd3JXYS52rnEmFBiaM_RP-tKpTr_SA,KURO SAGOL,4538604746,top,1732,11,11,5,27841,7440,56153,14,39,39870,12811,159,0,0,218,2,9,1,0.5333333333333333,0.3235294117647059
FFeJ2-Q-esqUply8OdAAu30R83DAqnaJYm50QRn-A9ENliT1RYXDYe-e,Shad0w Road,4538604746,top,1732,13,10,4,21683,2204,22126,26,25,26695,11811,126,0,0,153,2,6,8,0.5,0.3225806451612903
tGOiJKWwUQQYlVkv4AQSqmMYqhdQV_CV_Pz6-5yPlHvCi1c,비오는날 좋아해1,4540692842,top,1512,5,9,2,13581,541,11696,18,7,17173,11101,176,5,1,72,3,11,2,0.3888888888888889,0.2903225806451613
Yq75W_LHmuHRqv-tRyvdT_f4drWsrT71hIOWp9e-Q_Ymt6g,동화고졸업생수현,4534624832,top,1210,0,0,2,4604,2169,5470,9,0,8743,7075,158,4,0,14,1,5,1,0.09523809523809523,0
NJsOT5XvhW0Xnl2WRGwAY8GX6upfwxUf4rejrFwqChDqOdo,Japya,4534624832,top,1210,0,0,0,7766,810,2512,16,3,4579,7201,174,3,0,60,2,8,1,0,0
9gM59zLAQAroxNjXdito89xAjj62yAGk0tx0XCNJKc17,Shimstrong,4507145974,top,1452,3,3,1,13920,804,9807,19,22,14445,9243,198,7,3,44,2,10,0,0.2222222222222222,0.15
H3gargIw_D8ZkgmS7TmNW2DvUq0lg-wPt4bDbPJgbzpjmwhD7A66QS5j,kkk0702,4507145974,top,1452,1,2,6,12311,13789,8731,11,2,20284,9643,219,4,0,41,0,7,1,0.35,0.1111111111111111
GAr7HLxq08-vymGm-QdrSme3bKbNz7U-DxwvfMsGshgjo_XSWNilyzxX,살고싶은대로살자,4523227532,top,1841,13,7,12,28531,16099,26717,15,28,37115,14783,154,24,8,398,1,10,1,0.6578947368421053,0.1794871794871795
BfsbEgIVrSdkxkIxmJz8Bv0B-_oyKQ6Q7jYEXgCDJwM_Omrt5kGmDJSp,치카치카꼬박꼬박,4523227532,top,1841,13,9,12,32372,3632,15591,25,12,24971,16830,203,21,0,174,1,10,6,0.6578947368421053,0.23684210526315788
a-XD2jOoLchN1cj3yZQAdUZK7JfNwK7vhHjszKUQMQhIzadFEoCMVu9i,신선 AD carry,4526409708,top,1840,16,6,6,31760,10365,53292,17,20,40840,16941,149,16,4,465,2,10,2,0.5641025641025641,0.13333333333333333
SmDeFtfnlw4I6GIyDVhH9P06nBNihmGWCmhjzS0KKvvW,신 겐,4526409708,top,1840,5,8,9,18698,12500,24897,18,14,30503,11933,156,32,5,338,2,10,1,0.3111111111111111,0.20512820512820512
mvRAsp2m-YYSiRnb0O6yFqzYYod3Z-pVsgJgwp_p_92qh0x12Us6i456,52동생,4498607210,top,1299,5,7,5,13436,754,14903,15,14,15863,7445,109,4,4,207,4,10,1,0.4,0.20588235294117646
zVxhjbVfKJKL9Xg0167a2cjr9ltcqweHSc7WC0gLCtQitx4,해탈한 유저,4540749330,top,1490,1,8,13,12359,5696,23891,25,43,23888,8476,146,0,0,330,5,11,5,0.4666666666666667,0.36363636363636365
15nZY_NCGfd4ViqOQCLWvybMsR51Qt_lVA4A2VhmbcX8z9cQW1VFvVUX,나갱민,4528982875,top,1518,4,11,3,19407,1095,9168,9,3,20704,10166,176,5,0,31,2,6,0,0.4117647058823529,0.25
8jY3_xE9pEHsiDuSAtsVBLNVGZWm4SO5dEPrzFLl7O3AQ46qXMMRsDev,엄뚜기준식미트볼,4528982875,top,1518,3,4,13,16390,6724,14927,19,3,20079,8800,113,4,4,55,2,8,0,0.36363636363636365,0.23529411764705882
Kwlzp0LYsZDU4cOrtSysv6ROmt9UuDFQHTNckbSvD120,Flex Gae Geo E,4540303287,top,1244,5,4,2,10781,2509,6691,11,15,12823,8837,165,8,3,40,0,5,1,0.2413793103448276,0.25
