account_id,summoner_name,match_id,position,playtime,kills,deaths,assists,totalDamageDealtToChampions,totalHeal,damageSelfMitigated,visionScore,timeCCingOthers,totalDamageTaken,goldEarned,totalMinionsKilled,neutralMinionsKilled,neutralMinionsKilledEnemyJungle,totalTimeCrowdControlDealt,visionWardsBoughtInGame,wardsPlaced,wardsKilled,killsRatio,deathsRatio
4GnsoeXQjuDm9misz5BnIIzjcnqF6VQHxjpOTOWn7VJY39Vn6V83OVcf,대한민국최강원딜,4378814870,carry,1444,19,0,4,32955,5213,6394,21,2,13894,14759,186,8,5,40,2,9,3,0.696969696969697,0
CFpa6H7S-Oa9uG_2Ah7wM0hs8RB26tZdj3QzEVrUrd-SDvcN4ZBUKkgP,최강 워윅,4378814870,carry,1444,3,12,1,7561,159,6209,2,7,16914,5761,72,0,0,8,0,1,0,0.2222222222222222,0.36363636363636365
phY28AAmVa-b4VTca0O95ZZJ7oYoHJbZ85a9SSRKUtSZcHTEhFr7FYqI,쪼프트,4506228464,carry,1561,6,4,4,13179,2343,6649,10,2,16685,9870,123,8,0,14,2,4,2,0.30303030303030304,0.21052631578947367
9wr9_f-S12vNded_pvmarMSRoONh91aMcizT735d1YnpvTIy43BiB4JU,네눈배기,4327239336,carry,2552,15,9,14,40806,5033,30660,21,12,29472,19571,252,4,0,246,0,9,1,0.58,0.2571428571428571
JDDxHcXTQvimxSYrAQgqqFbH9I6zbfLRgLzNEaNJw5cS,맹두선생,4327239336,carry,2552,12,11,8,45577,5856,24719,9,36,34565,18209,216,18,2,184,2,5,1,0.5714285714285714,0.21568627450980393
HtAkSwWzlVLaL-PcoArw4fjx8BGgKELRsAUetKdSu4MbpkSTFEZQ21vt,냐옹야아옹,4457193594,carry,2649,11,3,14,55272,4066,8492,74,42,13707,18386,234,31,4,358,4,11,18,0.5681818181818182,0.13043478260869565
p9YOEVomzf89VmxMMRF2cuwi83CH-2lMX2Y9U5HPy_qwX5k,라면사리 사냥꾼,4457193594,carry,2649,5,10,7,27752,8480,17272,23,50,42790,15324,221,14,1,140,1,15,2,0.5217391304347826,0.22727272727272727
gbieiU2IkqBoaQWnNjD9hXXkbZ2w5qHeAUfC9af1b5xT,Faim,4540388703,carry,1315,2,4,3,11821,1558,5750,7,6,12596,7088,140,0,0,42,1,6,0,0.4166666666666667,0.21052631578947367
1y8ZIsnl9WhpNAvEWi8xn_AkoUdNBp7w3vADq5MeGKr1,대박역전,4384335150,carry,1987,0,0,0,2908,180,1124,6,0,1774,6442,88,0,0,0,1,4,0,0,0
A87JYhoTN-4eI8mS-kElBEzwFoSdxFaqBwGpsRk4pIO5VGk,쵸레이하,4384335150,carry,1987,4,2,3,13375,3623,8887,16,11,13858,12706,218,28,1,228,0,9,2,0.5833333333333334,0.10526315789473684
