account_id,summoner_name,match_id,position,playtime,kills,deaths,assists,totalDamageDealtToChampions,totalHeal,damageSelfMitigated,visionScore,timeCCingOthers,totalDamageTaken,goldEarned,totalMinionsKilled,neutralMinionsKilled,neutralMinionsKilledEnemyJungle,totalTimeCrowdControlDealt,visionWardsBoughtInGame,wardsPlaced,wardsKilled,killsRatio,deathsRatio
oKK9CN4qAMqa0HL2NK9SDqJ4nq7Af38fesKCv6f6J8x9,CHlP,4378814870,mid,1444,9,3,3,21924,3607,14186,10,18,16130,12312,164,20,14,127,0,6,0,0.36363636363636365,0.16666666666666666
vc0UeIGnXThzfeVxIPauaqt6RlvCrNSYHz54Y7VXjLfH3Ho,맨만기내여친,4378814870,mid,1444,4,9,3,13207,6356,13855,2,14,26710,5913,50,0,0,327,0,2,0,0.3888888888888889,0.2727272727272727
BXkfXhJV6SnSYadOj1xfegHYJez28fv8g_OIqYHnkKcDObmRxUvG5k7-,dm2005,4506228464,mid,1561,16,3,5,20758,3928,17970,5,16,17767,14145,135,20,8,112,0,3,0,0.6363636363636364,0.15789473684210525
JYNOO8Q0RXsJbMTXqHq_yzdyiIGttaD1L1xry7MHm4brgnUm3LS8udLA,올인은짝 나 믿어,4327239336,mid,2552,13,5,18,34511,8607,50349,16,28,28497,17926,172,0,0,483,0,5,3,0.62,0.14285714285714285
-yqztruh-we4XXZEGiGehdVYqeJTI97ykjo4C4cOeC61DpB09gtEUl9S,aodrnqudtls,4327239336,mid,2552,6,12,5,13991,2500,17254,15,150,26705,12596,79,12,4,314,0,10,0,0.3142857142857143,0.23529411764705882
anEndSY0xicWLQQB-cEiYN1vt73ZnrgMsdK0F7C76e6oYVQ,안에쌀려다마네,4457193594,mid,2649,11,4,9,41382,8945,23748,24,7,28376,16453,186,16,4,121,0,12,2,0.45454545454545453,0.17391304347826086
nMkeAUF4INR-6VF4P1iryveLCCAsuX-pSQ_p7XTlpBHYQI8,우동사리 사냥꾼,4457193594,mid,2649,10,6,4,30508,14782,27024,23,52,49908,16389,238,40,4,578,0,13,2,0.6086956521739131,0.13636363636363635
r1muMxpYB6YMcS8URXsy1EC1hVOP9sqLWgGB3Zc0Z2GFxLrzyxpQV22v,잘 굴려요,4540388703,mid,1315,2,2,2,5482,0,10572,15,22,11789,6566,112,4,0,51,3,7,0,0.3333333333333333,0.10526315789473684
cpWbWUJPXTmVZgUgz3zxWhJD2rjaz0LFwGTpQt4djrnWbvL8CLK2uyB7,zi존yechan,4384335150,mid,1987,1,3,8,13575,2856,7434,18,5,14057,9458,177,8,0,145,0,13,2,0.47368421052631576,0.25
gCBNUsjDFgOMLnFBpEnPcg4sWdl8F1DhSbpUDQ5luwMbP10,zl백호닝,4384335150,mid,1987,3,3,1,12156,8209,16615,28,12,24063,11543,192,12,0,75,1,11,2,0.3333333333333333,0.15789473684210525
