account_id,summoner_name,match_id,position,playtime,kills,deaths,assists,totalDamageDealtToChampions,totalHeal,damageSelfMitigated,visionScore,timeCCingOthers,totalDamageTaken,goldEarned,totalMinionsKilled,neutralMinionsKilled,neutralMinionsKilledEnemyJungle,totalTimeCrowdControlDealt,visionWardsBoughtInGame,wardsPlaced,wardsKilled,killsRatio,deathsRatio
4DlBIMhxYLgBOgxvjDgljrNKDo8OS4UzgjhzYOOEmS834jaU0i3Gux33,못한다고하면울어,4506621708,carry,1897,4,6,4,21059,2268,12315,30,44,20481,13488,256,4,0,1008,2,11,6,0.5,0.1875
h16SDokyqdelsqn2q5XzzMrkKmbeRRX_p1POjEd-E4XKreY,라바돈의방탄모자,4540608410,carry,1428,4,1,7,16930,2434,3551,18,8,9892,10172,178,12,4,71,1,7,2,0.6470588235294118,0.16666666666666666
s8G0ap33tT-Scrnx5pzqIw-w64ZVDDAzeKXP-SPMEV24J6k,Xmas Rose,4540608410,carry,1428,0,6,2,5341,2882,10027,6,12,18118,6549,143,0,0,123,0,5,0,0.3333333333333333,0.35294117647058826
AzWJ3md46By9oajEIuNGmLdKPBtQDdxI0np9GiesPMDSgo8, Kwon Gumayusi M,4527596507,carry,2252,8,8,9,32937,5872,12995,30,5,21919,15329,198,27,0,96,1,14,7,0.6296296296296297,0.2
iyGf3_0v5wpkj14_WfU7Tr2lrJ05RAe3TABaDp7JLSIX,내일자살할사람,4506422484,carry,1876,5,9,8,21673,6270,15487,21,1,23561,12271,225,5,0,15,4,13,5,0.48148148148148145,0.2647058823529412
PhcKbiTa64ilL4r2yU-Wy_ThGtFyZpXK-v4w8NQeg6PB,vilz,4506422484,carry,1876,11,6,13,33967,6518,19618,21,14,26781,15325,232,18,4,426,2,12,0,0.7058823529411765,0.2222222222222222
SC0mtsvTJVvhTe3fwdO23aLYK97XV6uBtG0vApJ7qUqw,Flex Misfortune,4540155987,carry,1892,5,8,6,22990,1520,9818,22,7,22714,12349,180,24,0,56,3,12,0,0.4782608695652174,0.17777777777777778
WuhDBzRm9AT4GVbkGCw7XO2jxO-vF70NCfsc6nI7swvu,진현이 빵디,4540155987,carry,1892,5,7,12,17167,3847,11466,37,12,20415,12040,159,12,4,29,3,13,7,0.38636363636363635,0.30434782608695654
zlOmmFdHKsa55I_kwZxxTwCJcFcSsPL8h0sTlGm_YduyqKL9IVm4YmCs,피셩피셔,4540690647,carry,1790,4,7,12,16307,3030,11506,34,15,16457,11742,207,16,0,241,4,12,3,0.47058823529411764,0.35
_bFBCYNtteBttMoVmo96BeRSZQOWkevn1msvLq-ickEzelT1eiP-mtPs,고사성어 대사전,4540690647,carry,1790,8,5,2,28130,2766,9874,25,22,16751,13620,210,28,0,241,1,11,6,0.5,0.14705882352941177
CiCu7c0VI8BIghgixty-PKXWodqK9gsZ21w5yzJqewsmSg63imJdXqc4,전설 오공,4518286588,carry,2354,4,9,10,21661,2695,13438,25,48,25298,12915,210,12,0,790,3,8,6,0.3888888888888889,0.28125
xU4A0wu3NdYdd6T-BEbdIHRGBBv3FJNMBzhz12NnmnKLBEM,응암핵주먹,4450281188,carry,1899,4,8,6,21163,1684,11425,28,2,18223,12199,207,9,0,24,4,11,8,0.5263157894736842,0.2222222222222222
SStBxI8rmHNpj5rN_PfaiMy2JqTFa6YntmadB9JroMIOQP4,오빠가갱갈게,4450281188,carry,1899,8,3,12,29317,4360,24045,28,9,18838,14949,223,34,4,372,1,10,3,0.5555555555555556,0.15789473684210525
Jxt8SAurXWRTBRX1R4bbF4fPMRvrzAzyU8Y20FgO5tWBueM,jean genie,4459745283,carry,2132,13,8,11,31853,6367,20246,43,4,30749,17012,262,26,1,82,1,10,4,0.6153846153846154,0.20512820512820512
oowoGonv44587TPmmt13Tk-U6ucwhBc5jhPSIeZLIpeN,노형석형석,4501680416,carry,1584,11,1,16,33114,1854,6892,13,8,10040,13034,150,5,0,196,0,8,4,0.6923076923076923,0.06666666666666667
0AX84rg5ajNzkERs6IrfIeVZejDeTWfJqlSXUBY0_UKg,아늑한 밤,4501680416,carry,1584,5,9,4,8234,1625,9534,12,18,20993,9601,126,4,0,52,1,7,2,0.6,0.23076923076923078
Dbs7L6HZXu_JrMe1Od0M-JiXe7wTrrwmJG8QtVkgJW6c4K4,WikiPedia,4537588114,carry,1477,2,3,5,7098,1660,3994,36,22,11234,9958,211,4,0,516,3,10,10,0.3181818181818182,0.42857142857142855
0MbuDW3X8lBLQ6Whm62C40XkMjYzCVmNvKsQyPo_6UhF,언 인,4307057833,carry,2216,7,5,11,24894,9637,14433,35,50,29748,15192,220,48,0,938,2,14,5,0.6,0.16666666666666666
-LiOfKN675brSaYSpVGbsjpjpj2JD_rj_qCXlyvZEsMhhIo,칼날B베인,4307057833,carry,2216,11,6,9,37316,3898,23871,38,18,19052,18423,264,28,0,101,2,14,8,0.6666666666666666,0.2
iOOGxRS42pEvh_Gch1NP43htSX9oD6dSjJqLN4naH-axkTo,1997 10 27,4540110152,carry,1557,7,8,13,17280,2080,9753,30,30,18921,10877,156,6,0,288,3,10,5,0.5,0.3333333333333333
FqrwyyLIOWR7mXHjnIeTmKdz-IcYPJnussTeRpa62Eej-Fc,포항불방망이,4540110152,carry,1557,3,8,12,13645,2558,9029,18,37,19617,8981,153,4,0,607,1,6,1,0.625,0.2
rSi6zV2Gp8NTUlJCn2DAtWrVyayKap7b2ZPg3-R_tmrqoOc,느금마현승,4536715755,carry,1326,2,4,2,7088,930,4455,21,1,10676,7361,152,4,0,45,2,9,3,0.3333333333333333,0.12903225806451613
tKPVC7fDIUYbJXyaaXH8PL6WqH_Qva1JpQfoljhY5a-U,고독한 이상혁,4537725533,carry,1550,2,2,2,9403,1370,3158,27,20,7818,9331,196,0,0,33,3,5,2,0.5,0.14285714285714285
D2_a60BorZd--TMdkiPXhlbrxXqAYoynyrXZrplCac_Il9Y67-ib1wSI,이세발,4537725533,carry,1550,2,2,5,11264,1414,5323,29,33,12269,9073,181,4,4,609,4,13,3,0.5,0.25
PQFcrmkwq_joKr2M9AWZ17jC6KAUwShNSI3UD-WiVjSA3cs,레드먹음겜안함,4540596267,carry,1289,5,6,5,8870,951,3407,9,29,9334,7420,110,10,0,409,1,6,1,0.7692307692307693,0.1935483870967742
