account_id,summoner_name,match_id,position,playtime,kills,deaths,assists,totalDamageDealtToChampions,totalHeal,damageSelfMitigated,visionScore,timeCCingOthers,totalDamageTaken,goldEarned,totalMinionsKilled,neutralMinionsKilled,neutralMinionsKilledEnemyJungle,totalTimeCrowdControlDealt,visionWardsBoughtInGame,wardsPlaced,wardsKilled,killsRatio,deathsRatio
HePVeh9PryCKYQb8GVz85rxBjYZ4SH9R1Z5LU2DBzmQPta0,충만한 사나이,4506621708,support,1897,5,6,5,7398,2392,26639,63,26,18272,7869,38,0,0,111,8,28,8,0.625,0.1875
m_be1ccyoIrzBXbxHXZI4t90b8v9CioPkGrAPc7aMzDR,하규영,4540608410,support,1428,1,1,8,6216,1737,9703,49,24,9702,6776,24,0,0,75,7,20,5,0.5294117647058824,0.16666666666666666
hdG948QX75vSiOfBf_d7CDD5DCqowSLDVa3Vrgg-Elc-KxMNaMSSXCz8,요구르트냐암,4540608410,support,1428,0,1,4,3112,9780,2105,33,22,4181,4789,25,0,0,86,4,17,3,0.6666666666666666,0.058823529411764705
fwlPFyk073r25DxUFOQuR6WIr4UBHXQFeEhs-bGdrXT5L1U,께르륵,4527596507,support,2252,1,12,12,8206,1614,43200,60,77,25757,8504,43,0,0,341,3,24,8,0.48148148148148145,0.3
ZiOfMqbRzeGt52da_cWaIYvb21HpGmF4HdpVghhKkHkT,방파이트,4506422484,support,1876,1,9,12,13311,6551,17798,59,28,24988,7749,35,1,0,272,9,29,7,0.48148148148148145,0.2647058823529412
DdNG0vOhgnLuWzx-E3goxjnUCpHNCHq4ErJXkcz3PTCu,stwhy,4506422484,support,1876,9,4,18,23863,16202,12871,77,46,19943,11883,33,6,0,201,3,30,17,0.7941176470588235,0.14814814814814814
11HoYHTqlANjKgW79vPKeewpTkkfXnDe9v5mlDnGYpgIqndI4OUM8e9u,꿀벌가방,4540155987,support,1892,5,9,9,25258,429,6987,105,70,19183,10198,39,4,0,563,15,48,25,0.6086956521739131,0.2
AmYRqeE5J7cI2piLKAGeLN_4fM5Zni2jXQHtUzYXn7S70MM,봇이기면뭐하나,4540155987,support,1892,2,6,9,6958,1435,21969,86,25,15936,8451,53,0,0,68,8,33,23,0.25,0.2608695652173913
3o-LLQAYGE16ByOoCJ-pawtv6JTWUaDhm_Nz8vl-g-I1eAlof07Zn7eD,챔프연습용계정s,4540690647,support,1790,2,3,22,11208,11141,8879,77,24,15349,8467,22,0,0,97,9,36,14,0.7058823529411765,0.15
04lXYlrR8Hf8sJIuPFkmry9JUp-lXfYsf8XvKByV4TtyAAESjruTrS7L,원석이,4540690647,support,1790,1,5,6,3848,133,11502,75,27,13190,6693,28,0,0,77,15,41,4,0.35,0.14705882352941177
ix2TWhvEK03hh2zhHhMqM5_T5ERX6Aaxp0TMHGCNgVOX,구리시 꿀주먹님,4518286588,support,2354,3,4,18,10460,22603,45811,73,59,26675,10497,32,0,0,139,15,42,5,0.5833333333333334,0.125
QsBxB6iP7Mzml2s4cBhwW4tylHxxyzfz8huhb17whGj0esk,JJoonsDog,4450281188,support,1899,1,7,7,6360,824,7432,72,30,12928,6739,9,0,0,235,16,49,4,0.42105263157894735,0.19444444444444445
uagktS6ee242xkLMxUzKQbGaIeIW9HgQWjtpyDnhs-9DEv6UwmHuuRDq,권충오,4450281188,support,1899,6,4,13,9903,2660,31288,95,17,20014,9960,43,0,0,51,11,37,19,0.5277777777777778,0.21052631578947367
QhCymcB_FsxNe0P7p5OCkk_11XqtaMemgqo_u8t1ZFWgykg,그만뒤지자,4459745283,support,2132,0,9,23,8646,9257,16211,104,35,22157,8273,37,0,0,250,10,51,9,0.5897435897435898,0.23076923076923078
5eCyKY7mAl2VUvZY_gjCFeRKrqVm_HTgttVViIcTXm7bnhKq8ecvhpcR,호나라,4501680416,support,1584,2,6,23,18969,400,9515,49,69,13142,9235,30,9,5,289,3,21,8,0.6410256410256411,0.4
3fe2Kfj38BlNMIbtHX3m5C_ySqAkosQcEo-9K47lDJBx0pniVuuA1Tk8,MGGRNOSWKS,4501680416,support,1584,1,10,8,12900,6121,13776,49,54,19679,6069,30,0,0,236,5,27,4,0.6,0.2564102564102564
kUOoG-XRUik3twV0pyvjTeeG-lgV1ouX5oZHMc0iMuld,벌교꼬막축제,4537588114,support,1477,3,2,7,5248,621,5894,36,20,7814,7384,34,4,0,74,5,21,6,0.45454545454545453,0.2857142857142857
RQHifgKoYuOd2IMEUE5I3STIIfrxrMx1mvr7XpS5_w-t0h8,M0MZ,4307057833,support,2216,1,10,14,14019,11249,7530,69,15,22845,8506,38,0,0,105,8,29,5,0.5,0.3333333333333333
ZCZS2vJ_slopAQFAXJRNEuXNOyh8ta49ptCM07br82AT1cw,쓰레쉬도구,4307057833,support,2216,2,6,19,10328,3006,36021,91,40,23933,10514,41,0,0,114,7,40,11,0.7,0.2
dOZZZofR39pncL1t4PnqbaSd6P9cll75aOyFHgyuetvGZso,벌꿀오소리잉,4540110152,support,1557,4,2,21,9535,3280,4105,49,48,9529,8534,31,0,0,336,9,27,8,0.625,0.08333333333333333
3A5W9jFUTUeryU5MkyqM4mG9z2UM6zWT3v-PWRUJ5shblhE,건대 로니로티,4540110152,support,1557,0,9,11,4514,416,17163,44,15,19709,5425,29,0,0,49,7,24,4,0.4583333333333333,0.225
H747s6rwSf4Aadz2HiJcEc2hdk1waXhGsLZ6UAx4Iisdb7I,포기냥,4536715755,support,1326,1,6,6,4381,355,8903,42,20,10511,5490,32,0,0,77,4,19,9,0.5833333333333334,0.1935483870967742
nVC_qxnppbES_uAj9iSN-U1Ezh0bkuYGBxbUePAvQMqs_9einXs-CQ28,YHHSSS,4537725533,support,1550,0,1,4,10588,1511,4317,44,17,5366,5471,31,0,0,117,1,23,6,0.5,0.07142857142857142
gnlwP7BuHsqKWNm-b8fI2PlRdPz_v6Iis5fw8s0lovKKCcD5T3ZVCcB0,OTTO2,4537725533,support,1550,0,2,7,6371,2001,12300,37,22,12936,6159,34,0,0,70,4,20,3,0.5,0.25
HvfjulxFg6e7sJLM9w1J4sqWIurO8jFghxst8R79tdb6,AMG 4MATIC SENA,4540596267,support,1289,0,8,6,5218,865,5753,17,15,10995,4839,22,0,0,123,3,12,4,0.46153846153846156,0.25806451612903225
mK5FbAMCWpnVG6ffo0k0LDDtXSEyHvsTw6nm2xaX9jBZYtg,빡빡이크,4540596267,support,1289,6,4,9,4998,2140,5809,48,20,9956,10085,25,1,0,60,10,27,7,0.4838709677419355,0.3076923076923077
ce9Q-UM0w7taDFAF2onmUuzpcsLVsm6P1mZiJUpRIHXh,Urgod,4540439229,support,1488,3,3,6,11080,1022,2971,46,27,7209,7323,27,0,0,172,7,21,5,0.4090909090909091,0.21428571428571427
sDVvXF0J2J8YpMTDXPzl9NsEq8xuA3F0AMCjcJiOG8e9,뇌절합니다,4540439229,support,1488,1,4,4,2655,382,6885,23,13,8678,5333,27,0,0,38,5,14,4,0.35714285714285715,0.18181818181818182
F2uLh45ioueRdkKbduvv4F2HnHCZ4-bbfx_-x_e3HU8A,   밍  뿌,4432495231,support,1954,5,2,28,17779,24136,5865,36,25,8006,10292,3,4,0,58,3,16,0,0.7674418604651163,0.10526315789473684
eiDKVoXAAHihb1jYoe6khTvY-a34favtPsBnhbQGHOfdqQU,as a grandmaster,4538953159,support,1797,1,6,10,6023,813,10299,54,28,16614,6608,11,0,0,235,8,32,4,0.6875,0.2608695652173913
-4no9TFCSpKq8eVLuVPYXzJ_ws3GPvbVGHaBG9kr2zrF,뒤통수에 세트궁,4538953159,support,1797,2,5,6,9683,3473,24727,63,23,22083,8607,46,4,0,103,6,23,9,0.36363636363636365,0.3125
HS4vb6k4aMAVy1tofOwxupFdttVcT5xB0chHUPuE1q-c,쓰레쉬한다고,4113725617,support,1210,1,9,3,10450,0,4462,31,25,10074,4761,14,0,0,85,4,21,4,0.36363636363636365,0.3103448275862069
pqjshXbnbzfqH4pNsvB77SChTJrN32Bkt0r12U1KSKt8sO4,나는야영후니,4216879208,support,1292,0,5,9,4644,160,8830,22,20,10000,4620,30,0,0,47,3,16,2,0.75,0.18518518518518517
oIftev9kbwc5_bjBKatY4s7lsIHpduTwOpy-X9t3DPaCabY,라운드걸 엄준식,4468395745,support,2113,4,3,13,12657,2762,9024,80,17,11469,10495,34,0,0,277,9,38,8,0.5666666666666667,0.1875
G_tR1BuQrNA6OTPxo6MiYKoRKrj9fBxAmzLuzkyIJT4v,holymolyshiiit,4468395745,support,2113,0,6,7,3499,959,13633,87,16,15764,6889,33,0,0,55,13,40,9,0.4375,0.2
VX8f4CRPsbjdNqagnjDy-x-7khrhSvnsVvQhERZIrhbUMAY,리버풀우승할꺼야,4530623879,support,1394,2,2,10,5408,8668,3866,24,6,4833,7173,2,0,0,32,3,12,1,0.375,0.18181818181818182
TKNcHPDA-06a-QOn0MgBynnp1rgmxitMprYHtYuBj_2k,롤은실력1팀운9,4537877486,support,1570,1,10,10,11591,1353,9267,65,22,17892,6538,19,0,0,174,9,31,6,0.5238095238095238,0.35714285714285715
izF0tnAgM36VBxPESqLKp-VagD_ZRdW7ae8olXiIhs6_5Jlk7U1W99cp,7승12패,4422753565,support,1527,4,2,20,10485,2099,21196,24,61,13398,8453,32,0,0,245,3,10,2,0.6,0.08333333333333333
n1pGDji4t9lDzcaN45m5SpyxneQ_RDmJdaW1xwW7RJ1Q,앙찡몬,4422753565,support,1527,4,8,8,6092,246,18902,18,28,15842,6983,29,0,0,129,6,10,1,0.5,0.2
Ea_AkAS3_FMcuRI_KBVK2c69UlQj1O3kAUqfgQzdcrfFUoq-puS1-sI4,한남1,4377682090,support,1322,1,4,6,4041,921,3653,26,19,7607,5915,26,0,0,74,4,13,3,0.5,0.25
Vxk-Tt24U4cFgbMj7uv-iIAdoq_mYJzed8jXc5IGig7J,아이니드백업,4532004376,support,1534,2,8,11,3275,5272,16138,46,12,18440,6637,24,4,0,41,7,19,4,0.4482758620689655,0.27586206896551724
st_z6JHk1llDij9-kvwnuIV6zFj9mRXWzBcb9P7CQ-EA,자야행,4532004376,support,1534,1,9,19,7507,1246,21620,54,31,19512,7826,29,0,0,113,8,22,5,0.6896551724137931,0.3103448275862069
wfCJli45LZRAlrHDcveA8Dqn8Ut_kjuoAZZt81-dvWdw,납치된 성연이,4357878749,support,1964,2,9,12,13076,10867,13283,66,44,20716,8768,18,0,0,172,5,37,12,0.6666666666666666,0.2
9k_U0kc5ax2z0z5eJr772gP-V7hgJHya6czo3bUKbM-XGw8,Ni모 II,4539105611,support,2454,3,7,13,10050,6553,41476,102,35,26999,11252,42,0,0,110,6,46,14,0.6153846153846154,0.25925925925925924
-5ZBZjxdwTJyMnTdvcaFZPR2Ct3xLRX-5ADVlCi5Y0ySaSpZbt9mXrxO,강형욱 사랑해요,4488047452,support,1620,3,11,10,5993,3957,23425,30,38,24358,7081,33,0,0,81,6,15,2,0.5652173913043478,0.23404255319148937
vO7tmqpw32mDoLNBv5hocdStsB_ZTPnWhLVO01kuhsKt,Nugamoredo,4539160324,support,2011,1,10,13,8109,2583,36716,76,58,25062,8509,29,0,0,96,8,37,8,0.4375,0.29411764705882354
haoICHAvDq4iPd6Ce79RH51rGXzlhaW5T8q4FNOKySg9,방금먹은,4531182921,support,1504,1,5,8,5359,4771,11087,46,18,14878,5531,27,1,0,126,8,28,4,0.6428571428571429,0.1724137931034483
vvv2P--dor0zjOmn5gt0abd49yDhixZfVjG8B_idLdMikVY,angkimuti,4538668473,support,1718,3,7,7,11135,1261,7761,78,25,19582,7312,50,2,0,63,4,42,13,0.5,0.2692307692307692
DBrsIkVi-NL_5V4FhN0xjmT61c6k0hS3tWn5q2j0zmJVuMo,반 남,4538668473,support,1718,3,4,15,5487,10636,20410,66,31,16990,9380,30,0,0,49,9,30,15,0.6923076923076923,0.2
07lnvZTCcLQueq5vFPLMsXK-c8YP0CKbgfqh4Nh8b1dXOFA,carriage return,4539066855,support,1677,0,3,8,7537,5458,13995,111,30,18413,6082,37,0,0,153,10,56,15,0.6153846153846154,0.10714285714285714
BxJvTsiJlEnOU_BAzvGdhE5h-2JLGsWESUHoD0pMbNsYGhM0VopC1G2V,20010621공주탄생,4539369839,support,1210,0,7,9,4867,428,9665,34,24,12611,5042,24,0,0,59,6,17,5,0.5625,0.21875
N5qySGRRcq8_k3aOuv6_sDW-OemBz_2lLm_C_nt3eMXtiaw,dytpq556,4523176579,support,2304,2,3,16,12260,6613,12882,89,23,15281,8844,45,0,0,189,10,44,6,0.72,0.0967741935483871
3Foqh4N5L3OsYMdIt4Zjo4AntCJ5QmyQ799xdKt0neFtsO8,바드찌,4523176579,support,2304,2,6,13,14687,20497,19622,111,26,25675,10058,45,0,0,196,12,67,11,0.5,0.24
Usn0UMJ-0YgTNJxtgXoKxq5FstkZNok9oCqF7i83YNO37co,자르반  나세,4523154945,support,1901,7,0,12,8884,3646,33151,78,23,16810,10790,50,0,0,63,10,37,11,0.4634146341463415,0
Ki059XYXrNl_jTfTEZfMIS2NrwZg_U7EVI728uefZxdEIoQ,romunhan,4534860821,support,1413,2,2,5,5749,1658,3464,54,27,6792,7078,20,0,0,42,4,15,10,0.4375,0.5
TWrtsLYfAaSDinOoADOnpDoAva3nw344uERVyqihv7e6,15살피지컬,4127697217,support,1700,0,4,5,3703,578,12873,41,24,11734,5628,31,0,0,62,4,20,6,0.35714285714285715,0.16
M5_ZfOtjAycphQPk5nL_FXoq-leKl-XQVrLZhReMdbTn,yuchun hanguo,4525246476,support,2016,3,7,7,8624,770,9553,63,18,14382,8352,21,8,4,171,1,24,7,0.5,0.21875
Jy16KmD2Flqqo8P3TkJtj93QPKA0WlIkxflTUG7cfzZGEzQ,야마탱이,4525246476,support,2016,2,2,21,5663,2224,9084,72,34,12285,9351,37,0,0,183,13,34,12,0.71875,0.1
SByd10xm0kQR0pQY7i53K1a4_m1HTW3AMYccyVOO9KJDxoQ,양광순,4468864368,support,1457,0,3,3,3208,731,8825,40,17,9767,5530,29,0,0,63,8,18,5,0.17647058823529413,0.2727272727272727
jJbNLq9tng74rrTaNaNAFtHXt6hZzqpef30AhJesVrpf9ZJcUS246AYG,Cool ADC,4528456463,support,1728,0,5,4,5837,6136,5396,28,21,11716,5737,13,0,0,45,4,10,7,0.4,0.17857142857142858
madHVQEteWHWbmyp_Vsv3xts2hJf1O4LAvDZNutyiXqW,도와줄사람,4528456463,support,1728,1,2,7,3753,7025,13051,69,21,11166,7187,37,0,0,69,12,37,6,0.2857142857142857,0.2
wtlEIXKMEFduZIm_f6c_fdrq72AVrFugIFu8vCF8qmoHpLQ,아니뭐가되는데,4540451450,support,1776,0,8,9,8016,1739,20772,47,36,18081,7471,37,0,0,194,0,25,4,0.25,0.3333333333333333
HRr7C3zC7i9P5873JPYqYI64K8bpiYQaSROTHCQIQSTH2dY,비욘세3단신음,4540451450,support,1776,2,7,14,12223,1719,32228,81,88,21698,8129,41,0,0,327,11,35,9,0.6666666666666666,0.19444444444444445
0PO2FctZmUS7xGXR-inMa5RT9bDbb-NQV_p7lG0MCpk_11w,룩삼과공혁준,4384052618,support,2002,1,8,22,6379,2147,26780,80,44,20788,8915,47,0,0,90,14,38,21,0.696969696969697,0.21052631578947367
8L6ON97Pt_-d6TqYE2hCfuzVEAVne9l5RICD90RJUSJbAR8,겜            땅,4384052618,support,2002,7,5,10,9988,3781,12642,99,28,16987,11832,50,8,0,123,11,31,26,0.4473684210526316,0.15151515151515152
H6GJ9atY9VFZGau0LKqcl8XkaBkVMyWiHvxkRPfQkOJ4,둥근산을화려하게,4265422782,support,2174,1,5,18,8512,9198,10863,95,41,15433,9425,27,0,0,179,10,43,15,0.5757575757575758,0.21739130434782608
1noldRzLgK0rl1Mdrb0tTb7RdlrPhY0teehQrofxQ1-Ew_Q,진  No1,4368952729,support,1306,4,2,6,5598,362,6887,48,25,8055,6598,26,4,0,111,5,17,7,0.4166666666666667,0.15384615384615385
CoppNDgNTxBkgvvP59Hg-L5heyIHiWLslB9GmlNItK-9,돌아다니는프레이,4419400667,support,1690,2,8,9,8404,736,17697,88,19,19434,7304,50,0,0,76,17,45,17,0.6470588235294118,0.2222222222222222
J5_QN0HIzawExPYNHNowhbsKpyCZ7C2gC4bysMgipdfr,73039752,4528574583,support,1688,2,2,11,4774,753,4284,59,12,7012,7591,14,0,0,119,5,22,9,0.6190476190476191,0.16666666666666666
OQew74_Bs4l1EHXh54QkHcTfKcElRpWRI7QuvNgez8kKZbbDBScF5nGz,퍼블 내꺼야,4528574583,support,1688,3,5,11,16356,13977,13299,49,5,22305,12165,66,152,28,161,6,12,13,0.6666666666666666,0.4166666666666667
JMeLq12lWLzRkOvHHcZuiZuBeCOuAE7N0DiBR-wHp4Fj,쨈 치,4528574583,support,1688,0,2,6,2144,485,5626,47,11,8640,6045,35,0,0,181,5,25,9,0.5,0.09523809523809523
JtDylXBQrGgIdahk2maVeZIie5VeMeFGSauKZLoPm0Mvdxe6ubRXsDCc,아이스달고나라떼,4477369579,support,1317,0,0,5,4054,8716,2878,13,7,3248,4441,2,0,0,40,2,9,0,0.7142857142857143,0
8R31CTvXTIovvMaBlNgp_gHcsJ5M9DwtdhgtFnf3l9RUifM,1000RR,4440650449,support,1401,0,5,8,7308,407,21680,26,47,13299,5263,33,0,0,195,3,14,3,0.5,0.18518518518518517
NIdQQQqrZl_KEk-Cfc1WAyOTAUEgtDLDF37RT39YDlZADvQ,이덩규,4440650449,support,1401,0,5,10,5831,1548,13508,35,29,14575,6096,24,0,0,85,5,21,1,0.37037037037037035,0.3125
d0d_xmhyRphDFRI2jQ0cLd4I78KzggLYQHaJrUJlQMHi,볶은 콩,4465991305,support,1679,0,0,16,5970,7057,7271,74,28,8773,7270,10,0,0,120,6,27,10,0.7619047619047619,0
-FJg9V3U_SDTezFhdcneLsU4HXNU3z2NYwagApjQfjh3,AIRGIN,4465991305,support,1679,0,4,6,5004,4520,7209,47,16,11288,5767,10,0,0,21,5,22,4,0.5,0.19047619047619047
hfzDf2B3C6IUXdg5YzKDVmEDFgNr8DOM9RxBNq4L0vPl,닥치고날개뼈,4482388623,support,1671,4,9,15,15475,1462,9082,45,77,19255,8469,31,0,0,112,3,21,8,0.7037037037037037,0.21428571428571427
e0DjS0ZoAN1XsLUck_AQe5rFMlzh9N3RXnHNyIc5Q3Lb3G4,소라카는버스챔,4537759940,support,1832,2,8,16,5337,21279,9139,73,25,12955,7285,13,0,0,131,11,42,11,0.5454545454545454,0.21621621621621623
Uw0_E7ImVe6kX5okW-C5skM_NtrT18ToeqoCnjP0H8MY,너보단내가잘함,4529603749,support,1481,1,3,2,3354,4313,16798,39,26,13800,5245,22,0,0,49,6,21,2,0.25,0.1
rchGocoOYs1_t5AalrPNyt2S32ncLe2bMfsywvqcI8iDTas,발락 클라라o,4476771094,support,2172,3,5,15,15980,14798,8543,106,29,24410,10490,41,4,0,122,6,34,29,0.5806451612903226,0.1724137931034483
SG9HMmiH6omW05VaYVNMnZxxHSCd2J3aEcGc56hZT0xt,벽과 기둥,4467645975,support,1728,7,8,23,11717,19283,48487,51,35,40201,10965,35,0,0,389,7,19,8,0.7692307692307693,0.24242424242424243
6oAlmVDLbbTbnJiAddxoxyLXiwQYuAIng47A8QZn5Hbq,코그모파,4467645975,support,1728,0,10,19,11370,494,25164,56,45,21149,7525,31,0,0,158,8,28,5,0.5757575757575758,0.2564102564102564
