account_id,summoner_name,match_id,position,playtime,kills,deaths,assists,totalDamageDealtToChampions,totalHeal,damageSelfMitigated,visionScore,timeCCingOthers,totalDamageTaken,goldEarned,totalMinionsKilled,neutralMinionsKilled,neutralMinionsKilledEnemyJungle,totalTimeCrowdControlDealt,visionWardsBoughtInGame,wardsPlaced,wardsKilled,killsRatio,deathsRatio
Ga4ymM1T0EI7tqna0dAJRv5zY5XfGTCr4YtqKYOtxoUOBUk,이름할게없다,4521410205,jungle,1478,8,2,7,10786,13102,12738,24,12,24768,10111,17,132,4,551,3,4,4,0.6,0.14285714285714285
mRsKYMZ0gYT26jTfaYSN9uBcjAuFuKRJzGpaigm8W91zvlwlCm4Vbn1s,고독한정비사,4521410205,jungle,1478,3,5,2,8403,9251,8434,15,11,21240,7819,21,123,0,145,3,3,4,0.38461538461538464,0.2
3I65WxMOzLfdXYpOc_45x6ohO3v5WW3k__WSY3OMsCqClQdkhf76gS7K,원광대 정치학과,4541852695,jungle,2340,6,7,8,29400,26371,43928,19,4,47577,15436,61,184,9,175,2,4,4,0.2916666666666667,0.1891891891891892
VMI4iB4wFkH4Pw9rAr5oFA0p6C3qRNavC4ftNZYKFTq6IBM,vwvwvvvwwvw,4541852695,jungle,2340,8,5,8,16779,16909,52357,36,24,46735,15542,26,221,10,613,6,16,8,0.43243243243243246,0.10416666666666667
euNfaLWmNtjh0k3ADdd7zhebZDMX4q3sbzOeC3bpELycvqY, 브론즈황제승혁,4431170068,jungle,1657,7,10,4,20740,14074,17391,13,11,33319,11571,32,104,8,186,2,7,2,0.5789473684210527,0.2777777777777778
SiGVbmw5bmFfH5v9_RpT0R6U8Gbqguk8OUo9X8qY288j,블루버프안주는놈,4533974386,jungle,1484,9,7,4,18424,7874,26187,20,25,29878,10211,19,93,6,393,2,9,3,0.5652173913043478,0.19444444444444445
XvVnMQQ-9LSUEAOCkLz0K3nJQ_TGh0rv-seb8rtiICvgy-E,뉴누와 윌럼프 ,4486677014,jungle,1238,6,1,13,7066,14113,12029,20,22,19050,8729,15,100,0,247,3,3,3,0.5588235294117647,0.125
RugqWaeJnfSiyZU3OyicxK2wM5wCv6E3yqlPxgO9h7tYvOGhcyUOirWW,김하사우측젖,4541656343,jungle,1389,8,7,8,10278,5809,15484,17,12,25416,8927,12,79,0,355,10,16,0,0.5925925925925926,0.19444444444444445
NXOtj-uQv7eDzlPFB3n-pAg_Lj45DYRkRL_UY1-YPcKXHSmIriBoh5BT,이러바요,4541656343,jungle,1389,3,6,8,9572,8808,13987,27,16,21917,9813,22,129,8,329,6,6,4,0.3055555555555556,0.2222222222222222
C8gpWrjUMZWbrEv8fKe4-THhBYqxSbyjtTpqAQULHmKLElQrNsYWXRSU,마스터이원챔장인,4532908723,jungle,1797,5,3,4,11196,13646,17262,17,3,26535,12259,39,151,4,191,2,2,3,0.34615384615384615,0.13636363636363635
I3VIjM1vJIS4MabVT7sXaoInxae6Bqf09mXWTazBJz5U,니머리보면짖는개,4541286938,jungle,2187,2,9,18,16154,22128,52352,43,39,46349,12737,45,143,16,405,5,12,7,0.5405405405405406,0.225
sRQlnr_yAC1nVqCrVdP9HIa5nA89FxSZaSvU4NstIbQTnAxhOEVt857C,관음증 심봉사,4541286938,jungle,2187,7,8,16,21320,27184,52192,9,44,55354,13490,25,151,20,319,3,1,0,0.575,0.21621621621621623
VJaDU1XCtK0-HWNEBEgsdE74lGANVfk54JFH-s9MVaMA,누누폭격기,4538458335,jungle,1731,4,4,19,8322,18785,38802,16,21,33820,10646,19,134,4,314,2,3,1,0.48936170212765956,0.16666666666666666
phWBp_wR0Z1CHgsluYI0_zvfseTBpAvxiEyNl_E5a8wU,꿀벌거북이,4532284425,jungle,2098,11,7,13,22420,11928,34112,52,23,34911,15313,61,156,8,389,8,14,12,0.6,0.2692307692307692
M2AQkx9MRNvnTXPb9mRGJkQ5J7uLyt6uda6M4yD5ll_Arxk,소혜님,4532284425,jungle,2098,4,11,11,21344,11923,32096,17,6,42478,11425,49,132,4,172,2,6,0,0.5769230769230769,0.275
VNeKPwB8LUACOG3mhv-y5MYf6q_ojt5mKyR1TTgEcYFqq7g, 박범성,4494491935,jungle,1920,6,10,14,19222,9657,38689,20,53,36795,11069,35,96,0,214,4,5,2,0.6060606060606061,0.17543859649122806
B8hc8eMSreIJ8U7lZJF7DQ-OLOk2sajH5SE_w7fP9ikv,살찌면기분좋음,4492887476,jungle,2071,6,6,14,13324,9884,39182,26,26,37834,12361,54,122,4,576,5,9,2,0.6666666666666666,0.125
xcuMaUSO9UBD2istyaEFp6EF4-jkZXab-SaxRFEqzXK5meM,aka뚤라,4492887476,jungle,2071,8,9,17,31003,19689,26484,43,32,39447,14459,36,156,26,453,7,9,11,0.5208333333333334,0.3
TFeDfmrzzwmTiZ2N82mqBlDjx2jTmvqbTmt0pkfd03AM3d0FLw3tnDvJ,삵가시시,4495640972,jungle,2092,14,8,14,33841,12370,21225,30,29,31273,18961,78,192,9,599,3,3,3,0.6222222222222222,0.21621621621621623
YUMRmuDmSPidTySBFHAPNZSlEkNoGkUjqkrn4pR7aN7eY1tMiCCnT5zt,PENTAXXTENTACION,4540380421,jungle,2326,6,3,4,9100,17393,23424,31,8,31532,13087,42,170,4,602,0,1,8,0.3448275862068966,0.11538461538461539
4lefbBaxOsshn94UQu07-3Cmrw0yItE6lDkaIrVWEoG6jMA,불꽃파리채,4540380421,jungle,2326,10,8,7,28640,15125,22681,31,11,38368,14617,26,165,9,213,4,4,5,0.6538461538461539,0.27586206896551724
nFiu69EHAaJKJ_JbZV4OJmhjPOCZIf4iHwchX6kmR9z22tufxxWdYsNM,펩시콜라만콜라지,4537225591,jungle,1898,13,6,10,17246,7434,13499,23,23,26864,13610,24,122,27,877,4,5,4,0.5111111111111111,0.18181818181818182
V0mBafINpWWWzU_Uv4FYNZm_bDY2JDItfxancKFcnS-PIVc,스님행,4537225591,jungle,1898,6,10,7,14155,12577,15201,35,10,31503,10119,34,111,0,227,7,8,6,0.3939393939393939,0.2222222222222222
Yxci-p1Z-9yj9JNAQCDpsEQg9ll4lP5Cmj9bRVdnm9Vx8mbFvlsBY9SE,집중모드 on,4541653997,jungle,2379,9,8,8,24262,23502,35825,36,18,50322,16063,36,202,9,608,5,5,5,0.6538461538461539,0.27586206896551724
zoX3DTdKCaDyuA5M1v7ghcP9H2DjZlA6vrMaIViVCRiC,스치면 뒈짐,4541653997,jungle,2379,7,6,9,16789,10903,18227,37,22,31389,14871,41,164,5,121,3,4,8,0.5517241379310345,0.23076923076923078
13ptMIW5qwfKmjVq3CZFdChN_aCS5vi2_zwG8D4oyjgT,날씨좋다,4523003865,jungle,1237,6,0,5,12145,11817,9544,19,6,19517,9396,18,133,40,207,1,4,1,0.4583333333333333,0
InsOyNw2-5rRh86EfL1JSskaE23sfLEDKaTHQhcvzOcfDzwGY85BdJRe,2013년생,4493570967,jungle,1476,5,4,9,11373,4601,13806,33,16,12903,10060,22,118,13,142,5,10,2,0.6363636363636364,0.3076923076923077
To9AaPpAOTYP19AWrXSDGzBOUXJt_qpyK6KJWCQbVGYb4mI,그의 변명,4493570967,jungle,1476,6,7,2,10308,12885,15494,18,15,30212,8588,21,111,3,394,2,3,5,0.6153846153846154,0.3181818181818182
C7JbVKoforG0_IDh5WPgBC3sxmb-QieoR0PhscektvrW,사랑할래,4451582175,jungle,1743,5,7,5,12843,5839,10697,41,22,22267,10975,50,116,11,704,5,13,3,0.47619047619047616,0.1794871794871795
Tv4aFBE_07ztBoUW9pCVUGoMizWZcKIsPN4RtkkLVJKEkhg,혜화동연의보,4451582175,jungle,1743,13,4,10,19766,16962,18132,29,14,29642,12956,55,104,3,347,7,6,5,0.5897435897435898,0.19047619047619047
tuqy3byoZR4GBynQrU6VDxQbeG7Wt7Y2OUg6gukH0sSH,플라리트 버스충,4541186812,jungle,2172,16,5,8,26058,9591,47657,20,20,40166,15589,40,140,28,475,0,7,4,0.7058823529411765,0.17857142857142858
Z2YLVqxgOUTbdB4EmWikpg3Z_aQBcGtMWd13zxyFLE0EC81XfWLdhjgZ,얼두미,4541186812,jungle,2172,4,4,18,18155,39465,48821,32,56,50015,11779,56,117,1,465,6,7,6,0.7857142857142857,0.11764705882352941
JB2B9ONZUkOu-WbqD3OquEFG4mSZ4BG-4BXszZiAVM90YOk,벤츠e300,4536462927,jungle,1682,6,3,8,13399,16131,10703,30,2,23132,10922,29,145,11,107,2,8,6,0.3181818181818182,0.10714285714285714
6nU9wK0-t4NefNS3ZqQn-3eLKXM7vCOaIqfO18QNa8pZ,Moonlight Sylas,4536462927,jungle,1682,3,10,11,10138,10793,14971,14,16,28966,8309,22,74,0,229,4,5,4,0.5,0.22727272727272727
Isa24dFIVKyhsanjvUqmeaePIxUMIMm1SeQtIEIPIMQdmnko2ViEpPU1,scexy,4534165936,jungle,2288,2,9,10,11321,10428,32404,19,20,34866,11091,57,144,0,242,2,3,4,0.3333333333333333,0.18
IIDuwF_6TI2_qf-5elE1ISmz5bNX-kuvxBD2Q1V5Q96PWjI,이거완전미친새기,4538318541,jungle,1601,3,9,3,7073,3258,10052,10,15,18709,7194,37,53,0,193,3,3,1,0.25,0.25
oAvDlRA_jnjNgFM_QTf2lD69UmIAkYT534Iu9tCD6wn6Q9wIeIBGv79o,턱시도 펭귄,4538318541,jungle,1601,13,3,8,15253,15873,22344,20,22,26892,14185,40,142,16,399,2,3,4,0.5833333333333334,0.125
L4cKJBOiCwFuV8Gbo4wj3GOLzmqdC21lNWwb1BzUCSk1,이갬이그렇게잼있,4541180901,jungle,1303,3,7,0,7278,9995,14693,13,13,23325,7460,29,93,0,384,2,2,1,0.2,0.2
CFCwMiy7sx9gB3woh2kEYS7-6FGBVdF0zzNMzbS7kD-Fh78,요정의 숲,4541180901,jungle,1303,14,3,2,23023,13421,22677,12,14,25176,13107,45,140,4,455,1,3,0,0.47058823529411764,0.2
oy4tGXBUyuVUt4sVE0i6WP28uhBjv5aI6wwaC5d53BD6,물컹복숭아,4541280077,jungle,1693,9,7,4,14333,12676,12170,15,2,26507,11525,32,138,5,79,3,2,3,0.5,0.1794871794871795
RMSZ7erh7BzBCF6LXvGvOJJlgTzmj-jS2RvY0jB8q7CJ,기어다니는낚시꾼,4526181542,jungle,1898,10,7,4,22713,15375,26794,18,33,45467,14233,41,139,16,330,0,7,2,0.56,0.175
-_vGaMhFV0FMw14-pORToFJ4IylquZRnBDqS-xjcII40uM8,꽃길만걷는사람,4526181542,jungle,1898,5,3,23,10210,17704,37848,17,31,32506,13127,53,136,4,376,1,6,1,0.7,0.12
M1X_pSWdRT1dgIcZW8gtOT8ooXPfTiJ9KOnfGyB8Treb,제뤼케이,4541274396,jungle,1677,3,12,3,7663,4582,34195,25,25,28300,7943,30,91,0,509,6,7,3,0.25,0.3
zXyJrxtJ1qHMhPPLoY9b5fz0a5mtHIa8YFSsT-bKQnbo31U,Pussy  A,4541274396,jungle,1677,11,6,13,23533,15333,12473,31,11,26285,14527,53,154,22,239,3,4,10,0.6,0.25
S9NN2kToibDoYx4buozlYb7FOn1bmjNID6qUBZaVjx0U,MNA GGyu,4536693786,jungle,1693,9,3,2,12752,12421,11080,54,13,22681,12429,55,156,8,385,6,16,9,0.34375,0.2
bn1fXvhcDKFj-tILuxYSvWNKgFi7vCZQYBN_AQdJFF8BhDE1RuHVL-v2,박금례입니다,4478623271,jungle,1752,6,4,14,17097,11978,23461,24,37,25331,12030,29,121,32,210,2,3,1,0.5,0.16666666666666666
eBHYNitpY4GHubW-vclm2evvtBPmfTrtFMpUdQHR_GJQ,우리집네티,4470159944,jungle,1289,7,1,12,12235,22818,14071,23,38,18591,10088,25,82,13,422,2,8,1,0.6551724137931034,0.05263157894736842
DSBUPGrAjcT8KXYqU-bH7PRpLB0qYRXmc6YjqHTV0TgnuaI,돌석일만만,4541879484,jungle,1552,3,5,7,7111,23810,21960,29,16,32926,9056,33,111,9,263,6,6,4,0.5263157894736842,0.16666666666666666
lsix7iOwrSVAVhulZH5ZACWqQw8RXm63c2FuTOFqsMMShfw,이름을찾아서,4382495875,jungle,1495,3,7,3,10045,8646,13125,14,5,25378,8587,36,117,0,185,1,2,1,0.5454545454545454,0.25925925925925924
OfDdcRf7p84Y9IoAxKKdiCw8d7T4fXcG2BkpmCF5Pbub,KNOWN UNKNOWNS,4366245788,jungle,1241,3,3,6,8467,6173,7838,18,5,14778,6877,15,64,4,309,5,7,0,0.34615384615384615,0.1875
ZynCLHzdGQVa8KZCPdwhdeD4a4kfpmCNUQkHF0YO-2Xk1sU,챌용준,4539119440,jungle,1922,6,7,15,14800,8467,22065,28,26,31752,12373,61,101,21,416,8,16,3,0.45652173913043476,0.25
oGoPKgKaPkdTgJrMcB63TyXXC1GHHS5kbI1NfX3_NWSh-J4zqW5Opake,퀸섹시,4539119440,jungle,1922,8,10,10,28921,19618,29792,27,29,47085,11890,32,108,24,395,1,9,3,0.6428571428571429,0.21739130434782608
