account_id,summoner_name,match_id,position,playtime,kills,deaths,assists,totalDamageDealtToChampions,totalHeal,damageSelfMitigated,visionScore,timeCCingOthers,totalDamageTaken,goldEarned,totalMinionsKilled,neutralMinionsKilled,neutralMinionsKilledEnemyJungle,totalTimeCrowdControlDealt,visionWardsBoughtInGame,wardsPlaced,wardsKilled,killsRatio,deathsRatio
VYhnt3IeHP7hsF61EOKMXG98Axl4SNK2w4oEKSGgjPvPZ48UolDFDjKH,아서라서,4521410205,mid,1478,4,3,7,9517,2073,5515,35,29,11513,9416,187,3,0,250,3,12,3,0.44,0.21428571428571427
NPwHxPYj6izsmOF5DbGfhdJoOMNPmQowBToZ2-Xo6P1JOFM,bokC,4521410205,mid,1478,2,4,5,14811,449,5649,17,22,13401,8495,187,4,0,189,5,10,2,0.5384615384615384,0.16
r376bE0uu7gH7Di3_tlzEetMAFtrjYjViU51rQ_rPjpcOwXQEBQLUr2n,철준철,4541852695,mid,2340,8,9,15,30289,4179,18275,23,32,28408,15690,230,18,2,242,2,11,1,0.4791666666666667,0.24324324324324326
-u-aH_5Z-zIRcCHvGeCiFRaxR33ciBgRLdBpKdySickwUDo,SODNAM,4541852695,mid,2340,4,12,6,32411,10061,29766,50,26,40734,12645,216,8,0,85,8,17,5,0.2702702702702703,0.25
TIser-g2H0MVrahNwcc2b7o07zQTt4EgPQA7OE55pyUV,쾌남 지석원,4431170068,mid,1657,0,9,4,10253,4037,12314,12,14,24331,6217,102,0,0,250,2,9,1,0.21052631578947367,0.25
N3TdBK6hOZW8EwDwwjz5MNQVoMYq-sfeLvGn2dJJiCwd,운쓰빠끄,4533974386,mid,1484,6,6,4,19996,770,6073,21,23,12615,8659,126,4,0,173,3,10,0,0.43478260869565216,0.16666666666666666
7sKMJeRSsgIgyiX7AHBllLN7dpnr-PSM7dNXwnyz2sPN,IIIIlIlIIlIlIl,4486677014,mid,1238,5,0,6,12698,3954,4833,10,16,10465,8168,133,18,10,338,4,6,1,0.3235294117647059,0
La_LmYZie-T9wu5JTzfD8o1zU-qsh0-GFX-venRU35kP,지견후,4541656343,mid,1389,6,9,8,12743,177,11597,17,10,17762,8883,108,0,0,134,0,7,4,0.5185185185185185,0.25
I1kr7r4WxWvku7jBNhraICTLoxxnR-wr0ikllZNHBHnHEeWc4dcSag31,아인즈II울II공,4541656343,mid,1389,13,4,7,25705,738,6100,17,6,12074,13575,144,14,5,101,1,9,2,0.5555555555555556,0.14814814814814814
cHvxkguc8T4R3biDRlDoiWPw50q-adZd2rTIvogquNxmwgs,라바돈의힙합모자,4532908723,mid,1797,10,6,3,26689,8081,22747,24,18,30082,14175,239,4,4,64,3,8,2,0.5,0.2727272727272727
qpaBoiNnBUOUfShOexi7Ht6CnHIPMRcDpjm_fuZ9R_bLvSwuL4eop4ez,lililiillililill,4541286938,mid,2187,8,9,8,22133,3568,15089,29,6,27460,13918,171,7,0,66,3,9,5,0.43243243243243246,0.225
9bGLW_Y-050FnihDcf7STOIwoyEBqnSO4-VbiOO0Fggz,할것이다,4541286938,mid,2187,5,6,14,29134,7624,18678,24,85,23273,11574,159,16,4,162,0,12,2,0.475,0.16216216216216217
F9nimWw3pNEXFdDYXj7C33XQXZ76aFcenPOIeqb8JTVq,원딜왕자 김대현,4538458335,mid,1731,15,3,7,33088,2721,11630,12,10,15240,14224,149,23,7,128,2,7,1,0.46808510638297873,0.125
UUrWwCy08QB7OHd_35j4grXjEh5jxZZcRYvL8csccYBc,작고 매운 고추,4532284425,mid,2098,10,5,9,35274,9268,33994,15,3,33590,15334,180,32,4,22,2,3,3,0.475,0.19230769230769232
WrwhlQtrtiWP5UPlR0k-fxfYm0yr3XHAsKVM5sRKapjE,오 알 조,4532284425,mid,2098,8,6,4,20405,10253,22216,35,4,33127,12116,132,46,4,88,1,8,4,0.46153846153846156,0.15
0lId3r43DP-8yQINy_9hTbvoTB6Kqb6CT-G-1Ue9MXXyRsg,Jacki Wai,4494491935,mid,1920,10,9,9,34588,1189,24989,16,92,27906,14150,148,4,0,730,3,7,1,0.5757575757575758,0.15789473684210525
wM1DLE0rFGoeuCTu3UqEEyq5f4ARw3zglmZ7F7-9bed6,난단발이끌리더라,4492887476,mid,2071,8,7,8,22948,10798,19008,26,15,33758,14253,214,12,0,172,4,8,4,0.5333333333333333,0.14583333333333334
ORKDTfDem21WeSjsgdJJtlRXSjmLoaR3CqYt5CB0eLjV,생오이,4492887476,mid,2071,4,2,11,26579,2737,5161,29,40,14795,13295,219,28,4,437,6,13,1,0.3125,0.06666666666666667
CVzGZ7jMFW0bp2KTJ0-4a58ZW3bytHsEhUWq7eCoytgL,vernilIIIlier,4495640972,mid,2092,12,5,14,30935,21817,45013,14,31,37605,16493,167,12,8,166,3,7,4,0.5777777777777777,0.13513513513513514
-SFqxRXR-MPuhgWn_Zg0hz9D21eqUP53tq9f6EO1e-Lt,사과던진다,4540380421,mid,2326,8,5,6,17019,5609,14538,30,16,26171,13006,170,12,0,192,2,11,7,0.4827586206896552,0.19230769230769232
ijPWJzFWrNG-9yk-Qgvw-A9W4-RtqBjqas90QzLXfA73PW744BPqroBr,너 구 리 아 재,4540380421,mid,2326,1,8,3,13145,1557,12366,18,18,20046,10513,189,4,4,335,2,13,0,0.15384615384615385,0.27586206896551724
vNGgg1ClkVd9nFU2PZqL7sgi2XFcAQlke1giuLbAD-gfcUs,JustLlkeTnetKR,4537225591,mid,1898,20,5,7,37924,6483,14277,25,3,23300,16555,189,1,1,24,2,5,5,0.6,0.15151515151515152
TA27hNI1F7gygDbmDd6k7b5D0okbZaqUqoaYpCic-6Xh,Acra,4537225591,mid,1898,3,6,9,12790,5397,13445,20,35,25029,10824,162,5,0,125,3,12,3,0.36363636363636365,0.13333333333333333
245-Gn5oAOLNgVBTNlVcJd0EEnKyY5iXPuZIWCmw1g5xZP_dIkjSsdRn,06바부,4541653997,mid,2379,8,5,8,29202,19563,29997,30,3,46261,15755,276,6,0,118,2,16,4,0.6153846153846154,0.1724137931034483
8h8XYiueHhJo_pmKzkjoV2nFeRU6PHPvfmJZHnDv7Z9e,샴페팡,4541653997,mid,2379,4,1,14,31770,3898,7670,38,31,13197,14335,233,16,4,92,3,7,6,0.6206896551724138,0.038461538461538464
cTKqjpzgHkw_9jn7XbSeeo6lnGDTpWBijcFUlRHOU82tSy8,광기 그 자체,4523003865,mid,1237,3,5,2,12145,3045,4645,9,12,15025,7380,109,23,13,133,3,4,0,0.20833333333333334,0.625
WDKONuf4LsaMbqcagElTvkRW7rbWE_DJtTP8PQ_G7dXMV1ZtlOAT_b3D,01077777524,4493570967,mid,1476,1,2,3,8318,5243,9553,12,12,13130,9704,215,11,4,112,2,8,0,0.18181818181818182,0.15384615384615385
95bqe15WsojcF64feMZrtX9edBMGndL8sca2ie9wIHH6,Volente Deoz,4493570967,mid,1476,3,4,2,11938,4921,6819,21,24,16152,8626,177,4,0,209,3,10,0,0.38461538461538464,0.18181818181818182
UwooGkVBgsfjFEFxrldjvxkRXk6E35TjiwILZv-susW9t6w,지 롤,4451582175,mid,1743,6,7,6,15419,977,27528,13,9,21408,10356,143,12,0,41,2,9,1,0.5714285714285714,0.1794871794871795
n5jhSt6pYPnBIzviVVoFIRB7PYkP7eiIZuzhnqzUMOMb,주환아 롤하지마,4451582175,mid,1743,7,5,9,21107,3072,21611,28,23,22895,12673,185,12,0,176,4,10,3,0.41025641025641024,0.23809523809523808
XTBM-MFeFo3PNDzrIazaPSHZ5GtA9cKuwloO5RaLh02468rkvMS_1i2i,롤하기싫다싫어,4541186812,mid,2172,5,7,13,26789,2271,12554,20,10,20308,13588,169,20,4,99,2,11,3,0.5294117647058824,0.25
feTBpdtl8HN-67da0eQgPUXWS5VEuRaB-xRdPAq1tK_Cc3g,귀여운게취향이야,4541186812,mid,2172,6,8,4,20845,10127,18670,26,4,32938,10907,180,0,0,64,1,12,7,0.35714285714285715,0.23529411764705882
Fq2OLyyvFGMgpVY3eYQI3UgWT9DDXHa0J6WCMGyHus1Q278,미니언먹는세진,4536462927,mid,1682,8,8,5,21416,5104,25961,16,32,23791,12703,177,39,27,146,0,8,2,0.29545454545454547,0.2857142857142857
Z_WgAB-gT-_2Ikq-1XXnKb7aC-VlAUcyzeusBKTs5l0B,오케모케,4536462927,mid,1682,12,7,3,17115,7690,18501,15,34,22522,13404,176,0,0,493,0,9,3,0.5357142857142857,0.1590909090909091
5TSYbvsTZZA0FzzVslYfB5b4AXnIOnj8xKA-eqvY2fzuiQA,DWG Peanut,4534165936,mid,2288,9,12,10,30130,12677,34376,27,62,52243,14509,213,4,0,424,1,14,2,0.5277777777777778,0.24
N0F1d9DhaBSFDV-Ta7QBMELxe3hVMgJmQbbEAxljNlUU,훈이랑소여니랑,4538318541,mid,1601,3,6,4,16389,7853,16256,28,18,27456,7919,127,4,0,132,4,12,2,0.2916666666666667,0.16666666666666666
kGyvOh_BCqrELRtW6By1r_1Vf_iJdMYnEiu44BaTL6cS0Hc,나는준영이다,4538318541,mid,1601,4,2,5,18209,5318,6531,23,12,15762,8787,132,8,4,26,6,11,1,0.25,0.08333333333333333
lhWy9r0UkV1G-XXSKkZE7soLMdpo2gt-JBk616a0U04JdkU,태업왕,4541180901,mid,1303,3,10,2,8413,2557,10453,18,92,17590,7349,99,9,1,201,4,5,1,0.3333333333333333,0.2857142857142857
6l-iXLVz8YfYz6d6qz-pAPSEtyFlrTowsDpS-iC-iIPFxF8F6LgUqwUu,sloth 곰,4541180901,mid,1303,12,3,4,18028,6469,8896,11,1,17845,11604,162,10,4,21,1,6,2,0.47058823529411764,0.2
NpTZapf446oD3DXp1FsXLKX8vS1_RTsvbM27dp9Gj3UQbZx9KBMSLW9S,혜지원박,4541280077,mid,1693,0,7,7,8768,214,21140,20,21,20284,8763,159,4,0,223,3,12,2,0.2692307692307692,0.1794871794871795
TOmfkSqeBshHf_m6jeCB-LAMTJX8FSi-N117ca8IALv7cts,강한코알라,4526181542,mid,1898,3,6,9,20576,4830,6036,22,15,21632,9798,145,0,0,15,1,10,2,0.48,0.15
MBMBRULcRhjVd5sNSdAWapycWHPcJapMSK8U5HBO6xthaMlWBajOnpwR,킹 솔 근,4526181542,mid,1898,18,5,6,40520,9731,27662,17,3,34890,16747,208,0,0,45,8,9,1,0.6,0.2
XqV6eJPv77W2uozQbqB8CvWh4Wc5ahUcTP6QdFEO_X4z,김 민 셔,4541274396,mid,1677,7,7,8,22730,3177,7809,25,47,19681,9227,79,8,0,184,6,9,4,0.625,0.175
POhIfc0i4BHMdpSD8OeNPNCdB7pL639WmhVcDWHLXO2tUkKl9VKQ9O_q,권 애 현 ,4541274396,mid,1677,12,4,7,24844,23499,9594,14,3,24219,13673,167,3,0,74,1,7,2,0.475,0.16666666666666666
UCNRCNUT6B7lgFLjRtQ9EiWNdJ0r-LITw6WusKZUAURA,정섹윤 ,4536693786,mid,1693,6,6,2,19258,1161,10410,29,2,20662,11453,202,16,2,27,2,10,2,0.25,0.4
Au7wCl3v1jkXH12bUYtLfeh0Ff3Y185IwXdowZdktMAVDb4,새소환사닉네임,4478623271,mid,1752,12,3,11,26903,7820,17575,15,16,23376,14484,180,32,1,56,4,13,2,0.575,0.125
88YnB65gtZDgLlSQR0dyX8tYILaE9IIWu6t32DoYg2TKjLvj-qWFZ_yU,77GameMM3,4470159944,mid,1289,11,6,4,19349,1565,10398,6,14,20364,11640,112,28,4,171,0,2,1,0.5172413793103449,0.3157894736842105
hb6J8vJTQh4nx6_1ppVrjb0Mz7AVu_CILYqkmUab42VD,HlovevolH,4541879484,mid,1552,10,6,4,32506,2846,20674,11,10,30274,15359,209,23,5,73,0,6,1,0.7368421052631579,0.2
3uHkZfK-qg-Pn9w_fzerdn_c_ngnDPIABnOYORQRYVBGQfk,NewMainTop,4382495875,mid,1495,1,4,4,14658,90,3448,27,11,10087,6757,141,0,0,111,3,11,1,0.45454545454545453,0.14814814814814814
yjIMk9YsaZmAEQRU8O4sY2BGASOhN5SgZIZxntn3IakxT2g,경복고 성훈,4366245788,mid,1241,12,5,5,17759,1768,15772,15,7,24583,12115,119,13,13,145,3,9,0,0.6538461538461539,0.3125
VOZO4jc3CesMfaLQXHikBBC3Ojq5_KpSpPvNLZPwOFMi,소오털,4539119440,mid,1922,9,5,17,30958,5752,10373,34,6,26386,13931,195,46,15,106,5,15,2,0.5652173913043478,0.17857142857142858
kmbMMlHyN00eqOKlBh4HmNsExzGxvWTwwFm0T1eYYRXc,SKT T1 Delight,4539119440,mid,1922,7,9,4,16626,5962,20482,16,12,29322,12743,205,0,0,47,0,10,3,0.39285714285714285,0.1956521739130435
hzSUYQCSFolvM0TL_sUHG3lbW8EvEnkl6M5ynU03f9D_,샤랄라튤라,4485379430,mid,2047,9,8,8,20231,13338,31063,31,1,39721,13896,177,0,0,31,2,11,2,0.34,0.2857142857142857
W3I-1XcHybcsOQRlqDHBjMk70HHv3MYXmZdgL1iOM_M4,효정 남친,4541618607,mid,2125,12,6,3,27500,2983,14980,27,8,24818,14024,160,12,0,136,0,8,7,0.46875,0.15
8ArGpuPZEWCb4Ah4nv_M20zxCjBvVJSe89HOnXnmxcnx39U,Asian Yasuo,4541813928,mid,1897,10,6,18,29141,6634,25021,24,39,23745,13740,170,25,9,155,1,10,3,0.5714285714285714,0.15789473684210525
AA50x5bEjwcit2rAtwJrCs8RZkmk0VulczbUJYX5F9bjP_qsOIFSytRE,19990716,4400745556,mid,2040,5,8,5,21421,4069,9460,16,51,23254,9107,115,4,0,207,2,7,3,0.47619047619047616,0.22857142857142856
7WZjXPQYhbOLC0bFvaobrm_Kb87R7EeaEmvbWl5Qv7w4aYyt52fx8XXp,홍시 팬티도둑,4400745556,mid,2040,8,5,3,13198,5414,11914,33,13,28275,12095,142,4,0,83,2,11,4,0.3142857142857143,0.23809523809523808
nm2z6fQl6QmKQR1kpOpHQ4GrO3EbivaZXionoO31xkt63Is,안견기념관,4540248939,mid,1507,4,4,5,10594,1384,13435,12,3,15140,9309,145,5,0,18,0,7,1,0.4090909090909091,0.15384615384615385
byaIIr3BiGxvE0fFzfbBGC1oR997A_8yC6I2gffPakqd,대물멸치,4529701207,mid,2413,28,7,7,74979,20257,27968,17,33,48266,24254,260,45,1,269,2,11,0,0.7142857142857143,0.14285714285714285
TMUZujdQ29fhjYgZRos1zH1l83k8YcOZZ4ZItqfjoH_1bIA,안경잡이원딜,4529701207,mid,2413,13,12,7,44176,10732,60844,22,49,39115,17526,236,24,8,235,0,10,4,0.40816326530612246,0.24
v0rnixAAz11gS_QAFlBTVzCbyn00v1IuFOF4ZOCSqBTT3Is,Alletun,4520782284,mid,2111,5,4,7,16520,6219,8673,31,6,23879,10910,165,8,0,13,6,8,9,0.5714285714285714,0.16
0wY6Qsx6Aln69jhnsivSXFr_l-xwJ2Sdpw76DsOm32Z9v9Q,너거들의성님,4520782284,mid,2111,7,2,8,26740,631,8849,32,53,9703,14833,200,45,10,534,3,15,4,0.6,0.09523809523809523
