account_id,summoner_name,match_id,position,playtime,kills,deaths,assists,totalDamageDealtToChampions,totalHeal,damageSelfMitigated,visionScore,timeCCingOthers,totalDamageTaken,goldEarned,totalMinionsKilled,neutralMinionsKilled,neutralMinionsKilledEnemyJungle,totalTimeCrowdControlDealt,visionWardsBoughtInGame,wardsPlaced,wardsKilled,killsRatio,deathsRatio
A-1Tkp3aQ4ITKIULw7SFDmNq8oZ14hM9ORklBrX0OD6u,착취충,4529288161,jungle,1235,2,2,1,8476,3923,4982,5,23,11803,6138,30,50,0,437,0,4,0,0.25,0.05405405405405406
1l0KsX8aVMaq8ed9Kh1iHIvJkrrBgXYTdgWJcb7qVRVh,WAKE UP Mental,4529288161,jungle,1235,6,0,9,8643,8734,8021,16,9,15043,8336,15,100,8,317,2,3,1,0.40540540540540543,0
sAXwdU60hPkF6Jna7za9UH1In0FZImOWk520jODNdF7S-t5Ay_SFpl0i,LUNA3045,4547763753,jungle,1284,10,1,12,16194,11041,11848,12,21,20799,10390,26,88,0,386,1,6,0,0.5641025641025641,0.16666666666666666
i7q1ajvCjjb51rZbq9KcDC0q9sYPA25uP87cZlXlJO1c,Suka,4547763753,jungle,1284,1,6,2,2835,5606,12644,16,11,19020,6558,29,100,8,182,1,7,2,0.5,0.15384615384615385
UBZCud0h1rGSSjrbp9onDUionodb0MpeQGNhnojnrNOjBt8,긁이즈만,4545083743,jungle,2266,3,7,9,15451,24504,34434,38,42,44786,12158,53,140,4,516,4,12,3,0.5714285714285714,0.2413793103448276
lDeH0NWD3BI3tznID1Necx-3pic3t0jl_pcTgM74dqN7sF4jwClhOwib,누이좋고매부좋고,4545083743,jungle,2266,1,8,23,23446,12888,74460,45,63,49650,11511,52,118,12,1244,7,18,5,0.8275862068965517,0.38095238095238093
51ilre83eNOMvuLEGeFbH1GMy4k2LVrtUlzRQ1hXD-d3ERX845lUNWOx,TY 타이,4543413063,jungle,2077,4,5,13,16706,11335,41448,32,29,34829,12705,55,130,3,476,2,3,10,0.5151515151515151,0.20833333333333334
6W62wWUvtDJ_gftWSAHxdmHguFISg36PZkd1u73_PPL6,찍새님,4543413063,jungle,2077,3,5,8,13810,9984,27237,37,19,26279,11696,49,140,12,373,5,13,5,0.4583333333333333,0.15151515151515152
eOY__VqswUKu-18ceQnriHDcm4Y9AA3XPAROjayT-6rkdgg,zxzqa,4515766018,jungle,2277,11,9,6,26489,20305,22544,39,12,45630,14574,60,123,11,558,10,7,8,0.4473684210526316,0.15
tj2b3hqm2NuDWQ_Bts9OzqhoU5OdO6dAHdC-QGUBNvo3z0uf6LeT5vxD,왜울어상대가난데,4541771457,jungle,1905,5,8,14,15668,21892,36953,27,45,45378,11776,35,85,0,393,4,13,1,0.6785714285714286,0.26666666666666666
nSDUJmDiVR6oOChp0if6ljVnto7wrB0BxByFXhzaHQXJ,밥먹어아들,4541771457,jungle,1905,13,2,4,20972,16515,18814,30,182,27435,15573,83,174,7,553,0,10,6,0.5666666666666667,0.07142857142857142
Yr66Ynl17bawqZy3LRIGLdu4MIypFaRBah92CNVvrqLMEds,Social Network,4547735711,jungle,2069,4,10,6,15762,20519,32418,14,17,47023,11728,43,152,8,445,0,10,0,0.38461538461538464,0.3225806451612903
JKgT4l6vYVNyKVmFG6mxN6rrLF4n0a7FSIdBIdf0EIuQ,그만 살자,4547735711,jungle,2069,5,8,15,16648,9489,39540,32,29,39783,12889,53,130,2,338,5,5,9,0.6451612903225806,0.3076923076923077
9FtClrx-yW1-2cFAoVJ_2MAygfKNnBDCFCarq3-UPsezipU,다쁨이,4467763245,jungle,1639,5,5,10,13313,6965,11927,27,22,24516,8918,19,78,0,213,4,8,3,0.42857142857142855,0.23809523809523808
YzMxItKGa6R4A7GkMn3noeA5E10OXQm5xButEqbKRPzYnahVNhWHqvBH,무빙은 움직이는,4467763245,jungle,1639,6,6,4,10247,7017,18777,30,16,24206,10937,48,125,13,266,3,10,5,0.47619047619047616,0.17142857142857143
vYgaUZGj39f6EEVxje7FnSePtDICdUjc5eQi59fvlZmx,도구면도구답게해,4522944975,jungle,1435,4,5,7,9707,14206,18871,9,7,28996,9475,9,144,22,373,0,4,1,0.2972972972972973,0.21739130434782608
vGLL_qrgnWlVdKtMQPJxVDtDg7492_8u58Am_JFJE_k1qauM07fCkYWm,Dark Relic,4522944975,jungle,1435,3,8,12,11406,4532,5812,17,10,19331,8342,37,68,4,307,2,7,2,0.6521739130434783,0.21621621621621623
IDBX9AuFi9RJxpXHuZhCqsgPaSZv_Yp8oy1TgB7efula,땅거미지뢰,4515480857,jungle,1525,6,8,3,11808,9800,14621,21,108,25532,9151,36,93,0,386,3,6,4,0.6428571428571429,0.2222222222222222
awYS3hu5fUMXKNeOvdDNqcK9v11ySZbyd-Bd2QcoID94gAg,티모벤하자,4542134272,jungle,1988,5,7,4,10231,5500,12936,43,14,19272,9916,28,117,0,332,4,5,7,0.375,0.20588235294117646
ZQJQ8xj-tZcqHsPM89hne2HK9P2gn23u2JbHFdToJtDs5Dw,정글장인 병만김,4548704855,jungle,1332,1,8,6,7351,5970,10228,15,15,22009,6336,24,63,3,310,5,4,1,0.6363636363636364,0.4444444444444444
6lTMrx13hU4u4pG2XztPnWhNgFJzlkqnRoIfVXd7qogvzqQ,0테온,4548683387,jungle,2078,4,5,15,13393,9728,22897,36,12,28859,12737,37,144,4,109,4,5,8,0.4634146341463415,0.2777777777777778
oTZ-IqoKevRynwBrykx5cGEDxsYXlKxi0D7GBzRAMuHFUVNsdUB6ByoK,괴물 멧비둘기,4548023719,jungle,1212,0,9,8,8538,15797,15198,20,30,25849,5896,32,74,8,378,6,9,0,0.6666666666666666,0.2571428571428571
jjizHRBqwGQbi3BBpwAscXx39OsuyiREalOPlkHA9H8,지서우,4548023719,jungle,1212,9,1,8,11570,8292,8185,19,19,15144,10601,33,107,12,314,3,7,2,0.4857142857142857,0.08333333333333333
GDhlaM4Pa4rywik0nU1SzT8XLUU_tA-WO-ZX-1Jqli3ev_TSYh7Z5Tvq,롤조지자,4523076307,jungle,1348,4,3,6,8932,6316,11831,26,21,18369,7845,19,108,12,164,1,7,2,0.37037037037037035,0.42857142857142855
JGltuJ8CNZ8l1JDFvFdhxIv7nY1E5u506SFLUe_Q556WKmsNaYoajXPf,수원넘,4523076307,jungle,1348,2,5,4,11552,11474,15048,16,17,26356,7334,35,80,7,248,5,6,4,0.8571428571428571,0.18518518518518517
aS3kfCVygOjie5d2dUBPfoErcwo5C2pRC08t311Eb7bA,야오밍구,4503543622,jungle,2091,1,3,14,9851,27692,28807,33,35,37702,11335,40,125,1,467,5,6,4,0.6521739130434783,0.11538461538461539
