account_id,summoner_name,match_id,position,playtime,kills,deaths,assists,totalDamageDealtToChampions,totalHeal,damageSelfMitigated,visionScore,timeCCingOthers,totalDamageTaken,goldEarned,totalMinionsKilled,neutralMinionsKilled,neutralMinionsKilledEnemyJungle,totalTimeCrowdControlDealt,visionWardsBoughtInGame,wardsPlaced,wardsKilled,killsRatio,deathsRatio
cHZGuBIUVLU9uoJccZob4Rm12phNDg5MzqDGJ7guxVZZURI,광어밥주기장인,4548692380,carry,1930,6,2,2,24371,3231,9367,23,18,15357,14139,273,16,0,110,1,10,8,0.6666666666666666,0.08695652173913043
l0IAnGtcgXjWJ-l9Dl1T57Wb0XXlgz7jNBOQjzWEShBnmgziKSSL4COf,Perfetto,4548692380,carry,1930,3,2,9,11169,9601,7431,19,23,16367,11338,157,20,8,157,3,12,3,0.5217391304347826,0.16666666666666666
HiSa27XNz_--lCfTETuH44j3cIyiUTDiIBLk5JUp_SeI9ys,준호사마,4544493008,carry,2258,5,8,11,42812,4205,19488,28,19,29052,15154,213,12,4,356,2,13,4,0.5333333333333333,0.17777777777777778
9zjZEapVd06FtkUVfwRVDmeXRYcmAjhpHj5sC87g6MxUF3ICsYkypF7X,nice to meet uu,4544493008,carry,2258,10,8,8,26962,7121,20872,24,16,34690,16393,234,32,0,269,2,5,7,0.4090909090909091,0.26666666666666666
rkXJODM9P5Q5IFwfI77OE0TptHmxLDTCvdvzVDyFSl6q,진태민만세,4547828866,carry,1539,5,5,12,20436,1882,8792,23,7,14021,10855,160,6,0,287,1,8,5,0.6071428571428571,0.11627906976744186
90Z2cGexTwVpMDF7-V9kHTPEhhF5TKmPGj0YU86RqhUfZVM,인범아 나랑,4544185742,carry,1883,11,6,10,28978,13420,14640,31,43,28793,14328,198,23,11,528,3,12,2,0.5,0.3157894736842105
ifHug-nhdo9Bvc2t4BoCOBZpBjBYFWk3o7C6udWQe04VVmY,tjgusdn,4544185742,carry,1883,1,11,4,13034,705,6092,16,19,20971,8558,151,4,0,21,1,8,5,0.2631578947368421,0.2619047619047619
hkcjhjsarwyjPTD4UvHIp42sSyVMcATBa9b0QDz1xoSK,거느찡,4541495340,carry,2382,4,10,13,19588,5402,15125,56,57,28768,13222,170,4,0,757,1,14,8,0.3695652173913043,0.20408163265306123
a_dJvb6kqVD6He9Yg4XFCdW3o1pw_2bcqVvq28O7W85l5GE,CliffGodYJW,4546903145,carry,1455,9,5,4,11997,1732,4886,15,25,12724,12234,172,20,12,647,1,5,1,0.5652173913043478,0.22727272727272727
qxPUMY9iv-6d3GlJy9kTB59yntAwXzFaB2OFxpkRK8hi,팔로유,4540087419,carry,1347,3,5,3,9356,1871,4915,10,11,13127,9102,183,1,0,46,1,7,1,0.46153846153846156,0.1388888888888889
HXroYNHAIU0hEpsNB8eS_3GI6KYbPW4Hu4YfMJ81QB6Iryw,수수깡의 만찬,4540087419,carry,1347,6,2,9,14552,718,3205,15,10,6867,9354,153,4,0,376,1,7,1,0.4166666666666667,0.15384615384615385
6aSYlLUqDrCq_O7k0f_AXMwTBloYPRY_TZM_eBva0xYWCq0,tuandui chayi,4521070593,carry,1221,2,4,4,10744,1064,4455,14,0,10160,8057,157,6,2,38,0,5,5,0.2727272727272727,0.2857142857142857
KSJisotoxGxXFMo9luMicG6nDIloconZSujBiKl-e64RX8o,육각형 교사,4548648191,carry,1710,1,7,5,13681,2332,8631,22,3,19563,8134,161,4,0,136,2,11,3,0.375,0.1891891891891892
hH2ycQD5-GkKhD1WKlzFV4aHEgZRhvCkkuTbulHB6VKo,별 다섯 인생,4548648191,carry,1710,8,4,15,26346,3241,9762,28,25,14818,13960,179,32,0,161,2,10,2,0.6216216216216216,0.25
IO_htO8LE7P5-1QG2oCykvnPp5RbTcXTwD8tayPk0AG1,evada,4525917747,carry,1865,3,2,12,17017,2204,5501,36,42,11966,12968,226,28,4,771,5,12,8,0.5357142857142857,0.15384615384615385
TFGuzoBMKfUaJ5JrvKApWNKvLybRZ-UBv978u7fQKnHZ,이산민,4548268079,carry,2160,11,3,20,47276,6792,13022,16,47,29181,18965,267,15,0,154,0,9,3,0.9117647058823529,0.11538461538461539
k1mtRh_CajNRFkFhLpOnC7P5TXiYlC4B5UfwRROio6HoVXE,앙유연띠,4548268079,carry,2160,5,12,9,23622,3659,11919,37,52,24550,11500,136,26,0,760,3,10,7,0.5384615384615384,0.35294117647058826
-Ge6QVWyo0E9FzU7ftUQH0dq_YSWFamPOd4IFM0vuwnfCjI,상체는숨만셔제발,4547333410,carry,1694,6,3,13,20273,3207,6773,19,38,12990,13676,206,20,0,728,1,8,3,0.59375,0.15
ooIg41nndGO-x-gbFUpuxPTpY--r-ASBw1xLSqCAzLBjagc,종원이동헌이트롤,4547333410,carry,1694,1,4,7,10734,2452,3906,14,18,11889,9806,212,3,0,69,2,6,2,0.4,0.125
PL_AXwQN9dIRIimEcTFdJlE4vqGLcpli8bObFnDL4671OOg,영설이,4548609846,carry,1975,10,2,8,26224,1414,9171,28,19,17366,16106,278,15,0,115,1,11,9,0.5454545454545454,0.08
yJyaeVvynA9GkHx_LR9WLTmSP4-A_Bjmy4y_ljCB1xmEoFo7uW71teSg,한원덕제자,4547980383,carry,1903,3,4,5,11522,3690,6669,18,1,15061,11624,199,20,0,27,1,8,3,0.34782608695652173,0.15384615384615385
RB6_79GjMsisE5jzU9IutI8PSAcMRyjkXClhENvGo-lseHrjqsRT7Ujh,aZeft,4547980383,carry,1903,7,3,9,21102,2740,8191,30,24,15686,14403,201,12,0,106,4,15,4,0.6153846153846154,0.13043478260869565
RehN0jelO-qnyrZILz367LgzWyuyGcUBIws90VOVW7k8,뾰로로로로롱,4548740831,carry,1358,1,10,0,8707,665,4926,9,0,14599,5973,133,0,0,1,0,7,0,0.1,0.3225806451612903
gPnxNEqW0jzolVGmhHIS0MUMBTSvrx_h6OzMBRY8q4zCXXA,난바보에오,4547161881,carry,1780,18,0,12,42694,6074,12783,33,9,15996,18297,243,32,8,117,2,12,5,0.75,0
XaJ95zeYbB85N1o4SIQNcuisbCwzrt6NCvj3cB-LhJ2j,KogMow,4547161881,carry,1780,7,7,3,22284,2999,9491,7,7,19543,12205,179,0,0,149,1,5,2,0.45454545454545453,0.175
fdMTD3y9-KOc5DqePp0lNKY9QQr35DjL_AwGxiFFURIlxZY,쿠키앤초코,4541442017,carry,2123,18,7,14,39031,5130,31236,23,12,20313,16644,153,26,4,327,0,9,0,0.5714285714285714,0.175
Cv_qzHBE3k4BHXEF5eOAoaguleooM-dFncbT1jLSaqaaPyU,핵딴딴,4509581615,carry,1216,4,2,6,14173,1255,3732,13,2,7426,9340,140,12,0,98,1,7,0,0.35714285714285715,0.18181818181818182
3g7m7cghXXYm0inE_e07CKVCQJZ5TZNGTGOc5to4Hw0D,소문난칠공쥬,4546363771,carry,1288,5,2,4,9906,2013,4114,16,9,7562,8300,128,8,0,54,2,9,3,0.25,0.13333333333333333
