account_id,summoner_name,match_id,position,playtime,kills,deaths,assists,totalDamageDealtToChampions,totalHeal,damageSelfMitigated,visionScore,timeCCingOthers,totalDamageTaken,goldEarned,totalMinionsKilled,neutralMinionsKilled,neutralMinionsKilledEnemyJungle,totalTimeCrowdControlDealt,visionWardsBoughtInGame,wardsPlaced,wardsKilled,killsRatio,deathsRatio
90fDXVnFv7Z8gTw6unfcBEBsOOlxng-x4kYrNT9EtizLDKKO8StxdECt,문희주분신,4378814870,support,1444,4,6,11,7278,5540,16445,6,27,22705,7686,25,4,0,127,0,4,0,0.45454545454545453,0.3333333333333333
585ngMoY7wES4xa0XVhARq6kVjO6ey5zQEhAyZW9V3D5,주옥같당,4378814870,support,1444,3,6,6,12425,1057,9546,32,29,12813,6315,16,0,0,183,3,12,3,0.5,0.18181818181818182
nFxu-1ilv4Xd_6_sIzfZFsibz_C-XSnW_vWaO2VpiubGPIE,공복성 조울증,4506228464,support,1561,2,6,8,12362,4393,5051,53,17,14614,8072,28,12,4,25,6,25,5,0.30303030303030304,0.3157894736842105
c5r31483YwZ4yopPaBltlMztA6yAltlaJB08xKUbJLdbQT5adxQ-HRb9,롤오늘접는다,4457193594,support,2649,2,7,14,19202,7110,14445,79,64,25404,10362,35,4,0,456,3,33,7,0.36363636363636365,0.30434782608695654
hp1y0GcaYpW2Pu9hUB08qcpvVjp-4RORbGbZSdBA6KMeHxfB0FQkENFM,qkdplayer,4457193594,support,2649,1,6,11,7799,15570,42326,83,42,41331,9616,38,4,0,100,6,35,10,0.5217391304347826,0.13636363636363635
9-Qevixcd3kWHARbiVGnwyxOz3kLMIRofGHHVzA2NhPD,ehrrhfak07,4544218134,support,2902,2,8,17,11185,3244,55614,81,53,35736,11153,53,8,4,120,6,35,14,0.5757575757575758,0.18604651162790697
IgE41TiVoclzcBwS1szQJZLckryRxHuvtfcCwRrC6TI_,살아볼만해,4544218134,support,2902,4,6,17,8243,11274,7898,145,26,16794,12346,59,10,0,113,13,47,38,0.4883720930232558,0.17647058823529413
_zQn5GPLeYyzjco_miZ8wSssmCkTLvYYXzvLBYzkwyIC3rw,낙태의죄,4384335150,support,1987,4,3,2,15552,1729,6840,35,7,10540,7714,33,0,0,14,1,18,2,0.3157894736842105,0.25
uDK1QmcncJGEBk2KPyXS4MgedYynM-JzUXnRL-XoYsjh,Ji Roro,4384335150,support,1987,2,4,5,6606,5957,3406,51,28,11014,7824,9,1,0,86,1,17,7,0.5833333333333334,0.21052631578947367
JC1stCFfWfr_HSRJuo8xwWeGgp_aATYZ9ZTC9V-T1fyB,환상술사아카시,4300431140,support,1587,4,5,11,6185,1587,15110,23,39,11537,7954,26,4,0,119,3,15,0,0.5172413793103449,0.22727272727272727
