account_id,summoner_name,match_id,position,playtime,kills,deaths,assists,totalDamageDealtToChampions,totalHeal,damageSelfMitigated,visionScore,timeCCingOthers,totalDamageTaken,goldEarned,totalMinionsKilled,neutralMinionsKilled,neutralMinionsKilledEnemyJungle,totalTimeCrowdControlDealt,visionWardsBoughtInGame,wardsPlaced,wardsKilled,killsRatio,deathsRatio
vyoB1u_Rmms_jg3m9yb0HZ4of-vH3INWPV0S6iOC1pGvyUU,아기천사태윤,4378814870,top,1444,0,4,0,5450,3699,13562,11,9,16701,7070,157,6,6,138,1,5,0,0,0.2222222222222222
e0ZABUc9OKbHvjKwKb7wuoHvm0aql9V8jiP4BKGAK-Xm,behoneybee,4378814870,top,1444,4,2,3,14156,2016,9007,14,37,11449,7729,126,4,0,302,2,4,1,0.3888888888888889,0.06060606060606061
Brv62URmv4CvzWSUFiPzhSyYf-izRZoFPzlqpbQjT1LdYh8,야필패는과학이야,4506228464,top,1561,4,2,7,10903,7764,16947,8,23,23862,9141,123,0,0,284,1,7,1,0.3333333333333333,0.10526315789473684
ylqLmbtxtLVWzzG7c7p60BX1KaaE07wZbKmlHK3373tvScnbEmRHDAaG,인간8467,4457193594,top,2649,13,5,5,36962,19362,35286,16,21,36200,16580,188,8,0,280,0,9,2,0.4090909090909091,0.21739130434782608
xRZ2o3NX_d26NGKxDFuMXsNmfW2MOtTi5FBydQcgD01O,부부부비비,4457193594,top,2649,3,11,6,30274,11225,45155,30,1,52903,14699,268,2,2,40,5,10,4,0.391304347826087,0.25
5axdWh3PvbhzIowT2xt8rFhfWMNkj_0qCgKnj8VMrv_hfJVEL2EyG8SH,엽기돼지님,4544218134,top,2902,13,6,4,31024,6205,104866,25,34,54221,20073,250,30,0,198,0,15,3,0.5151515151515151,0.13953488372093023
gHJzyiXZd_v9ZlNyoAVEcQ7j8l1UIaoiLbXe8_Dy9Pj4N9Q,MENTAL사냥꾼,4544218134,top,2902,14,6,13,56411,8282,21345,37,14,37378,22279,285,33,10,150,3,20,1,0.627906976744186,0.17647058823529413
ORXI9FBKXugQbL7vvVg7mSaEAeUf7KjVqQQqT3gyBQeH,이판지면배그간다,4384335150,top,1987,8,2,3,21154,7485,27072,11,9,20126,11873,182,4,0,54,0,8,0,0.5789473684210527,0.16666666666666666
OH_-vh5i4q9doxHSLeHP4Js5NhCWgSDSU_OJo85xETFYx1o,beatrice 연에,4384335150,top,1987,1,3,2,9637,855,23583,21,40,24708,10239,201,8,0,103,0,11,4,0.25,0.15789473684210525
0vyAvIA6u4okpttJKBcjuRmWkltIjwAY9K9f2iNFQV84,선배거긴제발,4300431140,top,1587,4,2,7,17425,3177,4545,20,22,10424,10751,134,16,12,380,1,7,0,0.3793103448275862,0.09090909090909091
