account_id,summoner_name,match_id,position,playtime,kills,deaths,assists,totalDamageDealtToChampions,totalHeal,damageSelfMitigated,visionScore,timeCCingOthers,totalDamageTaken,goldEarned,totalMinionsKilled,neutralMinionsKilled,neutralMinionsKilledEnemyJungle,totalTimeCrowdControlDealt,visionWardsBoughtInGame,wardsPlaced,wardsKilled,killsRatio,deathsRatio
RbM5iwTW2t-NPAEtlee3h150yN3wnsJpN7nlo5c9Nts3,Bibal,4506621708,jungle,1897,4,6,5,21416,7440,14788,35,24,22984,11625,48,139,13,439,5,7,5,0.5625,0.1875
hjZGfV5algVz40bO5xRdAmkY7I3dnRTZMqUPb4vyOaYOKo40-tkS2eOt,이렐 장인임,4548005743,jungle,1437,2,9,5,9200,4516,10613,15,17,23147,6905,14,78,0,296,2,8,2,0.7777777777777778,0.32142857142857145
5R8dZ-vvY0CK2o5-JQkUOVbu5IyiAVVrlxp4Vj20IKh_,feelmynuts,4527596507,jungle,2252,10,4,10,21522,10540,41258,41,22,37539,16038,68,165,11,375,11,23,5,0.7407407407407407,0.1
D6bK85MGSDAsI_pIuqFgNLEmnTcqIpeYVWdIVphTdTPK1Ag,양은진,4506422484,jungle,1876,8,5,10,30957,13301,19916,23,15,30257,13136,20,161,12,302,3,5,5,0.6666666666666666,0.14705882352941177
lgkPjDbKjjQo1BjXxTWydt9X5UynF3kc009UoRAlursd,블루사냥꾼문대혁,4506422484,jungle,1876,5,5,6,10171,18352,13843,42,2,28146,12062,29,170,22,162,11,18,6,0.3235294117647059,0.18518518518518517
43ucYXmYBq7YaqCVLkQOYXPgxWjeyMaT4TCWscinFzIYmDy55cISbwsX,못맞춰도괜찮아,4548241373,jungle,1249,1,6,3,6985,3862,12608,14,17,18148,5393,18,60,0,212,4,4,4,0.6666666666666666,0.23076923076923078
RpRyAw0VUpEso5QH0UT1qNm6O-nqljocpMTIvhvhy7ZzOTg,대흑우,4518286588,jungle,2354,4,7,14,20021,21053,40078,41,27,44201,15049,77,149,4,503,9,8,11,0.5,0.21875
XpLJPH2tbqzv1kTrbCUgT7pH4vNdAEbEq8bxmIiqRfCvuAdWGpko37tA,재능없고노력뿐,4450281188,jungle,1899,4,4,7,8900,6075,23677,34,19,25288,10274,37,110,4,460,7,15,5,0.5789473684210527,0.1111111111111111
seEPlnGVDmlgBl-advTklSeyUk9kX1h_-6n7Vt6WxbVb,나비찡,4450281188,jungle,1899,11,4,11,17719,11811,23277,22,28,26104,13745,31,140,16,277,4,5,4,0.6111111111111112,0.21052631578947367
YYFnyEkZuHF-6IYpnL12ReKmKTY8KgaK5IbecfYSjmvMUpEN_g-VdJc-,Im falling again,4459745283,jungle,2132,9,6,15,29290,22508,41919,34,31,48450,15016,55,139,17,365,3,5,6,0.6153846153846154,0.15384615384615385
nRYMOkXCWgEEKi11BdTT8_fTqRPDUv5xPgqnV8p9K4_oIqM,백정 해방,4501680416,jungle,1584,8,4,14,14518,6898,22772,25,26,21106,11319,9,126,8,258,4,6,4,0.5641025641025641,0.26666666666666666
h_fYknshuS7dAFByISVow5DcLM1zR4rjGm5CXqafqwIz,광교피닉스박,4501680416,jungle,1584,2,7,7,7201,4088,19787,27,21,24371,7714,24,97,5,164,5,4,5,0.6,0.1794871794871795
xDEDBJ9IIUwKRYVZIjs_xaxfmdEnJ0rdDoVo8TQDrOzs,노롱가,4546535656,jungle,1462,3,2,8,6752,9710,19894,29,10,21788,8673,18,120,4,314,12,12,4,0.4583333333333333,0.2
x0cx7KYOogVmDa9HmyxQAmHSugkXBlfuHHChcMg5FLO2Bew,몹쓸죄인,4546535656,jungle,1462,3,6,0,12212,5951,10041,15,3,21303,7820,32,88,0,146,3,6,4,0.3,0.25
kccTVoXa4DCi5GYRjxBXkhSLlwsXYYLZcy7mh7jQSrwjX_0,Jungle Cary,4307057833,jungle,2216,13,7,8,19476,14814,38776,34,24,43511,13105,14,113,0,361,13,23,3,0.7,0.23333333333333334
nV1QiZA9ky9sBOAcGYvM2L0bBF2xIismYH7__r8iE-Q2,적이랑싸워제발,4307057833,jungle,2216,1,4,14,14578,13439,41999,32,15,34698,12833,61,169,14,502,1,3,8,0.5,0.13333333333333333
LeyXxfLMeoNO9lVeUX2nVVX56FAE6VPJlZ3qHATT45e3Lwk,아임조렛,4541927646,jungle,2307,18,10,14,41598,14945,53417,18,41,51895,17904,39,132,1,439,5,5,4,0.7272727272727273,0.20408163265306123
G-l--MzOylNQqg3zZUgmfrO3fC6KPtT0fqZdffW-m_0JzEY,카사딘  King,4542258421,jungle,2246,16,15,20,64986,17364,25514,36,27,47349,18192,75,125,11,256,1,2,5,0.6428571428571429,0.2777777777777778
wLjJyd0dNYjULXyAlo21sBHCnMakDY_oecipgIWuYFUpDj8x3WNH3xII,엄마 이제 없다 ,4542258421,jungle,2246,18,14,15,39730,17205,29821,19,16,55315,17278,88,114,19,335,3,3,2,0.6111111111111112,0.25
S98rT8_N0U8kKzwJ7HEEM3uhDxwDaNIIxODSyR7DdGurRsPvg03JNIoH,YouTube 트런드리,4542117046,jungle,3129,14,9,20,53579,44545,108045,42,58,84752,22457,79,218,0,501,14,13,9,0.6415094339622641,0.14754098360655737
I4TWVzqq--8KKLT8etKj3BTtIpYv1XeQA_WL7pm9ub5K,맹수 김재철,4540774119,jungle,1306,4,5,4,11506,5016,13410,20,15,17779,8132,21,106,0,346,7,16,3,0.6153846153846154,0.2
BJ1WGZmhWUjG0mK3eS-3RwTO7yqPJMoA9eJhzgCk_8TqgEE,팀개못하면무무함,4540774119,jungle,1306,4,0,6,3338,7992,16645,16,13,13943,8857,15,119,3,198,1,2,3,0.4,0
zMEiPTBQ3wJocFqeP4MMkFsmE9Xugp63phOqCAjTlzxB,회기역아이번,4432495231,jungle,1954,10,5,11,23218,7871,45183,26,27,30143,14479,72,113,25,227,4,4,5,0.4883720930232558,0.2631578947368421
JVxYtNOPgVchW8aUdT3WnN8Dbt6FYB6iHK7ilea7auofAaE,THEREISAREASON,4548286064,jungle,1400,4,3,2,9354,12662,13968,20,12,23089,9917,59,152,11,228,0,1,4,0.375,0.16666666666666666
PUajO5Tcc1bFYdOf3pTwwSmNoQqEM0LWWSL7gBbWRty0,산뜻하고달달하게,4548286064,jungle,1400,6,2,6,9741,6431,8509,16,12,14985,10722,33,129,15,466,4,6,2,0.6666666666666666,0.125
MwLBOSw1GKGRXpIgxLBLsvvl5hM5t4dJ8Nf_NVyZdqUBLP5Wd0YxQtt_,북반구,4538953159,jungle,1797,2,3,6,8119,5403,6796,22,10,14894,9265,57,103,4,164,2,5,2,0.5,0.13043478260869565
a4nzF6jngnLUYsiki2Euf0lUqPtiIkR8FZ3g6b_ZZPK8,비싸보여너,4538953159,jungle,1797,5,3,5,9756,14161,13399,37,156,25679,10998,4,163,4,539,5,7,4,0.45454545454545453,0.1875
7n2kAgoN1u9fWwka_kKBbrgmhzFlKjOeREThd8hiCEticr8tUColUzES,01065096563,4113725617,jungle,1210,5,5,3,5865,4859,13636,11,8,17223,7536,24,77,3,331,4,6,1,0.7272727272727273,0.1724137931034483
U4M1Xkc5JDz3DDC28amOgllxMypkLXuEUZJZwTUgdW6fF3k,김준흐,4216879208,jungle,1292,0,7,11,5259,15876,13951,12,21,24445,5480,5,69,0,316,1,7,1,0.9166666666666666,0.25925925925925924
53nJX0H36kF8g4R2-j6uCovGEDdIZA1La6trGIELuvnpyng,취양임존중해주셈,4468395745,jungle,2113,6,3,12,15052,10032,40746,37,19,31487,14272,38,194,28,479,7,16,8,0.6,0.1875
Q16g-T_IOBP1Yy-WV1zH6X2qN0_QJGYu1WD-Iy4PfmegnYALpL9vAt1k,본캐 다1 계정,4468395745,jungle,2113,4,5,3,15357,8461,14746,53,18,21190,12454,52,182,12,335,4,5,17,0.4375,0.16666666666666666
7VA_Ev9Hp1cpMKn5lgoNwgxn4D2EEhz8-3DxAt8IhfLUa-M,믿는건내송이,4530623879,jungle,1394,2,1,8,3940,17657,13854,24,19,25298,9065,51,102,10,253,1,4,2,0.3125,0.09090909090909091
i-lJsWCsXa4b4CMM91pV3TZG6IG9d7Gr1kpKAVxR7j36,상혁잉잉,4547537583,jungle,1970,8,3,17,16399,44160,30909,26,39,37740,13247,64,126,12,484,8,7,2,0.7352941176470589,0.10344827586206896
wyXEoxcXp8lKH1_8lPfAKDcU3f6nLkh3Pputdbm9gzHBJNE,지금 나 진심모드,4547537583,jungle,1970,5,8,10,12848,8224,28323,25,26,31121,11586,28,107,5,380,9,11,2,0.5172413793103449,0.23529411764705882
w8reogrWFhbFPPVLcDdMZc4GYfu6XTcHgvSQ1gxf-SCmwyc,오뚜기 참께라면,4422753565,jungle,1527,8,5,12,18389,12699,12189,33,37,23921,11396,18,112,12,698,8,7,3,0.5,0.20833333333333334
3V4aEu-g0BmiGlOhwaQROOurin61xK86-6e72oI4pTIV,용인 1위,4422753565,jungle,1527,6,7,11,20738,11922,16015,28,18,28991,9566,29,101,12,449,4,5,5,0.7083333333333334,0.175
wkqBvqX-wIHgWtOFaxkNUAJBDGwqO1w1s-P_8NRKhT83,선택을잘못한사람,4547083491,jungle,1238,16,3,0,22983,8704,8732,20,11,20767,13553,62,138,24,448,8,4,6,0.7272727272727273,0.2727272727272727
9VjGpxhx2Kfs9kkDM6ytfuzFgY9c96otCBGwYENkDLeWTi41LIuwVLpK,no ping,4547083491,jungle,1238,1,4,4,4275,10179,11007,14,20,21364,5757,32,69,0,169,1,3,1,0.45454545454545453,0.18181818181818182
50NGBACr4SJtYHTCts1FLlaXRAHurTqPckjjZFDDFis9,메잠 대깨,4532004376,jungle,1534,16,4,5,23031,10216,26764,19,28,33892,15071,44,138,18,299,3,5,3,0.7241379310344828,0.13793103448275862
rcEBGvBcWYzwh__HJQDOn-43KB7cBxFy0K9IsN449kXtk48,Mafia 그레이브즈,4532004376,jungle,1534,7,4,9,15357,21865,12964,27,6,26275,12148,21,153,8,124,2,3,5,0.5517241379310345,0.13793103448275862
EBQ2eu0GPq0izgJQpbplT9a0_qP6ztE_reiBTnO7kIMS,Tusin Fan,4357878749,jungle,1964,5,11,6,18306,12802,14591,40,49,32444,9817,26,104,0,479,5,5,4,0.5238095238095238,0.24444444444444444
eVkpFa1SNfVSvSWRNu7qXI5ImndwzHTzfIfl4HFOUkiLSus,생사갈림형제,4541566321,jungle,1851,8,7,8,18255,14884,26775,28,19,38761,13289,74,135,23,396,2,9,10,0.41025641025641024,0.14893617021276595
SJpm11H3z6--8gHOC8hD_IsluTfmM666h-HEEByHIFw7,Great Man,4488047452,jungle,1620,6,9,6,17571,8170,11889,17,8,27021,8866,34,81,7,198,4,10,3,0.5217391304347826,0.19148936170212766
A9w2HS4C4klMY04Ae4-PK_IxkL-p7ieNX9DMSa3XsPH85AE,댕 셔,4539160324,jungle,2011,11,4,5,21530,21948,21357,26,4,29491,14019,38,166,23,134,6,7,8,0.5,0.11764705882352941
gcfn_SXirccEh5ILOML_uR63Pm3oCmXsTnI9iyGBIKGK,Cld F,4531182921,jungle,1504,8,5,0,8530,11932,20840,19,12,26756,10699,28,117,8,157,6,5,2,0.5714285714285714,0.1724137931034483
1e_mlma85MbdTl1L2DlTmS2k3iNIA6dBzqoJF5sMICU3-f2Yup_PO61R,봐주세효,4541910171,jungle,1739,11,7,16,26008,8158,17558,49,26,25968,13552,40,155,16,459,6,16,8,0.6428571428571429,0.19444444444444445
vJKvgDQg_BOolPn2fg73DqwlesR5feGU6vZ1mBC1X2TA,나는슈퍼큐티다,4539066855,jungle,1677,4,5,4,12426,4735,12528,34,12,18582,10497,67,127,3,265,4,6,8,0.6153846153846154,0.17857142857142858
3j-op3zsCKwCY5_OalQbUQtLpmubpWU21AQBJM4XJ0co,말린거야,4547900598,jungle,1780,4,8,7,13323,12006,19982,27,24,33488,10633,23,117,8,197,7,8,3,0.6111111111111112,0.25
x8qQSwsjAOc4STibsjcTcB87xtC5EIgM-DaWKBGbtyx-,다리떨지않기,4547900598,jungle,1780,5,6,14,26948,12378,12650,38,16,26174,12211,55,160,11,207,5,5,9,0.59375,0.3333333333333333
i1Ls6MNl8mYEBE-Iy2Vlevsd2oUrDGyLU0k9tduzMjTkpI4,자운고 피콜로,4548597062,jungle,1717,4,7,12,15591,12449,14347,23,11,26811,10250,41,102,0,507,1,9,4,0.5714285714285714,0.2413793103448276
m3Vwc79bLbc91EzP7d8CWZRzKkrdRrpSwy9T_xOtaLG7GdFiIidNOcHy,Ed Sheeran fan,4543220588,jungle,1417,4,6,3,12669,6107,6045,27,17,16073,8354,19,110,0,404,5,7,5,0.7,0.1875
8bqRbwuwAHnu0M_nsdmEda--xELMHJuhAjty0fRcp1xrqsFtNppHzqre,KIM BONG,4543220588,jungle,1417,9,2,14,11445,12621,12193,28,9,21828,10465,23,121,20,405,3,6,6,0.71875,0.2
0SGeQNsfFWVcQhIj7omUjZ44lamjrRDPIEe5JzBriGos,Tenic,4127697217,jungle,1700,7,3,6,17994,11256,13140,20,25,23153,9797,48,64,0,501,3,4,6,0.9285714285714286,0.12
JkWRijSLFBtqrsAKhijb1PCBywyol6jybMRGEKCa_zGVTAA,5EX WITH ME,4525246476,jungle,2016,4,5,10,20220,42899,40260,39,58,50708,10904,27,158,19,515,4,5,8,0.7,0.15625
rWH-4zVS1mbwIteBVqUH1CrqXtIBzkltqoL5H-Blzz_W_hcrgjc8JCoi,퐁퐁부인의 유혹,4525246476,jungle,2016,9,3,8,21503,12852,34862,32,17,34943,13533,13,165,14,592,8,19,2,0.53125,0.15
A-AUjuNHvV4KLp1UDPGHFHCHzxilhY4VXYAONYxuxNDC,Earth Horn,4468864368,jungle,1457,2,1,6,5160,13952,16616,32,15,20319,8595,36,124,16,291,5,6,8,0.47058823529411764,0.09090909090909091
DBtufldMtFbCtPj2HECLZ5H21qZAjQGSq-WyNoynKatIsgk,디코용,4543199557,jungle,1560,10,12,7,18151,5552,22589,29,19,30210,11729,55,87,0,323,13,19,1,0.6538461538461539,0.2926829268292683
Xse-NbhKdSvdi8S2IVWK4ckEohTqXZdPnmL_GNj5aZ2p,ART켄츠,4544634732,jungle,2374,5,9,2,22232,11101,23140,42,26,35646,15751,88,202,19,552,6,6,9,0.3333333333333333,0.2571428571428571
zFOM7hyjj3krxkyX_eMpX516r1cz_u1bqdsFRXejrnbguyAfaAtWk29M,태 팽,4544634732,jungle,2374,2,5,12,9996,10717,13776,39,19,26918,11888,23,164,16,736,4,7,7,0.4,0.23809523809523808
