account_id,summoner_name,match_id,position,playtime,kills,deaths,assists,totalDamageDealtToChampions,totalHeal,damageSelfMitigated,visionScore,timeCCingOthers,totalDamageTaken,goldEarned,totalMinionsKilled,neutralMinionsKilled,neutralMinionsKilledEnemyJungle,totalTimeCrowdControlDealt,visionWardsBoughtInGame,wardsPlaced,wardsKilled,killsRatio,deathsRatio
FyWlhNXwtgLz6LXfGjr0tPCh_ROtOnS1rNTEyZtU_HYt-VD6vsYXoSuR,승아넌채식주의자니까딴거먹자,4521410205,support,1478,3,5,14,8211,7804,3498,22,12,6072,7023,3,0,0,33,3,11,2,0.68,0.35714285714285715
hhXvM1u3mwRAos8Z4_sft4yigg7yF9EnLM2YVGS72AMHxNPsEBIVSwwG,시럽스푼,4521410205,support,1478,1,5,5,3953,710,14180,30,37,12647,5795,35,0,0,82,6,13,3,0.46153846153846156,0.2
nKmXBavouyrai4w92-RyD_RZp1UoTx_SMlQdxkYTTYq1I6PQQH5dYtPX,뚜굥이,4547678483,support,1344,0,5,6,3989,6528,3563,16,7,5807,4470,1,0,0,26,3,9,0,0.42857142857142855,0.18518518518518517
2vGqcTTCV-p15ZQsoVZqcuRWPU0MlNPgvXSb_p30fMUoMoA,DRX 리자옥,4547678483,support,1344,2,3,16,6246,6860,4097,28,19,7754,6904,7,4,0,47,4,13,3,0.6666666666666666,0.21428571428571427
kWnqmdsoUPDZ62Y_h69kTqfmWvSm3o2hGlrd6H3tdJm9C8wodrtgNmeN,Triangie Kim BOB,4548259241,support,1259,2,3,7,8568,1674,3176,13,24,7335,6195,9,0,0,100,1,6,1,0.34615384615384615,0.3
5j-eLpGKrSzigVZXfp7clgbrOwiJ2ZS5cz8Ve9OxU1Pc11o,제똥좀드셔보세요,4548259241,support,1259,0,0,2,2563,198,1055,12,7,1837,4908,49,0,0,101,0,7,0,0.2,0
isVq6Qnx99DWu_THFy_jjlLJyOs9yFYRKvt_Oxm4_AVwlVw,KAMIYA NAO,4431170068,support,1657,1,7,6,4972,1598,17847,39,30,15657,6263,30,0,0,103,11,22,2,0.3684210526315789,0.19444444444444445
lTPjukDf9_N9-xNikf66renCcUJHRUfYJjXnq0GsnNeE,가비연,4533974386,support,1484,1,8,8,10072,1801,16568,17,36,18716,6400,44,0,0,228,2,14,2,0.391304347826087,0.2222222222222222
swhBuBdnoiX-_nEDkssBUdRL8Z2M50jgOotIAVKn_LmEqrA,재스포,4486677014,support,1238,2,2,17,6032,2590,8453,31,34,6781,6439,32,0,0,81,4,7,10,0.5588235294117647,0.25
Eexeu7J9Hg1l-7w4bGooJz2zux1GUwmykydKo6BuCYCp,Windows 98,4544831385,support,1483,3,5,2,9741,7695,4554,61,31,12075,7400,27,9,0,106,7,27,14,0.35714285714285715,0.20833333333333334
