account_id,summoner_name,match_id,position,playtime,kills,deaths,assists,totalDamageDealtToChampions,totalHeal,damageSelfMitigated,visionScore,timeCCingOthers,totalDamageTaken,goldEarned,totalMinionsKilled,neutralMinionsKilled,neutralMinionsKilledEnemyJungle,totalTimeCrowdControlDealt,visionWardsBoughtInGame,wardsPlaced,wardsKilled,killsRatio,deathsRatio
y-vHQgxJCXHoXtDH5DVatxdat778j08IGbTgyVLkCOs_Sj7TOsNzjFcW,스웨이이,4521410205,top,1478,5,1,9,12586,2620,23000,15,29,13228,10080,161,4,4,309,2,7,2,0.56,0.07142857142857142
McUSorF7fDy6QXiwzLGyZhaLX5KveZLNSgfT6tSu6Nh3,동구별관,4521410205,top,1478,1,4,1,5423,4185,10817,22,3,16816,9489,174,8,0,65,3,8,1,0.15384615384615385,0.16
95HpucDUplBcjSp4yCKkKSQszqaxdKHIq4t17nheiyjL,18도비빔면장인,4547678483,top,1344,1,4,1,9235,2938,9339,6,19,13325,7686,172,0,0,96,0,4,0,0.14285714285714285,0.14814814814814814
sdAXY4V8wHjXwLZGM74u3qdDjifpIa0sqYQCW8mKSQ2a6gUMRmxM1vVh,영어지토,4547678483,top,1344,3,1,4,9097,1238,19409,8,13,10343,8077,162,0,0,492,0,5,0,0.25925925925925924,0.07142857142857142
-ZZ3Mqgrtr8NrmoCCpiRowuuJ3AVYrvn9JcPSRN0KQPb,껄 링,4548259241,top,1259,8,1,4,14135,471,13559,0,15,21279,10152,139,20,17,148,0,0,0,0.46153846153846156,0.1
Qr0312oYnRvItaQB7cYHajnXZ3f9F3EP4PQtunE1uQEOJft24woOWh05,으 똥냄새,4548259241,top,1259,0,11,0,7349,1024,10451,8,2,16182,3995,59,4,4,27,1,4,1,0,0.4074074074074074
CMThpzSnqxLwlsImyjJ_cIQrtc8N0GNh4-KK922e_ulOI8K3C0tMRyDg,바텀또지네 임병,4431170068,top,1657,5,6,2,11703,6697,17797,16,18,27407,11024,189,8,8,105,2,10,0,0.3684210526315789,0.16666666666666666
KhKHgqSFG6k0TI0DIwMpVMczQmuklroDQK0OoD2JouVfkjc,이리와혜지야,4533974386,top,1484,5,7,4,20076,5057,15688,7,37,27118,8520,127,0,0,335,3,3,1,0.391304347826087,0.19444444444444445
k1EQtN4jBKAMcj0wp-8IrKQdV27HWbk2Y74PhtbK8WtFiHM,매우화나있는상태,4486677014,top,1238,5,3,2,11137,2659,10916,7,9,15791,8777,129,9,4,51,1,4,0,0.20588235294117646,0.375
GGsU9a8-cpBs14-VeDoNdtmEKQUHmnUy-bBtfI5W0IO9pcg,Parra4,4544831385,top,1483,2,5,1,8545,3080,8224,16,50,14434,8452,144,4,0,588,4,12,0,0.21428571428571427,0.20833333333333334
spjX5DQSl56s7MYqMgKoDXIJ6aiqs2I0vxNAC3GTgwTFryU,건들면멍멍이됨,4544831385,top,1483,4,2,8,14936,1587,10331,19,11,13169,10404,195,11,5,162,1,9,4,0.5217391304347826,0.14285714285714285
6Z5Q1qHGJFFQwUbId7rV0yCPLzkvPlxacY3M5K247VqzJLI,어썸하죠,4543029205,top,1751,12,3,9,24581,836,34922,20,34,17462,13878,186,20,16,734,7,15,1,0.4883720930232558,0.15
vhjVTELEm2gMhttDGC8XIdg8Abakt5MkStQXgXZs1YvZ6TvuhfrcfvvN,자아암깐멈춰,4543029205,top,1751,6,3,3,14247,1769,34306,20,41,21497,11889,165,9,1,100,0,7,5,0.45,0.06976744186046512
c7QnV3YFyacQBCPV3B2sJZ8UemIDimmxup-1Iy_bhbZCkzw,우리정글뭐하나아,4547570606,top,1738,0,0,0,0,0,0,0,0,0,3922,0,0,0,4,0,0,0,0,0
CWd9VIGZJ0Q1TOGNWapKKtiS3bwmXVEDgpNvKXos-kEBQ4Q,경산유기농망고,4532284425,top,2098,10,3,9,25114,38283,59063,53,47,45281,13664,172,11,0,460,1,12,1,0.475,0.11538461538461539
ZwjE8KDViLIwa7vDyozjD7fzQE-bwgknDL4uwNrZD8SuRJQ,win XG,4532284425,top,2098,4,10,4,25192,5298,40291,14,39,33172,11739,189,15,0,141,0,5,2,0.3076923076923077,0.25
NITtPjq41laKgLrouQWFKsr_TQK_DrrhJrnD91WTxkMo,e공주님,4494491935,top,1920,5,10,12,31101,17058,31531,25,13,43928,12206,164,14,4,129,2,9,2,0.5151515151515151,0.17543859649122806
uL18S1gkQvqJBRDo-LfmOsjZ95INQ3Gyd9EWbMZqxkJW,롤대장신현호,4547129343,top,1721,4,9,2,10940,1539,20712,14,18,22254,9110,160,4,0,84,2,10,0,0.3,0.2727272727272727
MZzcbbO-w956dBaPjtK_QMy-IcN0aZtMmt-b5wqoXtT7KoymXABStI49,관짝 춤 추는티모,4495640972,top,2092,7,9,18,46771,6849,15051,20,56,33151,12377,140,8,0,433,2,10,4,0.5555555555555556,0.24324324324324326
XClSVjIc-IdjVBlmYo2Jzo3sDahzF2-FzvO7JjIBP8Y-,캐넨이금을켓나,4543605683,top,2650,7,9,4,49933,7867,20382,25,64,39672,14008,184,20,0,529,1,9,6,0.28205128205128205,0.15789473684210525
P9weJTRnv0I5GsrW_YSYilxm8LOd4uD02VnRdtrzdzoE3Ts,평범한 땅콩,4543605683,top,2650,9,8,13,23918,7010,96200,19,36,57083,16218,212,16,4,260,7,7,1,0.38596491228070173,0.20512820512820512
kDVBT7C_LJvxlkaxeawmow3vEnDp3zaHcZ9b7ek_sn_LR8w,베인손이베인이유,4537225591,top,1898,2,9,6,15359,9100,35287,17,17,33217,11228,191,5,4,152,3,7,2,0.17777777777777778,0.2727272727272727
ztB7Mi7hBDHUL6er7s_9sQtk5v6PG-eb_yCL2huU4S0E,판테온왜한건지,4537225591,top,1898,3,8,7,16352,5316,19797,10,16,32209,9892,174,4,0,30,1,2,3,0.30303030303030304,0.17777777777777778
