account_id,summoner_name,tier,match_id,team,position,playtime,spell1,spell2,kills,deaths,assists,totalDamageDealtToChampions,totalHeal,totalUnitsHealed,damageSelfMitigated,damageDealtToObjectives,damageDealtToTurrets,visionScore,timeCCingOthers,totalDamageTaken,goldEarned,totalMinionsKilled,neutralMinionsKilled,neutralMinionsKilledEnemyJungle,totalTimeCrowdControlDealt,visionWardsBoughtInGame,wardsPlaced,wardsKilled,killsRatio,deathsRatio,xcor_0,ycor_0,xcor_1,ycor_1,xcor_2,ycor_2,xcor_3,ycor_3,xcor_4,ycor_4,xcor_5,ycor_5,xcor_6,ycor_6,xcor_7,ycor_7,xcor_8,ycor_8,xcor_9,ycor_9,xcor_10,ycor_10,xcor_11,ycor_11,xcor_12,ycor_12,xcor_13,ycor_13,xcor_14,ycor_14,xcor_15,ycor_15
ba2Oia2l_htJu0eZReIBc8o238a11IowwMKX6Ve9W3oY,HenryPerzig,DIAMOND,4570733207,100,JUNGLE,1438,11,4,8,2,16,15468,0,1,19554,33703,3107,34,16,20868,12684,31,144,24,414,4,12,6,0.7272727272727273,0.18181818181818182,560,361,2800,1277,7929,7913,3292,8897,4314,9693,4343,1457,8726,4656,7107,3974,5994,8795,2850,8325,9463,3616,7934,9421,8480,4773,8532,2368,9724,6306,3735,8256
DnZDkUXIwfiNh30Aqy31mUpeHPRkcpo31qwpKeoYEggW,속좁은 김민룡,DIAMOND,4570733207,100,TOP,1438,12,4,6,1,8,12715,0,1,25104,4983,4317,24,43,23137,10601,157,5,3,330,5,10,5,0.42424242424242425,0.09090909090909091,560,581,4158,10316,2383,12548,1452,10915,1283,11174,3067,12097,3944,13967,1467,11490,2227,12524,1923,11615,3859,13034,2008,11912,5378,12509,3782,12956,7914,5208,3411,12881
Tc77cANTkz-jQx6AITQqxfuPP5Yx5pcQEsEM0weFH0HdjE4,kkkk01,DIAMOND,4570733207,100,MID,1438,14,4,8,1,9,11744,0,1,11857,16356,3798,22,8,9897,11772,164,16,0,100,3,6,4,0.5151515151515151,0.09090909090909091,351,293,6499,6869,7104,7243,6851,8272,7721,7765,5142,4668,7614,7262,7384,7554,7489,7680,7455,7244,7452,7076,11895,1781,12678,2413,13167,3210,10698,4754,7432,5030
rv_nAelYczNtdvAsetPmNrcSbJN26VOprtm6TyfeWgR-,MtmX,DIAMOND,4570733207,100,SUPPORT,1438,14,4,3,5,6,5563,0,1,10897,4456,0,38,14,12793,6424,27,4,0,35,10,20,5,0.2727272727272727,0.45454545454545453,311,649,10298,2985,12938,1889,13170,2800,12070,2896,11751,3138,11002,4293,13304,3004,10772,1223,10707,1080,10430,1544,3556,889,10642,5591,6082,11418,9340,5800,4950,9759
qQ6btPYVYfalh7i8PGbChtNwxBQ2U_sfFE2zCpTQVnSY6sc,hzxazxnxznxza,DIAMOND,4570733207,100,BOTTOM,1438,7,4,8,2,8,11955,3603,3,5813,8278,2658,11,2,10421,10533,170,6,6,27,0,5,3,0.48484848484848486,0.18181818181818182,221,471,7087,4299,12237,2052,12971,3079,12217,3090,12085,2466,11951,2145,12910,3214,10719,992,10558,1327,10792,1382,1442,867,8179,7381,6530,11362,9438,5819,2555,3210
-qPbafCvlp9cWHK-Pdz9ilT5-HFA-OvE8Az-0L3aHAZh,VAG Min0r,DIAMOND,4570733207,200,SUPPORT,1438,14,4,0,8,7,4970,199,3,13474,317,317,40,14,12908,4965,21,0,0,62,9,20,2,0.6363636363636364,0.24242424242424243,14237,14579,11596,7142,13310,2798,13478,3995,13324,2672,12045,3024,12302,6329,13618,3606,11853,2308,11814,1617,12185,1372,13929,13747,12894,5091,7996,10613,10735,5468,5872,9072
rb6Tfbn4U4GgyfHWvh0-5Fa_g_sfw2DJ0w23Xa3Xg1Na,짱하지,DIAMOND,4570733207,200,JUNGLE,1438,11,4,3,6,5,12208,0,1,8237,5482,132,22,16,20465,7356,27,96,0,149,3,8,5,0.7272727272727273,0.18181818181818182,14486,14291,11566,6895,10331,8933,3779,9743,6377,9603,10488,4841,6883,9546,11426,7560,11910,7265,11867,3956,12305,1317,10257,12057,11794,7606,13218,4831,9190,5876,12010,6851
QHntKRyQYVAu9yDTWyNhtjBy7SRgu9AJUYvGi8tOsbvwRtk,chlrhwnsgur,DIAMOND,4570733207,200,TOP,1438,12,4,1,5,4,15015,0,1,7527,1622,337,11,21,16632,6672,128,2,0,38,1,8,1,0.45454545454545453,0.15151515151515152,14277,14223,6930,9616,2895,13182,2569,11993,5753,13196,4358,14039,4290,14035,2866,11533,3880,13407,7795,13569,4171,13981,2008,11912,5167,13187,4227,14047,10673,10056,5899,10672
3iV0RMVpntAPmQBL-OFbiRlqgEseFNbNW-PUkCkGtIQswWg,맬 돔,DIAMOND,4570733207,200,MID,1438,12,4,3,9,2,9239,0,1,9196,778,650,23,23,15482,8089,113,0,0,105,3,9,4,0.45454545454545453,0.2727272727272727,14486,14511,12923,12756,7831,8059,4592,9245,8584,7923,7463,7339,9323,9091,8456,8180,9073,8367,8372,6964,8145,7944,9901,9914,10012,8784,13881,10921,9361,5814,13310,4057
hEt7qDS-SxMeUjp1e07jwVT14EYvGmnaPWCJuU8N-JPv,그만잘해 김정록,DIAMOND,4570733207,200,BOTTOM,1438,4,7,4,5,6,10679,2254,3,6168,1372,1372,17,4,12967,10004,178,4,0,62,3,7,6,0.9090909090909091,0.15151515151515152,14147,14401,11647,7079,12792,2967,13337,3942,13482,3220,12588,2905,13801,6993,13442,4000,11838,2413,12147,2395,12301,1547,14105,13825,13655,4352,8128,10450,9512,6126,7793,8224
