account_id,summoner_name,tier,match_id,queue,team,position,playtime,spell1,spell2,kills,deaths,assists,totalDamageDealtToChampions,totalHeal,totalUnitsHealed,damageSelfMitigated,damageDealtToObjectives,damageDealtToTurrets,visionScore,timeCCingOthers,totalDamageTaken,goldEarned,totalMinionsKilled,neutralMinionsKilled,neutralMinionsKilledEnemyJungle,totalTimeCrowdControlDealt,visionWardsBoughtInGame,wardsPlaced,wardsKilled,killsRatio,deathsRatio,xcor_0,ycor_0,xcor_1,ycor_1,xcor_2,ycor_2,xcor_3,ycor_3,xcor_4,ycor_4,xcor_5,ycor_5,xcor_6,ycor_6,xcor_7,ycor_7,xcor_8,ycor_8,xcor_9,ycor_9,xcor_10,ycor_10,xcor_11,ycor_11,xcor_12,ycor_12,xcor_13,ycor_13,xcor_14,ycor_14,xcor_15,ycor_15
ByTQDN6MQI7I36Rc6CN-_NqvfYY5OQXPY3Q4Ah6lOJuil6uQeVDswVA4,백정은승리를원함,DIAMOND,4549051963,420,100,JUNGLE,2231,11,4,0,6,11,12349,0,1,37984,10394,274,52,39,29892,10367,44,145,0,674,9,11,14,0.6875,0.17647058823529413,560,361,8637,4154,7125,3931,11235,3839,725,1368,3374,10376,3092,10707,7187,5189,8003,1832,9972,4411,5496,9021,10272,5708,2003,1119,7636,5900,4071,10026,6955,5306
V3YjU_Ytrj5QH67SmDgoIyYs7WWwtu4dJAk1ID1XTSHjivZHwgbT97QF,EDG DEFT,DIAMOND,4549051963,420,100,BOTTOM,2231,1,4,6,5,6,26756,0,1,16135,3430,417,24,1,23078,15409,296,24,4,39,2,12,6,0.75,0.14705882352941177,221,471,8590,3880,11974,1654,12337,1833,12911,1725,10712,1230,11107,4154,10495,1386,11027,1690,10809,4464,8368,1515,11639,3645,11434,1282,10432,1452,4085,9366,8049,6348
ajjhStdTsUXoZC82fgwkt5TqNY0BcDoSOkEzlW4WYYVtuXY,말이쁘게하는아이,DIAMOND,4549051963,420,100,MID,2231,12,4,4,8,6,17870,0,1,19493,3512,0,22,26,29388,12256,221,4,0,347,3,9,3,0.625,0.23529411764705882,351,293,7758,6028,7379,7455,6272,7032,4665,11833,6385,8508,5372,4922,6118,5850,6969,6541,6276,6502,6251,8171,7224,7147,3059,2393,7241,6767,3972,9477,11928,3292
HK9Bjqo4nJZL1i_c2p285BOkP_nmDKgLx0Pa_bsfynH9tWk,배움의 정석,DIAMOND,4549051963,420,100,TOP,2231,6,4,3,8,2,8672,0,1,26536,2375,303,30,20,32344,12606,243,6,0,89,4,16,2,0.3125,0.23529411764705882,560,581,5679,7395,1825,13008,1663,12775,1864,11419,2867,13047,1192,11170,1419,11108,1682,11344,1132,10258,1954,11854,1122,12191,1359,8306,1416,9954,4641,9899,1560,994
X4_ouIvVl-8X8XGUy_DQ9SV_WQhDYxxpSHex_vQV3_3wH-s,오갈병,DIAMOND,4549051963,420,100,SUPPORT,2231,14,4,3,7,5,5620,0,1,56573,852,195,57,43,25543,8664,26,0,0,160,1,31,7,0.5,0.20588235294117646,311,649,8576,4773,11960,2602,12795,2029,12391,1381,10618,871,11193,4104,10544,862,11011,1835,11200,4409,6236,10012,11353,4719,12181,1245,7544,6095,4946,8354,8692,5366
ceSHwbvTDKE2nnSI67Rj25iExZHxsJLlDqlQo4u8xxvmbWc,초심처럼 하자,DIAMOND,4549051963,420,200,BOTTOM,2231,7,4,6,2,11,25441,1431,2,12134,22322,3452,56,62,11390,14779,237,36,8,1047,5,18,9,0.5,0.125,14147,14401,11340,5636,12976,2563,12979,3132,13057,3089,12468,2485,13231,3272,12027,1903,12406,2145,14081,12421,11197,1228,13566,4468,13361,3745,13071,4441,5098,9166,10048,8099
IwwcZbfDD6A_hFWwS984npPsH5RDVQEd6hHgcLBcWJSwESc,뽀뚜루족 전사,DIAMOND,4549051963,420,200,MID,2231,4,14,9,4,13,29069,0,1,20434,9499,3172,21,23,31114,15418,229,21,9,266,1,6,7,0.6470588235294118,0.25,14277,14223,10024,8975,7835,7816,7230,7172,7490,7936,6241,8610,8197,8265,13890,14042,7069,6515,7312,7071,7251,7630,7935,8050,12540,12320,6974,7061,11293,4273,14340,14391
qEp9T8THaER1v-lucFoGS3mkz4oU6wdzIEsWNwSXnJ9K,그르믄,DIAMOND,4549051963,420,200,SUPPORT,2231,21,4,2,2,21,15303,10441,5,6290,7213,2154,84,56,12078,9931,21,1,0,164,8,35,9,0.6764705882352942,0.125,14237,14579,10832,5228,13063,2567,14309,13912,13099,3360,12022,2171,13613,2862,11775,1794,12281,1789,13608,4479,13094,4417,13157,4817,13271,3703,9982,10565,5472,9320,9899,7360
H4iKwo7QIBUsVYPgmWjAcc36gItEJchHFEalaZJ-fXcr,오너무싸발적이고,DIAMOND,4549051963,420,200,TOP,2231,12,4,8,3,18,34240,0,1,10169,25554,13754,21,10,16095,16735,232,17,0,118,0,11,3,0.7647058823529411,0.1875,14486,14511,14103,14195,3007,13011,2311,12146,2423,12420,4346,13665,1975,11854,8284,13785,3004,11961,1515,10945,6313,9129,1274,10939,12621,12486,3794,10738,3763,10973,10053,7373
Amhx3hka3bBEHcxzQ2MR7FCMRENCc65icBuzfK7K7lST,돈가스귀신,DIAMOND,4549051963,420,200,JUNGLE,2231,11,4,9,5,9,13948,0,1,32657,24618,230,27,24,38612,15262,14,223,25,454,6,6,4,0.5294117647058824,0.3125,14486,14291,12617,12379,6457,12622,7007,7010,11846,6779,9167,11159,1647,11192,12100,6632,11636,12880,1406,9542,7098,9602,3527,8095,9870,8833,6089,9300,4838,9247,11667,7483
6LsByvYiy6sZj70GVj_V4hKSJMv6GQDmABo8A2mJ1408,괴줄뮈,DIAMOND,4572767110,420,100,MID,1940,12,4,3,8,5,11445,0,1,29435,7437,1624,24,14,28824,10832,167,18,4,289,3,11,2,0.42105263157894735,0.32,351,293,8008,5490,7210,7424,7832,7993,7240,7497,6535,6970,6303,6525,2419,1793,7774,6581,7254,7575,6750,7077,5356,4885,6606,6943,6546,6327,2081,1510,5955,6264
n8TDO9aSqjdvf5r02t_aKPojV6byh7hBBBIdO6MR9HJXcBI,죽여주세요 앙,DIAMOND,4572767110,420,100,SUPPORT,1940,14,4,1,4,14,11238,0,1,32907,5778,4803,69,45,21575,9073,30,0,0,154,10,37,6,0.7894736842105263,0.16,311,649,9435,5629,12838,3008,13382,3797,13498,3542,13112,3645,11487,4056,13738,4067,13032,2098,731,416,12129,2293,12976,2431,9495,1549,12375,1818,13471,5096,7446,6234
JTPVWicMEnieZtloAeKHUm6M55XbpZpBcvd-E43_GbUkOi0pdAthpGzJ,Yoo Byung Chul,DIAMOND,4572767110,420,100,BOTTOM,1940,4,7,3,4,11,22562,3526,3,11834,26103,9229,33,7,20170,14547,242,25,9,91,0,3,15,0.7368421052631579,0.16,221,471,8605,4124,12805,2760,13529,3713,13077,3070,13654,3699,11922,3514,13687,3914,13019,2215,4822,982,12382,2159,13266,2838,9986,1525,12326,1539,13471,4912,6394,6890
EEWGEzrSyjRsxCYysbZNXXiIwUicWGXUKRj1HHZf5zqP_1E,구금모,DIAMOND,4572767110,420,100,JUNGLE,1940,4,11,11,4,4,21339,0,1,9713,23699,6634,33,22,21495,14647,44,156,4,183,8,8,8,0.7894736842105263,0.16,560,361,8658,4095,3235,8058,7343,7718,7293,5137,2787,8272,3480,1447,7504,3806,8609,6357,6494,4720,3315,10247,8548,2163,6722,4849,9177,3401,12651,3213,1490,1142
LPxsP4GarStbmuvs5eW0T3z5-3itKfa79fWa69odtI6F,벌꿀오소리얌,DIAMOND,4572767110,420,100,TOP,1940,12,4,1,5,9,12778,0,1,33926,2890,1491,23,52,20956,9888,155,4,0,479,4,12,1,0.5263157894736842,0.2,560,581,8358,5781,2272,12528,2948,12520,2134,12361,1815,12142,932,11071,2377,12303,1299,11128,766,2586,1668,11968,782,5141,3115,13171,1170,8442,2747,13007,6954,6634
npjl_ZBT2p71Y9nEaF16XeWl7UhfErCuYqbZ6TpJJaEr2_-k2p_5q4Qw,IlIlllIIIllIlII,DIAMOND,4572767110,420,200,MID,1940,14,4,12,4,5,23150,0,1,22048,5324,4083,24,22,29258,15788,275,4,0,146,0,9,6,0.68,0.21052631578947367,14277,14223,11844,5887,7970,7398,7892,8143,11986,11717,7385,7125,7106,6994,7056,6992,8392,6540,14363,14071,7853,7549,13186,11318,7312,7100,10349,4841,12445,11817,7845,7345
KV1QSa7vDimqqlfIAn8fWqqjt5pUCcJ6w1mG56qXVBtFcuM,2OI9,DIAMOND,4572767110,420,200,SUPPORT,1940,7,3,0,0,12,11343,16044,5,2488,1051,630,44,33,3951,6647,5,4,0,57,6,27,2,0.48,0,14237,14579,11922,5908,13130,3290,13762,4852,13522,4200,13756,5048,13629,4594,13829,4962,13884,4166,12306,3198,13055,2803,13792,4822,13555,7750,12767,3043,13699,5372,7845,7345
4P4UqNrbi83yvw1ZKkmFl-CX85IP39_vU_ItCdba_8M,The prImer,DIAMOND,4572767110,420,200,TOP,1940,12,4,4,5,9,20858,0,1,43758,7082,1922,18,92,35589,9811,146,8,0,593,1,10,5,0.52,0.2631578947368421,14486,14511,13819,14332,3179,13140,3957,13214,2612,12809,3164,13595,3089,13083,3360,13369,4131,9916,13714,14149,1144,12009,12374,9341,4176,13692,1750,12928,1077,11479,7495,7368
YEQp-cXLjbrcxap0tJGMzpcWAxF2ycp6Z0wJ1wxRMRLs,jockeys,DIAMOND,4572767110,420,200,BOTTOM,1940,4,21,1,4,7,14801,0,1,11453,7436,1173,20,9,14578,10282,195,12,0,265,2,13,3,0.32,0.21052631578947367,14147,14401,11922,5908,12948,3143,13762,4852,13522,4200,13756,5048,13629,4594,13829,4962,13557,4489,12404,2789,13055,2803,13799,4942,12147,2030,12767,3043,13644,5648,10096,9700
mxezu8wlKZtVqew28na3WjawzouqmW8grLLbanwkHoJ1zEQ,버그라니까,DIAMOND,4572767110,420,200,JUNGLE,1940,11,4,8,6,6,17596,0,1,11362,11206,0,22,10,24874,11808,21,136,0,332,4,6,1,0.56,0.3157894736842105,14486,14291,11847,5808,12193,6661,7225,9725,3868,9654,8279,10202,12043,6958,6065,12401,7784,7059,12946,11605,7042,11133,6081,8765,9587,9316,10996,3770,13505,6194,8584,5731
gIT6zF5fG0_q4JpnCCGKbXS44bHfFcuP54JskcO0a0E-tcPewP0oW8qi,00Ender00,DIAMOND,4522074998,420,100,BOTTOM,1590,4,7,9,4,8,24359,1528,3,8292,10707,5386,12,7,13447,11357,159,12,0,192,0,9,2,0.5666666666666667,0.25,221,471,10309,2822,11884,1575,10303,901,11200,1496,10233,932,3775,770,11868,1865,12572,1944,12189,2067,9585,1166,2358,604,13274,3149,6122,877,13586,4131,10749,1571
Z5BxZQrcyKFT-OX410neq9EL_WSCDCdiHowwPQfFQ8FJcEA,Fansa,DIAMOND,4522074998,420,100,MID,1590,4,14,10,4,4,22177,7091,6,8810,3246,3246,17,36,18449,11278,173,8,0,123,5,12,2,0.4666666666666667,0.25,351,293,5303,6145,7142,7572,8129,6683,8267,6882,5741,5266,6242,6540,7260,7012,880,721,8148,7209,5626,5149,7309,7787,6614,7150,1766,1140,6210,6979,2041,11657
ydMOWuTcW3sGAGDm5QgecwZQmsbKtM-XIzUfD0Uxk4Bx,귀찬은준기,DIAMOND,4522074998,420,100,TOP,1590,6,4,5,2,8,12507,0,1,15146,16209,4692,24,14,19471,10110,122,4,0,73,2,9,4,0.43333333333333335,0.125,560,581,4804,6142,2405,12328,3006,13078,2513,12668,1156,8297,1828,12217,852,3917,3462,8648,3164,11965,2894,11426,5785,9472,4174,13565,10164,2325,13483,4620,5346,5908
22ymsvsV-r-HYcZtJZchXKzmFj3GdGBmQVM1RhJzHblk,서사박,DIAMOND,4522074998,420,100,SUPPORT,1590,3,4,2,2,17,5688,8951,6,7210,2241,2132,54,19,10562,7466,21,0,0,107,8,27,6,0.6333333333333333,0.125,311,649,7018,3070,11925,1702,10023,1376,10990,1783,9995,1275,832,529,11925,2154,11941,1591,11784,2132,11577,1417,5427,982,12781,3048,1977,634,13088,3821,11937,1782
Xb0B0OvCmhp07C7HzezG0O0TvFhZlDFaKak62FlCyZ5NIHA,조이할께요,DIAMOND,4522074998,420,100,JUNGLE,1590,4,11,4,4,10,11758,0,1,24660,15059,1545,30,22,19505,10485,21,135,30,274,4,8,5,0.4666666666666667,0.25,560,361,5547,9359,8325,2403,6621,6194,3828,7840,2494,8420,8617,4610,6754,6205,7491,3965,8722,6708,3505,6694,4127,10162,7599,9641,10611,1725,9168,3417,8584,4824
uNdaDGgeoIpMIg10gLxSdlYDwMc-dPLqhjAm1mKGF5oX,월또또,DIAMOND,4522074998,420,200,SUPPORT,1590,21,4,2,7,8,14038,5757,5,6425,1488,1488,48,30,16572,7550,25,3,0,145,2,18,12,0.6666666666666666,0.23333333333333334,14237,14579,9992,5940,12473,2643,11173,1261,12326,1496,11359,1578,13999,11069,12499,2165,11310,3273,12673,3140,12203,1319,11099,1487,14266,13947,11373,1544,13368,3996,7239,6934
AANfXLjpAX4aJ_3oK1eDfzrkwWNRldLpDEVv976m0GCncGs,꿀벌시몽,DIAMOND,4522074998,420,200,TOP,1590,14,4,0,7,0,7025,0,1,9838,19166,4208,22,13,18686,8162,156,18,8,170,5,11,2,0,0.23333333333333334,14486,14511,7850,8706,2780,12864,3433,13603,3143,13099,1330,12275,2475,11969,6848,13742,14340,14390,3779,13837,3416,13173,3932,9995,14311,14509,6496,13681,2141,12194,1046,12214
