position,tier,killsPerMinMean,killsPerMinStd,deathsPerMinMean,deathsPerMinStd,assistsPerMinMean,assistsPerMinStd,totalDamageDealtToChampionsPerMinMean,totalDamageDealtToChampionsPerMinStd,totalHealPerMinMean,totalHealPerMinStd,damageSelfMitigatedPerMinMean,damageSelfMitigatedPerMinStd,visionScorePerMinMean,visionScorePerMinStd,totalDamageTakenPerMinMean,totalDamageTakenPerMinStd,goldEarnedPerMinMean,goldEarnedPerMinStd,totalMinionsKilledPerMinMean,totalMinionsKilledPerMinStd,neutralMinionsKilledPerMinMean,neutralMinionsKilledPerMinStd,neutralMinionsKilledEnemyJunglePerMinMean,neutralMinionsKilledEnemyJunglePerMinStd,visionWardsBoughtInGamePerMinMean,visionWardsBoughtInGamePerMinStd,wardsPlacedPerMinMean,wardsPlacedPerMinStd,wardsKilledPerMinMean,wardsKilledPerMinStd,killsRatioMean,killsRatioStd,deathsRatioMean,deathsRatioStd,killAssistPerMinMean,killAssistPerMinStd,xcor_0Mean,xcor_0Std,ycor_0Mean,ycor_0Std,xcor_1Mean,xcor_1Std,ycor_1Mean,ycor_1Std,xcor_2Mean,xcor_2Std,ycor_2Mean,ycor_2Std,xcor_3Mean,xcor_3Std,ycor_3Mean,ycor_3Std,xcor_4Mean,xcor_4Std,ycor_4Mean,ycor_4Std,xcor_5Mean,xcor_5Std,ycor_5Mean,ycor_5Std,xcor_6Mean,xcor_6Std,ycor_6Mean,ycor_6Std,xcor_7Mean,xcor_7Std,ycor_7Mean,ycor_7Std,xcor_8Mean,xcor_8Std,ycor_8Mean,ycor_8Std,xcor_9Mean,xcor_9Std,ycor_9Mean,ycor_9Std,xcor_10Mean,xcor_10Std,ycor_10Mean,ycor_10Std,xcor_11Mean,xcor_11Std,ycor_11Mean,ycor_11Std,xcor_12Mean,xcor_12Std,ycor_12Mean,ycor_12Std,xcor_13Mean,xcor_13Std,ycor_13Mean,ycor_13Std,xcor_14Mean,xcor_14Std,ycor_14Mean,ycor_14Std,xcor_15Mean,xcor_15Std,ycor_15Mean,ycor_15Std,spell_1,spell_11,spell_12,spell_13,spell_14,spell_21,spell_3,spell_30,spell_31,spell_32,spell_39,spell_4,spell_6,spell_7
TOP,DIAMOND,0.1750760489788769,0.13178178525541687,0.19264353115322552,0.09888784777432703,0.19918344345081646,0.138617774849494,599.1283294014736,241.68331989066297,200.4410839436296,174.91703531832437,750.8780311038493,391.18823611031394,0.7087882032813588,0.26574955396199773,830.784194362902,228.80778000923164,385.6902325007688,75.99142951676646,6.145614217051532,1.1164627312615947,0.2689897219260869,0.28384229988809534,0.06316036609187772,0.12431161908532194,0.0737734254801149,0.05956172428261042,0.30286978315914403,0.09065077451168992,0.09071792523431364,0.07940424977237691,0.4124516528419619,0.1616041527402247,0.21271283870461674,0.08995652691893867,0.3742594924296933,0.20544137096616946,8169.679012345679,6951.200020355295,8191.576131687243,6951.451092743144,5403.522633744856,2941.896293929761,9247.341563786009,3220.7147778672906,2478.01646090535,1103.6210421546866,12538.637860082305,785.1033940743966,2860.5267489711932,1842.6932101800126,12303.205761316873,1343.512599958654,3188.5473251028807,2540.109846819248,11962.98353909465,2339.417231534169,3273.3004115226336,2496.7773800267123,12091.510288065843,2172.59051559364,3104.5185185185187,2320.406628181835,12115.975308641975,1800.531633900686,3433.4156378600824,2836.286925696766,11679.0,2648.1952376154077,3432.6831275720165,2799.0989611334353,11492.358024691359,2843.129106300011,3152.246913580247,2291.066687567372,11874.028806584362,2118.9421799512766,3635.427983539095,2898.548473648443,11525.432098765432,2835.2314928951137,3550.2098765432097,3118.2907907650015,11266.465020576132,3154.532994770176,4300.83950617284,3581.488199348027,11102.61316872428,3029.6457049756013,4470.094650205761,3606.3970108815292,10196.45267489712,3649.589569478141,4429.358024691358,3596.359401052205,10199.168724279836,3591.455132294186,5360.6872427983535,4073.4323082073333,10066.551440329218,3659.0798905011943,0.00411522633744856,0.0,0.8930041152263375,0.0,0.07818930041152264,0.00823045267489712,0.0,0.0,0.0,0.0,0.0,0.9670781893004116,0.04526748971193416,0.00411522633744856
TOP,PLATINUM,0.178344371822231,0.1268210951337007,0.18944312857553416,0.09175178013214833,0.19629012078585742,0.12615828796140838,619.7334653447823,239.6661342003379,196.78282235282936,170.20294507694032,826.8423213236862,440.9809557173876,0.6635274984019297,0.26884251585714947,861.7361660662428,239.55105638035832,387.1747608536165,73.34465270498532,6.044746389843676,1.1109837946949415,0.3047682808558981,0.3126986318699325,0.08581578467551361,0.1548998710179634,0.06546374028351852,0.060579599515514976,0.2862098193300059,0.10026683529323435,0.08165683308364184,0.07147368949058867,0.40581468862940784,0.16071980334225197,0.2036893485154911,0.08052096477577879,0.3746344926080884,0.1939388678530067,7936.506802721088,6961.340224784991,7958.802721088436,6966.954957565279,5359.472789115646,3079.860097927587,9201.775510204081,3144.1212770378997,2432.3639455782313,999.3640606879048,12472.190476190477,987.5837396271172,2632.285714285714,1449.0893715799375,12202.190476190477,1551.444901052286,2990.9795918367345,2037.6384308823554,11838.605442176871,2269.1681507443504,3279.982993197279,2643.0036492241493,12174.241496598639,2250.747375193648,3048.5646258503402,2405.274741299521,11935.772108843537,2155.2463775374663,3451.921768707483,2897.9023902615404,11754.098639455782,2564.0666346568687,3341.122448979592,2914.3603010741926,11553.809523809523,2815.1907623536654,3538.7380952380954,2879.129980240069,11822.452380952382,2688.4157983002974,3246.081632653061,2578.0917739053734,11309.21088435374,3057.5722322417846,3762.285714285714,2918.4549760273803,11301.302721088436,2993.5239008411554,3828.8979591836733,3202.6631468003243,10871.5,3376.1782731487847,4318.809523809524,3698.282758647911,10803.119047619048,3395.670609793617,4532.931972789115,3546.1154349443223,10689.666666666666,3400.606757410183,4677.591836734694,3703.818412968855,9977.472789115645,3765.3182848129136,0.006802721088435374,0.0,0.8197278911564626,0.0,0.11904761904761904,0.003401360544217687,0.006802721088435374,0.0,0.0,0.0,0.0,0.9659863945578231,0.06462585034013606,0.013605442176870748
TOP,GOLD,0.20512496492871668,0.1286029510924333,0.1927559554651496,0.09743410768222334,0.19348683255349095,0.14084392641867616,646.4271987148202,264.52497145238283,216.5370397705419,212.40816541908006,821.566784753928,442.1012325527658,0.6133805246313332,0.25309129428273736,869.3969485836168,229.89449256182922,389.6586406811774,78.5636554759171,5.778501787140165,1.254234796327917,0.3032394134647279,0.3362764573773058,0.08192959608617013,0.1464364676708189,0.056805058359297056,0.05226071530691848,0.2724172357028623,0.09302996138474774,0.07131528742615001,0.060499347094449284,0.4072238690037727,0.16113094285959775,0.20099402452769927,0.09167423128664894,0.39861179748220765,0.19782132448941628,7466.986666666667,6979.464011377181,7492.826666666667,6979.386941814264,5269.49,3372.2602549809844,9603.133333333333,3184.43952565136,2326.6666666666665,695.2017215656055,12462.276666666667,759.8465036786912,2702.9066666666668,1848.1802723270673,12238.866666666667,1667.4213611264224,2930.14,2100.942696612204,12003.336666666666,1962.411589723341,2841.0033333333336,2394.8595164785306,11709.72,2681.709876391763,2790.83,2128.2238628650484,11769.406666666666,2387.4746193728192,3207.6266666666666,2720.826707798284,11741.37,2353.6757930726826,3204.08,2809.070332698493,11602.92,2771.0727189385493,3065.173333333333,2280.2499606180354,11731.686666666666,2256.916755063534,3587.13,3089.360577155994,11671.503333333334,2546.7267988437075,3868.4,3203.7820407369313,11533.15,2948.065153281608,3966.4566666666665,3562.9056574470856,11127.353333333333,3240.127871535612,4083.1866666666665,3396.5761530843415,10800.613333333333,3481.0856210132165,4424.316666666667,3381.16061929932,10531.936666666666,3591.5631386047176,5148.806666666666,3875.378178023131,10000.133333333333,3929.2541671317167,0.0033333333333333335,0.0,0.7733333333333333,0.0,0.16666666666666666,0.0033333333333333335,0.01,0.0,0.0,0.0,0.0,0.98,0.056666666666666664,0.006666666666666667
TOP,SILVER,0.18929404168700947,0.12897281190479248,0.19003014048119005,0.09312126054073334,0.19573003833293545,0.12754735076357718,614.7279458587074,244.5244249884623,183.42497078605948,145.589392386176,812.4086003357056,429.87004110330383,0.6014395303313855,0.24379523266216002,863.9267649710351,251.7695161642455,382.6846551936568,73.663271951154,5.659265057700322,1.2568193161786196,0.3197569942288167,0.3336940541457496,0.09130642828207146,0.15976295675457156,0.04986306658396831,0.05292264607487512,0.2761205845022144,0.09068382466761184,0.06543629991076669,0.05819659390267761,0.4008395195464265,0.16260877014296307,0.20167749300193044,0.10084986349876848,0.3850240800199449,0.1869785077574937,7805.028938906752,6970.71303770271,7824.781350482315,6972.017052782949,4652.7170418006435,3110.203099425564,9703.228295819936,3432.831893495983,2407.331189710611,1201.8128737486277,12300.025723472669,1404.9607867265886,2617.7781350482314,1622.043722503783,12189.057877813504,1562.5337972687487,3195.2668810289388,2659.418428328241,11913.337620578779,2296.4783751605687,3029.054662379421,2489.522468829883,11956.147909967845,2359.486300841461,3006.7942122186496,2475.8371036815797,11991.916398713827,2204.9514878917453,3149.041800643087,2792.952267621989,11604.56270096463,2838.1095960375496,3206.668810289389,2736.338560739845,11804.903536977492,2305.2006497973575,3160.6913183279744,2588.6913410538086,11883.787781350482,2038.7030918585099,3430.4147909967846,2786.835088638076,11590.43729903537,2506.9578328912153,3483.623794212219,2645.6990886512535,11652.347266881028,2528.6962167164434,3356.192926045016,2919.165453225397,11252.073954983924,2808.0589009647238,3843.7813504823152,3212.743893657215,11215.379421221865,3185.194499164946,3891.347266881029,3476.6679925799076,10524.861736334406,3436.853955739108,4440.418006430868,3692.505066132836,10172.054662379422,3759.946451261936,0.0,0.0,0.7395498392282959,0.0,0.19292604501607716,0.012861736334405145,0.0,0.0,0.0,0.0,0.0,0.9839228295819936,0.06109324758842444,0.00964630225080386
TOP,BRONZE,0.18198982649561726,0.1319254679691877,0.18747093759111935,0.09682918775457491,0.17276437776308082,0.1150021148956117,578.5441240449948,242.06884811652552,165.16866878785217,136.31519908454496,781.0226721517068,420.1491494205005,0.5674726600874263,0.24226652003337368,826.7956342912383,215.55293397993972,363.91127526646784,78.72400252217643,5.300746370350787,1.314477332500078,0.2773965646297952,0.3355449918648003,0.0784180568289584,0.14711214176495757,0.04288133883461445,0.050490968220792645,0.26490162361699265,0.0892977382920802,0.05212579724187505,0.051385362487301287,0.3775298640613546,0.15666513707167903,0.19715573081851434,0.08916773785170902,0.3547542042586981,0.18865564826274506,8030.86577181208,6956.544740218586,8052.778523489933,6960.4537772906615,4146.456375838926,2907.3238923900863,10763.852348993289,2872.9589549064144,2423.711409395973,942.8167539806233,12471.644295302014,1147.5710614430911,2581.8691275167785,1557.9228745837918,12045.71812080537,2017.7253689202444,3096.288590604027,2597.4334983571584,11708.523489932886,2540.970609332879,2851.3389261744965,2162.8990636388357,11973.885906040268,2119.294236535553,2916.6610738255035,2308.8827277276,12016.956375838927,2154.4556980808125,3138.8859060402683,2678.7164146352598,11823.996644295303,2564.4906458624437,3145.5,2598.1465010158186,11947.704697986577,2220.932556589825,3355.3322147651006,2743.3618529579926,11880.812080536913,2174.800825646809,3374.959731543624,2572.7428638499487,11815.463087248321,2433.2407026052065,3367.1610738255035,3056.5808632022918,11443.345637583892,2620.641228622489,3643.94966442953,3018.759781823228,11295.657718120805,2865.812002668214,3995.0,3364.9660521298774,11255.087248322148,3077.2122893689966,4044.8355704697988,3347.825886271729,10849.046979865772,3374.5785377658303,4456.1510067114095,3477.9879125553525,10621.832214765102,3392.2655826454893,0.0,0.0,0.7080536912751678,0.0,0.23154362416107382,0.0,0.006711409395973154,0.0,0.0,0.0,0.0,0.9865771812080537,0.06375838926174497,0.003355704697986577
TOP,IRON,0.18744681372602584,0.1354025180877391,0.18770473043325783,0.09788462064225473,0.18322643980749054,0.12780103707864737,579.4896147497603,256.56395813327794,156.09580428550862,148.87288678241768,730.3042448145288,424.95341538181117,0.49243314401147686,0.21720795577462054,830.8458995765886,254.92047015259413,358.577316053,73.93057079704734,4.967197880581921,1.2950688416139555,0.2502386628233995,0.33754518606339123,0.05799174442987765,0.11942406901742365,0.03251423121539113,0.04298558430217841,0.2460518117613746,0.08902500083392188,0.03766366817667353,0.042045119192032014,0.3812575731413226,0.16312314907799397,0.19633758061845796,0.08893093522185253,0.3706732535335164,0.20208122726109412,8106.815699658703,6947.975598051747,8126.931740614335,6943.966557880916,3938.9556313993176,2860.2460884303027,11060.638225255972,2726.531894190984,2445.839590443686,952.8263103028332,12516.064846416382,768.1135220570217,2567.720136518771,1505.5529806594598,12151.798634812287,1887.4274286325008,2868.9112627986347,2005.4945805577954,12023.201365187713,2230.8545425767043,2854.703071672355,2166.987685079233,11927.696245733789,2276.093435834795,3003.6962457337886,2424.175980578684,11995.784982935154,2197.4137643044237,3113.255972696246,2517.5045726462313,11874.453924914676,2248.0677400368686,3068.819112627986,2574.714641332315,11620.112627986347,2696.5484186748427,3116.436860068259,2529.282840097569,11618.221843003414,2773.226380370258,3532.7815699658704,3116.6013309748987,11206.153583617748,3237.3556910180428,3512.80204778157,3088.194670627877,11390.266211604096,2706.2890474486894,3548.6791808873722,2707.287681149426,11358.83276450512,3011.149479466261,3678.7849829351535,3032.321254404075,11168.092150170649,3115.199936695694,3959.5972696245735,3291.528649571719,10687.907849829351,3351.339415586784,4582.276450511946,3591.4565751025907,10615.368600682594,3407.908351088929,0.0034129692832764505,0.0,0.6723549488054608,0.0,0.2627986348122867,0.013651877133105802,0.006825938566552901,0.0,0.0,0.0,0.0,0.9795221843003413,0.04436860068259386,0.017064846416382253
MID,DIAMOND,0.23066107081414974,0.144895170179925,0.17717866671946636,0.09591647717472206,0.2223185733970629,0.13293860858608805,636.6895366548215,241.53417682244987,161.03399749098617,122.46178462095828,482.58251237424764,262.8452336095411,0.7644417014659209,0.27415727944776513,712.9950012011674,227.43464933123215,400.9464117951558,70.61777349766945,6.180569526608858,1.134334410486046,0.3643185554657167,0.32366128344974343,0.06086001466082133,0.11214456550724841,0.09630076828747958,0.069486204755992,0.3083122093106855,0.11541146644577649,0.12061896934566042,0.08223491679536045,0.5100800914648822,0.16322990924118308,0.1893699064765556,0.08193584374991955,0.4529796442112127,0.21084698434700785,7835.219512195122,6957.636856074444,7782.788617886179,6960.22509048646,7586.90650406504,2126.2296042521702,7186.410569105691,2297.2216187035283,7377.674796747968,923.4179056662592,7544.825203252032,926.0707679656944,7331.134146341464,1109.6202412945129,7492.975609756098,1153.5658962338077,7157.455284552845,2447.3862384252275,7474.544715447155,2379.218605227724,7683.032520325203,2248.3170283931495,7545.784552845528,2334.5653859226486,7549.089430894309,2337.8509231574726,7479.268292682927,2415.7532989100155,7696.678861788618,2680.463027035899,7160.016260162602,2714.840659010425,7570.426829268293,2414.7431436337556,7273.861788617886,2455.001757595957,7583.573170731707,2438.441531549907,7335.382113821138,2366.3906176778764,7502.682926829269,2625.26911605407,7512.09349593496,2670.7362822229406,7558.504065040651,3059.333050896868,7195.849593495935,3041.3074037696883,7728.8536585365855,2740.3092710396295,7148.1056910569105,2838.803337461721,7909.495934959349,3054.001133004304,6894.878048780488,2980.51342265359,8095.382113821138,2952.747872801171,6702.357723577235,3037.4797612631032,8107.955284552845,3345.6489614875277,6563.565040650406,3067.180263568125,0.02032520325203252,0.0,0.3333333333333333,0.0,0.5813008130081301,0.008130081300813009,0.016260162601626018,0.0,0.0,0.0,0.0,0.9878048780487805,0.028455284552845527,0.024390243902439025
MID,PLATINUM,0.23160693507935962,0.14281817776466027,0.18209430884771674,0.0887874371176626,0.2225710514748257,0.1335194122157775,659.0685376147572,252.7306651062564,171.22362268459545,134.57897369442182,516.0915252111565,292.3454412516806,0.7687314425607787,0.26142205518159845,724.3722122909165,210.5636169538175,398.24076148906784,69.19918382303611,5.955938160493615,1.1303541941598052,0.42317149073447635,0.3613260012721106,0.07034981772087891,0.1306015678518889,0.09856836842828108,0.0664806251399659,0.31451829354211047,0.1050580914369175,0.11403284285619363,0.08545758611849653,0.49828884690962705,0.1473283856864312,0.19829799395488013,0.08265600140940083,0.45417798655418534,0.20672350687480387,7726.322033898305,6958.496973041849,7675.169491525424,6961.004303256134,7728.952542372881,2219.2318301852692,7161.210169491525,2335.625923018749,7385.115254237288,734.9945487357568,7452.067796610169,783.3782777178792,7392.308474576271,1424.3992108965685,7557.2,1348.179716617677,7285.661016949152,2354.4712248496944,7482.030508474576,2305.1451049442376,7489.393220338983,2370.1510273547733,7320.423728813559,2310.022316376211,7639.861016949152,2249.103746893744,7424.640677966102,2256.067995965837,7908.386440677966,2398.3664664305397,7224.874576271186,2436.9192930168956,7978.335593220339,2466.1148986039902,7451.847457627118,2294.0831095203093,7581.542372881356,2446.194221114938,7496.128813559322,2325.0049455766907,7606.830508474576,2743.6674370609344,7493.345762711864,2671.084551780905,7765.705084745763,2575.2320253052403,7332.437288135593,2595.3169576854702,7789.637288135593,2708.6537837777596,7049.250847457627,2672.7053260677235,8123.206779661017,2826.3475098105655,6950.037288135593,2752.5245212534373,7747.420338983051,3075.5695893451425,7023.145762711864,2889.290855685698,7545.5084745762715,3464.949455182392,7106.345762711864,3105.643383522928,0.030508474576271188,0.0,0.29152542372881357,0.0,0.6101694915254238,0.023728813559322035,0.03728813559322034,0.0,0.0,0.0,0.0,0.9830508474576272,0.010169491525423728,0.013559322033898305
MID,GOLD,0.22917787734846176,0.14575780423764242,0.195054714882334,0.10330178539674074,0.2328212054800241,0.1439406854764594,645.8872150635987,248.89962761596755,171.99832195647608,162.2577166816237,517.0673557501764,312.41607041739616,0.6963444260841123,0.2736529090157558,734.4173841746474,232.33066403591727,390.4858861183716,70.05579343849797,5.685558294484755,1.1170872930809848,0.3846329260527999,0.36060220443251867,0.06700813829772807,0.12662699869655952,0.08192948146086773,0.06378519875494303,0.30600029651915206,0.0993034774425595,0.08553074041466938,0.06828733602865243,0.46583565457956555,0.1427673053140194,0.19858825725685122,0.08925865953308754,0.46199908282848584,0.21644582288743633,7226.463333333333,6970.525466533174,7176.913333333333,6970.557270502846,7633.533333333334,2393.2789633073676,6943.21,2509.2975737468923,7424.966666666666,621.6637125170035,7493.4766666666665,621.7368509492715,7357.966666666666,1400.4473743713118,7463.366666666667,1456.5361825437383,7270.343333333333,2261.706168973207,7502.343333333333,2215.4438706352594,7206.286666666667,2526.8357738316263,7257.796666666667,2543.4358812958308,7383.816666666667,2181.5883469253217,7224.52,2160.5823326874333,7679.196666666667,2517.5091776437725,7169.136666666666,2501.7536721486495,7792.0,2581.4660777100853,7091.316666666667,2546.462721310807,7490.906666666667,2328.1175706346708,7375.46,2333.6532977530555,7456.32,2778.4941081991983,7165.69,2752.085679235449,7412.503333333333,2583.568627466989,7111.803333333333,2533.8125736757406,7750.256666666667,2757.432087379595,7181.406666666667,2634.543341203142,7962.116666666667,2684.1190896356875,6898.98,2859.654972452371,7780.37,2954.766197865209,6972.6866666666665,2867.7257618723897,7943.5,2995.351553060409,7171.356666666667,2945.0246615230267,0.016666666666666666,0.0,0.3,0.0,0.6133333333333333,0.023333333333333334,0.023333333333333334,0.0,0.0,0.0,0.0,0.9966666666666667,0.01,0.016666666666666666
MID,SILVER,0.25123826925961984,0.17566329358421773,0.1943635217307242,0.09894621219058518,0.2267929437017011,0.12251792090241717,685.8503346145516,274.04133075560617,158.14632403961664,141.667581540528,525.3906171274816,317.10691765106395,0.6656044281424596,0.26207353652670745,734.5655544057031,237.777747515387,390.03731928627917,84.11577718989177,5.375317077073439,1.1893174302566965,0.4073536063259562,0.4063124166690265,0.09084593586415204,0.18995366275772874,0.06894941903667688,0.0619548752327659,0.29676587863344417,0.10131881569453692,0.07425614068869985,0.07318033928289398,0.48636097453326216,0.14734596662792035,0.19763484731046374,0.08363427948651822,0.4780312129613209,0.21629937653528652,7610.942122186495,6968.823851559078,7558.83922829582,6968.045721295826,7598.6591639871385,2213.7913004991574,6782.954983922829,2222.3903401008265,7320.752411575562,839.6127946582537,7338.302250803858,843.5855074322674,7387.48231511254,1235.343180283654,7496.990353697749,1240.9730144073617,7282.163987138264,2104.9890848208734,7633.755627009647,2026.0359114000796,7570.4662379421225,2179.9721671762,7513.929260450161,2144.2886213739903,7352.102893890676,2000.6646288472816,7159.019292604502,2020.1493923392227,7611.498392282958,2453.7563039533807,7268.5337620578775,2373.4335597539116,7739.057877813505,2520.5746253187276,7037.244372990353,2525.62134892658,7484.993569131832,2276.8234138867747,7380.713826366559,2282.410912320387,7645.778135048232,2483.565480469248,7270.32154340836,2363.1336247733398,7319.35691318328,2531.636146576689,7394.154340836013,2620.2904853689347,7794.196141479099,2843.6827638476866,7303.6077170418,2848.6694472702907,7808.63344051447,2912.868022553306,7361.942122186495,2952.9402192687267,7879.91961414791,2812.9326419870026,7189.84887459807,2845.614868585214,7855.279742765273,3330.113707572538,7105.077170418006,3244.839132226052,0.03536977491961415,0.0,0.27009646302250806,0.0,0.6012861736334405,0.03536977491961415,0.00964630225080386,0.0,0.0,0.0,0.0,1.0,0.01929260450160772,0.028938906752411574
