account_id,summoner_name,tier,match_id,queue,team,position,playtime,spell1,spell2,kills,deaths,assists,totalDamageDealtToChampions,totalHeal,totalUnitsHealed,damageSelfMitigated,damageDealtToObjectives,damageDealtToTurrets,visionScore,timeCCingOthers,totalDamageTaken,goldEarned,totalMinionsKilled,neutralMinionsKilled,totalTimeCrowdControlDealt,visionWardsBoughtInGame,killsRatio,deathsRatio,xcor_0,ycor_0,xcor_1,ycor_1,xcor_2,ycor_2,xcor_3,ycor_3,xcor_4,ycor_4,xcor_5,ycor_5,xcor_6,ycor_6,xcor_7,ycor_7,xcor_8,ycor_8,xcor_9,ycor_9,xcor_10,ycor_10,xcor_11,ycor_11,xcor_12,ycor_12,xcor_13,ycor_13,xcor_14,ycor_14,xcor_15,ycor_15
Jg1V7eMeIOB2jExqz7WnFUmB-gtZ3bOMU7fHgKvmFdzh,수상안전요원,DIAMOND,4565870089,450,100,NONE,1322,32,4,3,7,36,10123,0,1,39947,1460,1460,0,36,29922,12068,10,0,89,0,0.7358490566037735,0.175,1102,1180,1102,1180,7581,6878,5469,5218,6155,5686,5054,5116,5251,5003,6264,6714,3982,3712,7360,6678,4663,4906,8723,8808,3163,2504,7871,8240,5100,4581,6181,5683
gWyS9vz2Wi-aYKYjWQVkhwA2EIfY9vzwxUZ7-ALiPMIl,농사꾼 피들,DIAMOND,4565870089,450,100,NONE,1322,13,4,13,11,22,31103,10340,19,14982,4890,4890,0,2,29424,15272,72,0,18,0,0.660377358490566,0.275,1102,960,2512,2333,7391,6931,5318,5577,3196,2691,5496,5453,5100,5821,6126,6687,4111,5090,6326,6911,6933,6899,9329,9311,629,1195,7785,8596,4577,5381,5880,6372
Ty3XcAj3YPsXr0XoTGEVG2zEv9_wQBAWe4a_e5wn7u6Z,참새는참세지,DIAMOND,4565870089,450,100,NONE,1322,7,4,13,8,33,37506,7056,4,8443,1059,1059,0,39,22203,14529,53,0,181,0,0.8679245283018868,0.2,893,892,5110,4750,7198,6839,5566,5298,6923,6409,5638,5122,6438,6056,6242,5684,4831,4364,7073,7053,6430,6382,8594,9063,2329,3008,7284,6965,3720,4138,6273,5734
z6qmHq6EHkWusoBGFpxlPSJOhkLpjvxzZ_DJNoH96H3h85RH-GeGf3uj,신의멘탈,DIAMOND,4565870089,450,100,NONE,1322,13,4,9,6,25,23354,0,1,10485,1592,1592,0,49,25257,14505,88,0,619,0,0.6415094339622641,0.15,763,1070,763,1070,6802,7201,5322,5345,6304,6472,5980,5200,5014,6027,6507,7026,4483,4771,6680,6860,6174,6681,8379,8564,3187,2999,7695,7290,1053,1140,6981,6268
6d2aXSaKYUkCPXsGg3onShTLSbK-TohWOl1DAE3P4FVZ,안전요원친구쫄병,DIAMOND,4565870089,450,100,NONE,1322,4,32,15,8,11,23776,0,1,21772,1296,1296,0,1,21560,13765,29,0,14,0,0.49056603773584906,0.2,853,1248,5102,5152,6862,6971,5000,5753,3417,3357,6723,6865,5306,6164,4919,5488,4960,4646,6645,6556,6539,6184,9144,8649,5044,5496,7358,7237,4107,5142,5422,6152
9PHLawnIcGv8ntXvqbD0zJgt3BCcb6Tg-CNJc79p9kA1KZ4,깰바람,DIAMOND,4565870089,450,200,NONE,1322,13,4,7,7,27,34507,0,1,5914,616,616,0,46,14840,14167,51,0,309,0,0.85,0.1320754716981132,12006,11716,12006,11716,7705,7441,6866,6085,9932,10839,6346,5675,6514,5848,6961,7348,6054,5210,8281,7751,7619,6938,6783,5968,4917,4356,8431,8198,7761,8543,6682,7382
BTRK7xut7V9FzEqYrmb02RmuxVsT9ZU0264zXeRiesjXVmYqLLjrXUr7,Choang7,DIAMOND,4565870089,450,200,NONE,1322,13,4,3,15,12,14317,0,1,15224,554,554,0,22,31741,10931,27,0,29,0,0.375,0.2830188679245283,12006,11496,6328,6183,9684,9199,6800,6104,10463,10841,6331,6383,6825,6073,6452,6892,6278,5850,11761,11406,8710,9244,9581,9935,5215,4827,8568,8840,5875,5783,8167,7642
MsH35-orSeSbiCCJzo_MCQXBLMaBdw5N4GlX98FCNIVB3k9l2StIR9br,jhsmarco,DIAMOND,4565870089,450,200,NONE,1322,4,6,14,8,11,29657,0,1,29553,639,639,0,117,38393,15640,111,0,445,0,0.625,0.1509433962264151,11797,11428,5688,5911,7724,7734,6494,6198,7369,7604,6021,6145,6512,6104,6874,6497,5682,6351,6283,6865,7536,7402,11860,11596,4780,4395,8472,9074,5893,5953,6967,6988
F8MQSd52OkgNJw7k_wGLbNMk3RSL8z_JR9D2_ksvGeax,잉여로운 김잉여,DIAMOND,4565870089,450,200,NONE,1322,1,4,10,13,13,23988,0,1,10439,4345,4345,0,7,26614,13450,57,0,39,0,0.575,0.24528301886792453,11667,11606,6014,6555,7764,8030,6195,6600,9469,9779,6707,6787,6405,6898,6801,6615,5825,5642,6659,6425,5964,6504,7392,7559,10721,10985,8445,8606,11077,11227,6934,6920
X4_ouIvVl-8X8XGUy_DQ9SV_WQhDYxxpSHex_vQV3_3wH-s,오갈병,DIAMOND,4565870089,450,200,NONE,1322,32,4,6,10,18,17440,0,1,21329,373,373,0,46,28518,11748,22,0,175,0,0.6,0.18867924528301888,11757,11784,6374,5783,7628,8018,5785,6301,7931,7215,5936,6154,6891,6292,6627,6573,5815,5852,8172,7977,7490,6790,6541,6488,7615,7250,8227,7529,5838,5472,7530,6793
yIJZq7a7ofRWLfIon1rIRCRh2qF_yF-2VQbJNizxmUWD,나 임,DIAMOND,4562987379,450,100,NONE,1017,32,4,9,11,23,25153,0,1,20422,994,994,0,38,29649,11411,56,0,346,0,0.7619047619047619,0.2682926829268293,1102,1180,5546,5980,6990,6853,5649,6267,3962,3658,5655,5644,4354,4066,2955,3656,7631,8520,5210,5144,8234,7665,5980,6548,5462,5518,8216,8376,1402,1956,2577,3186
mmed7ksSf28L2a2gWYQVL3xRTFuk_Q6KmwQS6z_Rpu8,김모영,DIAMOND,4562987379,450,100,NONE,1017,6,4,5,9,19,23911,0,1,5932,723,723,0,22,17749,10008,56,0,207,0,0.5714285714285714,0.21951219512195122,1102,960,5614,5707,6516,5566,5654,6345,936,1060,5936,6015,4979,4321,5068,5408,6421,6547,5356,4718,7414,6534,5289,6119,4545,4452,7788,8325,7517,7707,2710,2531
RUcf3yOsYjlmAeKFM71L9Q52oNUpCWIKSloTbci392JW0o0,이히호오홍,DIAMOND,4562987379,450,100,NONE,1017,32,4,7,8,20,13747,0,1,37145,1001,1001,0,57,26563,10093,8,0,287,0,0.6428571428571429,0.1951219512195122,893,892,5479,6343,6348,5847,6464,6188,2548,2866,5647,5719,4762,4175,4306,4885,9879,9150,5316,4979,7571,6790,6541,6057,4397,4364,7997,8245,5711,5417,4690,4926
