position,tier,killsPerMinMean,killsPerMinStd,deathsPerMinMean,deathsPerMinStd,assistsPerMinMean,assistsPerMinStd,totalDamageDealtToChampionsPerMinMean,totalDamageDealtToChampionsPerMinStd,totalHealPerMinMean,totalHealPerMinStd,damageSelfMitigatedPerMinMean,damageSelfMitigatedPerMinStd,damageDealtToObjectivesPerMinMean,damageDealtToObjectivesPerMinStd,damageDealtToTurretsPerMinMean,damageDealtToTurretsPerMinStd,visionScorePerMinMean,visionScorePerMinStd,timeCCingOthersPerMinMean,timeCCingOthersPerMinStd,totalDamageTakenPerMinMean,totalDamageTakenPerMinStd,goldEarnedPerMinMean,goldEarnedPerMinStd,totalMinionsKilledPerMinMean,totalMinionsKilledPerMinStd,neutralMinionsKilledPerMinMean,neutralMinionsKilledPerMinStd,neutralMinionsKilledEnemyJunglePerMinMean,neutralMinionsKilledEnemyJunglePerMinStd,totalTimeCrowdControlDealtPerMinMean,totalTimeCrowdControlDealtPerMinStd,visionWardsBoughtInGamePerMinMean,visionWardsBoughtInGamePerMinStd,wardsPlacedPerMinMean,wardsPlacedPerMinStd,wardsKilledPerMinMean,wardsKilledPerMinStd,killsRatioMean,killsRatioStd,deathsRatioMean,deathsRatioStd,killAssistPerMinMean,killAssistPerMinStd,xcor_0Mean,xcor_0Std,ycor_0Mean,ycor_0Std,xcor_1Mean,xcor_1Std,ycor_1Mean,ycor_1Std,xcor_2Mean,xcor_2Std,ycor_2Mean,ycor_2Std,xcor_3Mean,xcor_3Std,ycor_3Mean,ycor_3Std,xcor_4Mean,xcor_4Std,ycor_4Mean,ycor_4Std,xcor_5Mean,xcor_5Std,ycor_5Mean,ycor_5Std,xcor_6Mean,xcor_6Std,ycor_6Mean,ycor_6Std,xcor_7Mean,xcor_7Std,ycor_7Mean,ycor_7Std,xcor_8Mean,xcor_8Std,ycor_8Mean,ycor_8Std,xcor_9Mean,xcor_9Std,ycor_9Mean,ycor_9Std,xcor_10Mean,xcor_10Std,ycor_10Mean,ycor_10Std,xcor_11Mean,xcor_11Std,ycor_11Mean,ycor_11Std,xcor_12Mean,xcor_12Std,ycor_12Mean,ycor_12Std,xcor_13Mean,xcor_13Std,ycor_13Mean,ycor_13Std,xcor_14Mean,xcor_14Std,ycor_14Mean,ycor_14Std,xcor_15Mean,xcor_15Std,ycor_15Mean,ycor_15Std,spell_1,spell_11,spell_12,spell_13,spell_14,spell_21,spell_3,spell_30,spell_31,spell_32,spell_39,spell_4,spell_6,spell_7
TOP,DIAMOND,0.1686072945039955,0.11472651868856232,0.1916611551204062,0.09659327526724881,0.2115237454465594,0.14024899778082045,585.9646308786396,209.52363802856203,14.548122039490647,70.43481568425479,751.1746380830953,377.2987081885594,259.79261030404444,191.88357398709525,131.31752400222217,109.57575136486093,0.6792626467060895,0.24368911786807845,0.6191183250507221,0.399999004909586,836.1443361134379,221.8533983944859,387.07375702100154,68.65974351358466,6.175856626554869,0.9788025164560139,0.2613300060818061,0.2613591661080697,0.06582569587019425,0.12060725799857173,6.6180461525823056,6.246566836365409,0.08029105631141184,0.12495793662583576,0.3117037507443467,0.14390526743859172,0.08613536327055374,0.07037464328014978,0.42075710649018155,0.1592231915341599,0.2028331236688587,0.0817187785759141,0.3801310399505549,0.18933696746260537,7870.237226277372,6964.750621659459,7890.007299270073,6967.613366277189,5683.656934306569,3032.4501244592125,9390.44890510949,3118.7590326880268,2427.284671532847,973.5209045687254,12419.05109489051,1068.3923311236958,2788.2664233576643,1908.5524130539286,12137.638686131388,1745.814399239833,3067.080291970803,2301.263952934424,11607.649635036496,2619.265568542636,3317.405109489051,2820.8744883885206,11845.675182481751,2489.006352552126,3260.1788321167883,2541.6351765806853,11615.321167883212,2507.3636606025034,3395.905109489051,2786.9428072249757,11567.784671532847,2782.573189369223,3332.492700729927,2618.4140591068117,11693.737226277372,2610.2668334264317,3212.215328467153,2444.4213232334687,11736.054744525547,2353.39492923792,3425.200729927007,2923.9759623540635,11529.029197080292,2634.866093841913,3952.0109489051097,3262.629057959708,11184.233576642337,3043.437875017044,3911.2372262773724,3454.9899092743935,10724.62408759124,3337.9081373863655,4788.762773722628,3880.1539986716584,10127.288321167884,3998.4982346730653,5062.478102189781,3871.594395876897,9996.474452554745,3825.780200216758,4803.532846715329,3512.772896444355,9776.61313868613,3658.992435720783,0.0,0.0,0.8722627737226277,0.0,0.12408759124087591,0.0036496350364963502,0.0,0.0,0.0,0.0,0.0,0.9562043795620438,0.040145985401459854,0.0036496350364963502
TOP,PLATINUM,0.17176817740909814,0.1056492016848126,0.187159969948176,0.08706148654707181,0.19252688232905346,0.12943503054358949,593.5746696857743,211.64006636293925,14.878052246305518,68.37762114732267,766.5935991441794,379.87522389699717,255.9029430866317,206.46178056943037,131.37731443874702,115.43367067776659,0.6573652076153924,0.25906470719857716,0.7092955397776822,0.4630125875523382,847.9398011597349,222.57028377081707,384.2990583672954,70.0344504362255,6.079772250560284,1.2227828349500955,0.3040190951838673,0.30060744507268006,0.07245672189604442,0.13772359438880896,6.700145062701853,5.547660813100474,0.08478641061217035,0.2434315342260382,0.3023038019480007,0.23913234294248026,0.08245080521676845,0.06337680547730244,0.4033513346295394,0.16037390132383397,0.20757887341720674,0.0913043873544149,0.3642950597381516,0.17434637731255076,7847.126712328767,6965.255191608736,7870.020547945205,6967.122469479848,5689.897260273972,3081.933332900969,9478.565068493152,3098.5402913843636,2508.4349315068494,1413.6491709647805,12463.691780821919,1043.375137652013,2671.568493150685,1722.7522111027974,12033.760273972603,1825.432501798575,3157.0616438356165,2179.2167426181486,12129.232876712329,2054.7962266879263,2965.198630136986,2313.375534993999,11622.503424657534,2720.0707749260473,2719.6609589041095,2137.976611468267,11715.801369863013,2261.7646856064703,3605.599315068493,2977.800013663459,11749.253424657534,2618.966552854589,3219.3082191780823,2646.757396451561,11572.308219178081,2567.9980772200265,3336.5890410958905,2538.1384638077266,11875.674657534246,2155.8277511002525,3497.4794520547944,2854.3486849689352,11344.356164383562,2982.8513521230343,3899.253424657534,3039.3548234971477,11505.106164383562,2682.7830587992808,3877.9657534246576,3242.9764422531207,11117.90410958904,3179.9168056911603,4447.736301369863,3736.576846740696,10545.866438356165,3693.8361120452832,4618.993150684932,3443.592874181621,10766.938356164384,3193.3160440225333,4903.267123287671,3756.3348733808684,10035.335616438357,3682.2620947451874,0.0,0.0,0.815068493150685,0.0,0.1267123287671233,0.0,0.0,0.0,0.0,0.0,0.0,0.9794520547945206,0.07534246575342465,0.003424657534246575
TOP,GOLD,0.18980816590309652,0.13522336783231118,0.19703208815380546,0.09605519967691971,0.2051428952245336,0.1202533582969657,614.2406865833699,251.60656354502567,20.610263180933124,77.62855918451116,796.3252493702888,408.78314374657947,251.17444353872838,202.83634692328314,131.9350943371668,107.3823732965729,0.6520379214352267,0.2735452498324993,0.7516525657993708,0.5224097598010231,857.7021967019441,232.2595231851147,384.7063981993262,74.92682129367708,5.7973129099556,1.1982022757370938,0.27661449967260027,0.2966707651412149,0.0719637328497405,0.11955777964901981,7.571548025369458,8.351657525332456,0.06599255708893045,0.053621803378819825,0.28864803388256727,0.10260440412642782,0.06824454755491921,0.06028995663316352,0.40621515894093735,0.1578152109822261,0.20709592819367423,0.09204356272409683,0.39495106112763,0.19780750493338733,7901.504918032787,6962.655538809448,7921.9704918032785,6963.093506956976,5000.301639344262,2980.7881454281405,9780.698360655737,3229.7813292899878,2358.4852459016392,611.590775698717,12531.606557377048,580.7016535908738,2686.895081967213,1879.1292186901205,12174.629508196722,1565.9756975478936,3031.8754098360655,2585.0394983656324,11680.826229508197,2525.4291426553445,3179.6032786885244,2496.08269475756,12000.075409836065,2413.203653358772,3169.5737704918033,2477.3936422216548,11825.262295081968,2471.9189082309545,3052.1540983606556,2319.5052924780057,11758.87213114754,2485.513577404918,3308.927868852459,2780.5746781614434,11638.603278688524,2781.218957837837,3298.144262295082,2679.4643647101393,11696.87213114754,2647.7445801823947,3397.2852459016394,2904.2078661058918,11393.695081967213,2936.2507739253215,3404.87868852459,2760.977430205386,11082.652459016394,3253.2134139917475,3856.098360655738,3280.554740400934,10949.452459016393,3296.4046191310426,4049.9475409836064,3403.0600573333913,11011.354098360656,3069.358839140908,4399.426229508197,3689.5143644336695,10465.52786885246,3426.8080273954783,4801.314754098361,3530.8998851975653,10042.518032786886,3844.6897426972414,0.0,0.0,0.8065573770491803,0.0,0.1377049180327869,0.003278688524590164,0.0,0.0,0.0,0.0,0.0,0.9868852459016394,0.05901639344262295,0.006557377049180328
TOP,SILVER,0.18779700392952137,0.1431265100212956,0.1914978136432496,0.09616197502289762,0.18327287258806946,0.1239187678097236,630.3076645882156,281.031104248325,11.680599252697332,61.78140306705625,849.9939179348424,455.5194303480908,257.7307939203908,224.48480784731757,136.52170210993523,109.87570929489918,0.5783443691025395,0.254652958823928,0.783724367126425,0.6092583403982634,870.1176216209361,248.08883146147332,378.97512297969615,86.74642234657196,5.633921250928809,1.3353673402822557,0.3239611280596241,0.3789163538654106,0.086264387156748,0.17063694420642364,7.539931596852173,7.009120515032795,0.04452340787761674,0.052071066230956774,0.26615609828493936,0.09493875573914203,0.057798578555793234,0.05660442124247417,0.3844585885672786,0.16407895590697383,0.1959248322499054,0.08230171982073878,0.3710698765175908,0.19157003628114253,7979.221476510067,6957.771377146679,8003.221476510067,6959.939576874641,4396.261744966443,3006.4300952776007,10226.352348993289,3216.8036857839575,2426.010067114094,938.3717916833027,12437.48322147651,1196.1201481491908,2780.0973154362414,2134.542356409425,12157.05033557047,1919.9203408743076,3210.5335570469797,2829.1055421994784,11966.969798657718,2130.2425026970354,2956.731543624161,2203.338546215116,11815.338926174496,2685.323789497134,3220.6476510067114,2656.409307841265,12136.295302013423,2041.1011750472342,2898.3523489932886,2468.7313690237484,11497.224832214764,2834.8209843398117,3231.463087248322,2733.995257431225,11653.993288590604,2843.495182899676,3328.2651006711408,2645.70363878871,11654.912751677852,2654.0805351970002,3148.1442953020132,2645.8693420251043,11542.187919463087,2615.1273330249865,3206.2751677852348,2677.830366705348,11406.953020134228,2783.5832194983864,3605.218120805369,3042.9194939300014,11290.08389261745,3142.602772362031,3651.9664429530203,3100.092252165104,10886.379194630872,3503.133931292919,3981.8422818791946,3445.2975093456284,10722.55033557047,3496.46011934137,4191.375838926175,3149.259065179665,10451.154362416108,3493.5216575901763,0.0,0.0,0.7348993288590604,0.0,0.19798657718120805,0.003355704697986577,0.003355704697986577,0.0,0.0,0.0,0.0,0.9832214765100671,0.06711409395973154,0.010067114093959731
TOP,BRONZE,0.20371465620073395,0.16217857629572435,0.19171887212217187,0.10043731271130979,0.19516087357469003,0.13696506639878572,633.9847702415998,295.2552307598557,25.630171817934816,104.08486797364539,826.7122320443258,469.15093107307433,267.56744719919544,223.65167315681057,149.70694289607292,129.2939421764613,0.5383153493568901,0.2536480914810273,0.7577807172270318,0.532267507104445,864.2045485369358,258.55069748183405,376.1779171932104,85.05736032585789,5.277754014647467,1.2665700579532686,0.2890623179055717,0.3072182274142388,0.08208428284575732,0.15676710223401324,7.468319765794558,7.820469746993307,0.03373158836652771,0.04371476946943454,0.2586531407961863,0.09262754103787159,0.04534309999196561,0.05207572278353571,0.41082366830584527,0.18107980547181213,0.20184456875183834,0.09502229541415723,0.398875529775424,0.21817256701384008,8316.03355704698,6929.349686392744,8334.302013422819,6929.019578501363,4175.093959731544,2993.858295381621,10736.942953020134,2935.282712010597,2333.8120805369126,804.105914335749,12365.241610738254,1278.6591548794356,2563.993288590604,1459.1215958941316,12267.989932885906,1368.6281378432534,3044.01677852349,2307.0298561772647,11787.345637583892,2519.8312629890784,2903.3892617449665,2186.7505487465237,11942.295302013423,2403.0773943025965,2907.463087248322,2303.5265498736776,12200.426174496644,1849.7745088493039,3207.2080536912754,2838.2152066503904,11829.942953020134,2554.7574410486154,3217.6342281879197,2748.9011046723617,11730.520134228187,2732.576918235123,3195.8255033557048,2560.6671380073244,11783.651006711409,2664.0438716071226,3170.7550335570468,2579.8248766795873,11365.352348993289,3000.8749117051734,3431.5,2958.7375142873316,11331.325503355705,2721.842801073964,3826.003355704698,3087.4308209355518,11437.18456375839,2880.3418117219203,4172.963087248322,3596.6490776636037,10875.442953020134,3278.4645270284445,3913.1241610738257,3205.4607617267493,10818.607382550335,3138.906543114969,4069.1610738255035,3136.8926905053104,10873.29865771812,3126.3263735580977,0.0,0.0,0.7080536912751678,0.0,0.24496644295302014,0.003355704697986577,0.006711409395973154,0.0,0.0,0.0,0.0,0.9899328859060402,0.03691275167785235,0.010067114093959731
TOP,IRON,0.18989591908436085,0.1588128183585488,0.18782558897897103,0.0966500934421044,0.176560344320583,0.13515961692794923,585.4779280321097,292.08344005745295,15.674392624086538,74.66995932643879,726.7481954214031,440.2184575862779,235.10708652398225,220.7270588951231,130.92732588282078,119.32208502719217,0.4944923753376429,0.235924881282775,0.6801845720120235,0.4945244731323345,809.9900048910924,240.26179537378047,356.1503324390059,90.40542900554262,4.943237570726526,1.329867584942721,0.26527346566846854,0.37159302654896914,0.06978178275823976,0.1720854300169069,6.658093806621819,6.168586806175138,0.028003811399675033,0.0479831131757275,0.2436106079166333,0.08925262228790111,0.037371602999341225,0.0456463422134342,0.37034266180891556,0.1643576935415427,0.18628933775261472,0.07810155970382206,0.36645626340494375,0.21952804164617779,8099.144578313253,6965.921927946304,8120.096385542169,6970.626706513742,3891.9939759036147,2813.982010876979,10914.843373493975,3082.869269510989,2549.1867469879517,1093.812828736316,12482.831325301206,1025.9876284832371,2932.897590361446,1988.99118217805,12429.253012048193,1547.5485979023924,2753.722891566265,1793.6781597954928,11859.156626506025,2248.044844704907,2668.4337349397592,2037.5775349011494,11940.27108433735,1884.2028887749607,3084.987951807229,2486.655005223981,12036.325301204819,2267.0958601242105,3156.1987951807228,2392.452481323815,11971.789156626506,2198.4325347440395,3033.367469879518,2450.705779089495,11651.915662650603,2938.425545041629,3199.7168674698796,2620.5902546919638,12109.325301204819,1600.580596237796,3464.5361445783133,2881.0766603698826,11616.210843373494,2944.3867228096015,3140.9337349397592,2466.4914036069895,11433.084337349397,2973.636541972336,3583.5361445783133,2827.862835046489,11180.518072289156,3086.2571108410375,3903.9036144578313,3069.675869235818,10805.367469879518,3423.4542652957616,4244.753012048192,3265.626988732229,10807.397590361446,3457.6786798493968,4555.415662650603,3673.2299900102594,10205.397590361446,3792.01611663804,0.006024096385542169,0.006024096385542169,0.6686746987951807,0.0,0.25903614457831325,0.018072289156626505,0.006024096385542169,0.0,0.0,0.0,0.0,0.9879518072289156,0.03614457831325301,0.012048192771084338
MID,DIAMOND,0.2232631830377495,0.12999088736947048,0.18364943911242954,0.0983518051461558,0.2307924034862036,0.13598170909683507,642.3482701871122,235.9692114788803,13.599985013916093,47.11173041936552,514.2449131856558,293.2789403542074,191.125520267206,160.7762890102964,81.19330960153339,81.91904678668206,0.7657073334815675,0.2716604769786276,0.7867130760832386,0.7200847920377078,724.921205114506,240.31632862761398,399.9423480661812,67.39446737289278,6.154437015627222,1.1570547760903058,0.3650260430127916,0.3261463732722353,0.061611008724556354,0.12424341095003409,6.489567310017454,4.906575684300504,0.11981435226235515,0.17731880457834778,0.33231652466026285,0.1890902609974108,0.10839313165720593,0.07409693989593714,0.5051701156835315,0.15444587732251744,0.19278589209187383,0.08388872989546937,0.45405558652395317,0.19588473715958024,7812.7992565055765,6959.254139343497,7763.148698884758,6961.877076304015,7340.055762081784,2354.9075497298213,6992.617100371747,2446.6652797022557,7340.442379182156,1158.8382054481372,7516.342007434944,1114.490634833589,7227.204460966543,1307.08733642961,7509.561338289963,1283.0482742368204,7457.397769516729,2451.7289851372584,7414.308550185873,2436.678821024553,7669.182156133829,2458.9152049942772,7298.855018587361,2532.3884553131757,7537.7992565055765,2210.8458713837044,7411.014869888476,2132.6602212216194,7807.171003717473,2646.17327484414,7064.847583643123,2725.741070497891,7553.773234200744,2435.919375892413,7200.111524163569,2438.686907087405,7805.724907063197,2270.1151440676053,7629.382899628253,2366.985857710605,7593.672862453532,2704.586318418351,7417.680297397769,2732.8541859906245,7664.144981412639,3022.3019171081646,7368.182156133829,2814.307012918809,7690.855018587361,2577.883158649404,7091.5724907063195,2728.533454591038,8246.171003717473,3010.7617745656876,6903.784386617101,3110.598336821856,7925.985130111524,3105.850371416628,6766.141263940521,3197.6993599129905,8317.003717472118,3128.7775562118163,7089.847583643123,3049.491826243245,0.040892193308550186,0.0,0.31970260223048325,0.0,0.5799256505576208,0.011152416356877323,0.022304832713754646,0.0,0.0,0.0,0.0,0.9925650557620818,0.01486988847583643,0.01858736059479554
MID,PLATINUM,0.21559242141702753,0.1295635569491364,0.19100920009598252,0.08347287398376273,0.23169878998259122,0.12487202950202236,635.6182144066373,219.58687920120238,13.32790709390485,51.516625085139985,547.9733597700039,338.6426538743456,195.64712499107674,182.48985052718032,86.93713500117263,101.49834349621489,0.7193030104427857,0.2593916952674509,0.7481220130932412,0.6860519201269171,732.2178708076098,212.9848942049845,393.8369641303985,68.2394814381474,6.011478437581392,1.135349133315276,0.3911579370389138,0.3820769743906431,0.07844760169187842,0.16384097639728093,6.586569116030738,6.1561109866779615,0.09014301125495892,0.06952303022949889,0.30833691949352104,0.11919880185117523,0.1080888302730663,0.08493163778141703,0.4946528898996032,0.14635046241481758,0.20801534493526036,0.07874657334119685,0.44729121139961875,0.19003983892729595,7673.707070707071,6966.843532703516,7623.518518518518,6970.583740956684,7644.666666666667,2397.053386804138,7243.575757575758,2423.4274258432492,7368.414141414141,809.6415123887415,7413.498316498317,770.7505517376637,7374.882154882155,1422.7078018496943,7523.811447811448,1326.1214828592958,7342.888888888889,2267.214570769584,7379.989898989899,2241.963492248101,7515.936026936027,2442.7291213073154,7360.86531986532,2415.5768508454707,7499.457912457912,2369.7053184656834,7229.03367003367,2373.775890557537,7747.343434343435,2610.305766086646,7420.525252525253,2531.532964204377,7558.956228956229,2455.4348767353686,7076.451178451179,2386.096001176687,7646.7037037037035,2177.4152215521613,7432.1144781144785,2103.6840947809324,7508.080808080808,2512.8396032827823,7354.572390572391,2561.0255340638514,7541.080808080808,2840.7699779764494,7557.861952861953,3010.876589235822,7649.804713804714,2669.4309727901223,6910.2962962962965,2633.433125556215,7941.680134680135,2903.026003163462,7061.50505050505,3052.3669239881433,7681.430976430976,3151.538019436881,7309.7946127946125,3019.4185913799497,7590.750841750842,3288.71961117905,7232.447811447812,3227.2433740592055,0.02356902356902357,0.0,0.2895622895622896,0.0,0.622895622895623,0.020202020202020204,0.026936026936026935,0.0,0.0,0.0,0.0,0.98989898989899,0.013468013468013467,0.013468013468013467
MID,GOLD,0.2518109906882455,0.1564024008076507,0.1959647979189459,0.097164463857793,0.2250526448443069,0.1326014868978893,683.5041881087014,252.12274128909596,5.472792484604258,48.41085575554479,532.1135075126446,271.3019577880131,191.0589881946009,177.9304483103815,93.2798334880612,93.66230654917666,0.6889561879882953,0.25907430599351544,0.6351266839117071,0.599823891265381,741.9042437764309,208.44890688324304,400.3443908126188,78.14984157846384,5.739450204592984,1.2147518049167572,0.4029209920334232,0.37154836416896164,0.07961520754775925,0.13832018560882414,5.286247624778694,5.066176979336884,0.07337665716499751,0.05906803584564408,0.29610246518220124,0.1013423474684086,0.08790628299567035,0.07335272500028434,0.49384521838331824,0.1631987120685598,0.20576855171472988,0.08895398655300625,0.47686363553255234,0.20453936395171876,7686.068627450981,6965.52367055851,7637.496732026144,6971.1879431940115,7733.339869281046,2230.239084921934,7314.954248366013,2286.9907318867713,7372.14705882353,667.9438534918565,7436.261437908497,499.8801334515756,7386.35294117647,1348.2028668216349,7459.85294117647,1294.0034590654261,7413.813725490196,2154.810889258436,7475.18954248366,2115.9654905972543,7442.4477124183,2122.524288735806,7424.18954248366,2077.7572831999128,7544.058823529412,2117.4743035127117,7294.611111111111,2086.7084070704354,7559.885620915033,2418.753788998079,7189.519607843137,2381.6682115916306,7607.754901960784,2552.542103259086,7076.114379084967,2485.162068796723,7437.9477124183,2372.9374444535683,7451.362745098039,2393.105908842187,7510.944444444444,2671.335184089769,7134.408496732026,2603.8232217814298,7713.516339869281,2653.0843160850964,7559.277777777777,2868.217592054935,7934.166666666667,2502.034189136223,7092.049019607844,2479.247301338807,7783.660130718954,2877.1907181089755,7067.771241830065,2921.1043173334338,7751.509803921569,2935.3040049614815,7043.803921568628,2954.5276564795604,7682.225490196079,3226.2928568510006,7248.235294117647,3048.262038055764,0.02287581699346405,0.0,0.27124183006535946,0.0,0.6666666666666666,0.016339869281045753,0.013071895424836602,0.0,0.0,0.0,0.0,1.0,0.00980392156862745,0.0
MID,SILVER,0.23930211806960908,0.1447773538547408,0.20247699568124503,0.10624032576340184,0.20573593545350524,0.11639179218688385,648.1810491116811,259.9695089542654,7.056133066086056,36.25608001546508,548.6551908598998,305.58710428786736,185.72368435621956,178.2730871054061,90.70365825200477,93.86182332643205,0.6322174624824684,0.2633888342727871,0.7450213308556591,0.8434827096927616,752.9239759046878,207.23754835601494,382.116045109019,77.11405096815466,5.217173151458981,1.273236763589315,0.3763394963545674,0.40793066344862244,0.0818398992752734,0.14762033302415006,5.478553805894548,4.564918846768087,0.06266670380944372,0.0600246544929145,0.2859781012292766,0.10635819709546676,0.07404675505242662,0.07351766604724225,0.4641412057161862,0.1475977657926475,0.2060680076381408,0.08259797658637347,0.44503805352311426,0.1963674685340314,7746.21768707483,6963.039765186124,7700.598639455782,6960.8052721155855,7584.663265306122,2222.617641372017,6885.581632653061,2426.236524081642,7368.503401360545,867.7481616241218,7417.258503401361,855.6070322868884,7350.088435374149,1350.5751394015654,7462.122448979592,1355.7520256009004,7531.003401360545,2036.682916000841,7742.6768707483,2013.7002484116083,7495.166666666667,2156.327832909611,7382.278911564626,2147.150271998567,7723.231292517007,2129.095241412132,7510.3231292517,2145.672495599238,7748.401360544218,2366.1407863042464,7351.510204081633,2419.136402384665,7649.799319727891,2738.181611285451,7383.969387755102,2704.9049144709907,7604.380952380952,2294.5335375019636,7411.482993197279,2258.8266362754193,7713.775510204082,2435.6144252761396,7341.93537414966,2474.236832572637,7538.523809523809,2726.7851035858425,7225.591836734694,2673.3006027563824,7609.187074829932,2590.149668683355,7149.833333333333,2562.114072717191,8032.741496598639,2981.9709600645106,7198.656462585034,2842.3140564639275,7953.122448979592,2903.1108427271347,7193.969387755102,2842.720834532824,7730.809523809524,3086.549854538336,6879.863945578231,2965.998298438604,0.02040816326530612,0.003401360544217687,0.20408163265306123,0.0,0.7210884353741497,0.03741496598639456,0.0,0.0,0.0,0.0,0.0,0.9965986394557823,0.0,0.017006802721088437
