account_id,summoner_name,match_id,position,playtime,kills,deaths,assists,totalDamageDealtToChampions,totalHeal,damageSelfMitigated,visionScore,timeCCingOthers,totalDamageTaken,goldEarned,totalMinionsKilled,neutralMinionsKilled,neutralMinionsKilledEnemyJungle,totalTimeCrowdControlDealt,visionWardsBoughtInGame,wardsPlaced,wardsKilled,killsRatio,deathsRatio
1b07pEZfKJWHLhl4ahM_x89QrmsUiwF_C2bonfDDa0dd83E,다리깎는노인,4541946851,jungle,2013,12,5,9,26627,14343,25397,38,32,31409,15225,55,130,4,283,2,10,11,0.6,0.2
A-1Tkp3aQ4ITKIULw7SFDmNq8oZ14hM9ORklBrX0OD6u,착취충,4529288161,jungle,1235,2,2,1,8476,3923,4982,5,23,11803,6138,30,50,0,437,0,4,0,0.25,0.05405405405405406
1l0KsX8aVMaq8ed9Kh1iHIvJkrrBgXYTdgWJcb7qVRVh,WAKE UP Mental,4529288161,jungle,1235,6,0,9,8643,8734,8021,16,9,15043,8336,15,100,8,317,2,3,1,0.40540540540540543,0
eNKOw2P9yjwGeH7e7ZcfbxyokiuOquOe6QhXHdrDfNZHU54,온연이,4540572322,jungle,1753,1,5,19,4490,7249,21065,11,15,22370,9217,16,136,15,408,0,5,1,0.5,0.13157894736842105
wmTbnF7Dv5iTbKJaCcvjUHFH7e4pkPu_AivFzWmzQzcA,수복복,4540572322,jungle,1753,13,6,9,31924,10565,21324,15,6,29928,15015,55,108,4,139,0,6,3,0.5789473684210527,0.15
B547nQQ4PxPsP0d_z2IZqS_SRMC3aOf5xY2PZNwkS5KWvc0,11097,4541540848,jungle,1633,4,3,4,14681,10209,17654,32,5,23661,9948,47,131,15,200,2,4,5,0.4,0.10344827586206896
fMV-DxVIFSVp_tPxucM7aOLF6ACqfXAk29g6IQPG1SJH,oAK Sol,4541540848,jungle,1633,8,4,6,12127,10256,36461,18,22,26744,11890,32,111,22,372,2,10,2,0.4827586206896552,0.2
eOY__VqswUKu-18ceQnriHDcm4Y9AA3XPAROjayT-6rkdgg,zxzqa,4515766018,jungle,2277,11,9,6,26489,20305,22544,39,12,45630,14574,60,123,11,558,10,7,8,0.4473684210526316,0.15
tj2b3hqm2NuDWQ_Bts9OzqhoU5OdO6dAHdC-QGUBNvo3z0uf6LeT5vxD,왜울어상대가난데,4541771457,jungle,1905,5,8,14,15668,21892,36953,27,45,45378,11776,35,85,0,393,4,13,1,0.6785714285714286,0.26666666666666666
nSDUJmDiVR6oOChp0if6ljVnto7wrB0BxByFXhzaHQXJ,밥먹어아들,4541771457,jungle,1905,13,2,4,20972,16515,18814,30,182,27435,15573,83,174,7,553,0,10,6,0.5666666666666667,0.07142857142857142
