account_id,summoner_name,match_id,position,playtime,kills,deaths,assists,totalDamageDealtToChampions,totalHeal,damageSelfMitigated,visionScore,timeCCingOthers,totalDamageTaken,goldEarned,totalMinionsKilled,neutralMinionsKilled,neutralMinionsKilledEnemyJungle,totalTimeCrowdControlDealt,visionWardsBoughtInGame,wardsPlaced,wardsKilled,killsRatio,deathsRatio
L2u5FvhGo5gAbxQwoAfV_Ejj8haplNd_4cE_K70_E2Ko,가레니,4541946851,top,2013,11,3,7,32696,42436,31964,18,9,34604,15502,242,9,1,117,0,11,1,0.5142857142857142,0.12
5nac16OMvEPXPPr2MHWhpQHDHbg4TEfgTWWozBYjkeLoGrJeON59KCrW,누누버프점 ,4529288161,top,1235,4,2,6,8086,2117,6890,11,10,10713,9676,141,8,8,40,0,6,1,0.2702702702702703,0.16666666666666666
xKhAzPVqhhXkYyfr2SUZqwOsFRueVPKDec7W0WqmzYFZSaE,숙이수기수정,4540572322,top,1753,14,5,16,24378,13682,36646,8,22,43718,15156,169,0,0,41,0,5,1,0.75,0.13157894736842105
zx7bPsa3zQxLq6qA9snNTYM5Xa3LX5xxtSn2ZmGn-1VummM,황슈현,4540572322,top,1753,4,15,9,11254,1646,15362,11,41,24513,6776,40,4,0,344,0,6,1,0.34210526315789475,0.375
xhyzi5fbzDBWXrnBpS6ukC0fRz13q5cLwX15HW7TNeMXauH-g0YTw1nz,lnterIude,4541540848,top,1633,8,6,1,18897,5660,23962,6,18,22780,13234,200,22,4,177,0,2,1,0.45,0.20689655172413793
WKnbXFeWeRTcIGnlNeNTOljX91bvav3WBptKhH6FG0_8mi6x8IxZUE3H,혁 데 기,4541540848,top,1633,4,3,9,18052,3155,20072,25,16,20384,9978,160,4,0,121,4,12,2,0.4482758620689655,0.15
gx_IpVJ_gSqnMiGGMy0AIvNFksbv03kCqi699FcI1DURVom3z3amtB8n,힘마스터,4515766018,top,2277,4,12,6,10329,4960,45127,25,32,35871,11613,135,1,0,169,1,4,6,0.2631578947368421,0.2
6XIzuCCUWtguM1z25uhG-Opxy3bd9lJ_M_3Y9L9NL2SUIB8,티모의 버섯볶음,4541771457,top,1905,7,7,4,17336,9380,28483,16,24,30053,11190,201,4,0,375,0,10,0,0.39285714285714285,0.23333333333333334
8uPcioLGmqweWfs1DYiuJKJOIxfm2qse2qMLutgLCU6yUj4,ViRuX,4541771457,top,1905,9,9,2,30103,7753,25623,16,15,32504,13517,209,8,1,72,0,10,2,0.36666666666666664,0.32142857142857145
_u0qCZL7FYyJOQ5BAsTtUFIuPrV6tiu2QKphhbF3Xb0Q,순간 침꼴깍삼킴,4467763245,top,1639,7,7,3,19460,951,22765,28,11,29456,10035,131,8,0,57,3,11,5,0.2857142857142857,0.3333333333333333
X_ML8YK5P_7A_UjyIq-BR5MtFe1v-1Wgw9_MOzP-Dqa7,수련하는 스님,4467763245,top,1639,5,10,6,26286,7584,25710,17,25,36284,11325,159,8,4,56,3,8,2,0.5238095238095238,0.2857142857142857
nlmc6APhRANzfdZNekbOzJsZ4ysehOqDD1Q2ZJCLbJfChsmGwFj3mDwW,꽃등심스테끼,4522944975,top,1435,2,4,4,8486,2045,10685,9,3,15099,7493,123,0,0,35,0,6,0,0.16216216216216217,0.17391304347826086
hgPdwBZeGe10OLvZtUgegUNNax4OBa5zZV7LTX7WXjHD4-BgfrPTPAD-,불꽃남자 김희권 ,4522944975,top,1435,4,3,3,12969,1708,15221,13,25,18906,7955,159,0,0,65,2,6,0,0.30434782608695654,0.08108108108108109
uKDpT1LzpDlMd0ShTw8DVQ7X9Fw98cDkM9Wl8hKLDzrX,이유비1,4515480857,top,1525,2,8,5,19207,6056,21976,16,4,26463,8715,143,4,0,24,4,6,3,0.5,0.2222222222222222
bSCW8ooTI1Yq9oGtrKfQ_Hp6wy_Ov9lvX_Amknsp9l3q7O81Dqrer-ZX,구르미그린기린,4541877633,top,1682,13,2,14,42552,13525,31435,35,8,37276,15680,187,12,4,58,4,11,1,0.6585365853658537,0.07692307692307693
E1PVZZKBxY7cJEbIeOoLPx8l5Tv5OsYlhtmyMmHZ8Eiri4s,그리운달걀빵,4541877633,top,1682,4,12,2,11290,44,12791,14,22,20475,7939,94,0,0,71,0,8,2,0.23076923076923078,0.2926829268292683
jQEiSGwdmJZPWdDLTYzc9216K85hDhIbAdtKXj1AP-gQ2QM,규지롱이,4537377007,top,1640,2,7,4,10636,4653,11266,17,4,20921,8839,140,0,0,225,2,10,2,0.3333333333333333,0.2413793103448276
3r4r97q6XqMBIycJK1CkxfBU3XhfVw7DH0-bsktKz59Vx_s,DRX Banter,4541545037,top,1300,4,5,0,7721,211,16093,8,26,15400,7957,101,0,0,347,0,5,0,0.5,0.18518518518518517
x5flGm7zTYWXDU970jGm9xgjLPmyRicHvssiOwFhFYZSW9U,커피분노조절장인,4523076307,top,1348,5,1,6,17121,5175,10106,22,30,18024,11187,197,8,8,59,3,7,2,0.4074074074074074,0.14285714285714285
vA3WWASQaQmJOx1VF1sk5zdDg8Fu4o8sHwZ1PEZqwerX,샤크오일,4523076307,top,1348,2,7,2,12252,4859,22357,9,3,22290,6942,126,0,0,32,0,6,0,0.5714285714285714,0.25925925925925924
ttM8utgsME9CCxdaIXhhe6ToMjCNIVn2hhupLr5FdGGf3D0,샤코가샤코해따,4503543622,top,2091,0,5,9,8595,3428,7273,18,24,17204,8574,111,16,4,641,0,12,1,0.391304347826087,0.19230769230769232
ZlUymiqk0r8p1uUdROdii4zv_bXvObX1TzF27DnM9y5RkTtXw0QTX6P8,바텀전용캐릭,4503543622,top,2091,3,3,6,19444,7576,16411,19,7,18636,13425,239,28,4,147,0,10,3,0.36,0.13043478260869565
qDVgglzh3r78s0rGayfDr3CBE-UwgxG_9Yxj0Om_pU4oRsyisAfP5ec6,광포한기러기,4541235640,top,2005,8,9,15,28631,11814,33590,16,36,41575,12649,142,4,4,231,0,9,1,0.5609756097560976,0.3333333333333333
kcG2w-_UvzlNTgca69oGU3VqmzvDqW09_LzEzVEWuWOUDIukpYc-QHd2,DIY이름,4541235640,top,2005,14,9,5,33094,6661,29326,15,34,34449,13669,148,12,0,196,0,9,0,0.7037037037037037,0.21951219512195122
aJeU-ZuTV7yh46yrqz4l40Xh09yk0GVC1_ld23K2kIzt,shabel,4541373723,top,1406,5,8,4,10396,5023,4964,11,5,16098,8748,85,0,0,96,0,7,1,0.45,0.24242424242424243
YlnUkibwK2qr_5j8pfHsTm1fRpIVFacIu5n0BQ2aucu8KoVi_c1TEkIU,오늘좀쳐맞자,4513506498,top,1956,10,7,4,36204,15871,19089,12,7,34887,11903,183,9,1,72,0,8,1,0.5185185185185185,0.19444444444444445
Foh0X6RAktdLEJUrQCeFwhFSYxxCPaHi4OXpG90HDFGSKVPgUlAZ0Srq,성적호르몬,4513506498,top,1956,5,8,6,15978,6403,33221,25,32,30760,10437,120,8,0,400,5,8,5,0.3055555555555556,0.2962962962962963
