account_id,summoner_name,match_id,position,playtime,kills,deaths,assists,totalDamageDealtToChampions,totalHeal,damageSelfMitigated,visionScore,timeCCingOthers,totalDamageTaken,goldEarned,totalMinionsKilled,neutralMinionsKilled,neutralMinionsKilledEnemyJungle,totalTimeCrowdControlDealt,visionWardsBoughtInGame,wardsPlaced,wardsKilled,killsRatio,deathsRatio
-do_qQvuP23akhZb2vmjGu23-9odvgQeUwfij314gq7G,구이신,4519662268,mid,2350,12,4,8,42968,2470,12448,52,12,27352,16791,261,19,0,169,5,23,16,0.6896551724137931,0.09090909090909091
MXM1QN5omqizq3Q_SBqE0bhg1M5k1HfMBlF5tVziAYkplPI,Kurama,4519662268,mid,2350,12,3,13,45196,6032,13946,26,46,24773,16543,208,36,8,201,5,16,4,0.5681818181818182,0.10344827586206896
c0FvMu68qN7pfP3Ty1uMwAxPNfynWHtk0cOqtgE7QLUR,서밍쾅,4540811586,mid,1305,14,0,0,17744,1110,8228,13,26,8184,12162,179,11,3,282,1,7,1,0.6086956521739131,0
37-Tt9XzlvIC8acY3AxiqCHPe3MR7jVh0NL3cQokNnwnryhUUqnXBEws,Yonekura Ryoko,4540811586,mid,1305,2,1,0,7168,2113,4428,4,2,9840,9137,223,32,0,144,0,4,0,0.2222222222222222,0.043478260869565216
E2wwnVAIwf-v7HOjgQxEgTOBRjmlkivdFfNj48Q6D9uIY2k,파이크노벤이여,4540667326,mid,1619,8,8,10,13725,4466,14125,16,21,24435,12041,114,0,0,116,1,3,7,0.5294117647058824,0.20512820512820512
ria8XSSQP07fK6GQpkWCaELPZi3wQ55s4-rMKhW7oT4Z,하늘별자리,4540667326,mid,1619,11,4,10,20997,2836,8924,18,36,12981,12420,150,8,0,217,6,7,1,0.5384615384615384,0.11764705882352941
5bhMXQ7rH-Ck_BW3hQdgnPgmBC3RAVdb88bMXVtavdLI,현상공,4493694633,mid,1252,5,2,5,11200,1460,5357,11,2,10135,8173,151,4,0,81,3,6,1,0.7692307692307693,0.125
U1zwObO1nal0u71ZSr1HsgpA-vX0v7kTqu55YDFmh2mvvzzedePQvOMZ,오픈의 성지,4493694633,mid,1252,3,3,4,8480,1530,7971,8,11,8236,9119,178,3,0,86,0,6,0,0.4375,0.23076923076923078
xO2DYw7I-9BnkVreHXHHsyh6_nQjjZO7mUoYYyH_tCwO_xebAOU58Q8O,mid111111,4540749330,mid,1490,5,3,10,16306,3541,7966,19,2,16925,10446,156,12,4,95,1,6,1,0.5,0.13636363636363635
ItY9r9lQJWAHoZi-CsqknnRPdCicVkEtOr2gijRWjDMtm3hxPpOvaV3G,NIA 수,4540108295,mid,1219,4,2,3,10497,288,15099,13,3,10154,7818,149,4,0,46,1,4,1,0.30434782608695654,0.15384615384615385
1poXdAlHWLGJswhJoh82ErlyR_HBdrdxwQIZbPk-wFcdMaU,최동구리,4522948085,mid,1911,5,6,3,18254,9416,52951,16,10,36056,13571,242,8,1,756,1,12,1,0.38095238095238093,0.1875
7Tin6p-vxqE87XABS3NDuMk4PPH7Q641ZK1iq-qAWVuq,duo99,4537133725,mid,1620,6,1,6,19705,3967,10421,17,17,14087,10996,169,0,0,36,1,6,2,0.4,0.06666666666666667
3kvK7tNFf2bwvwCsS3-R_zcUT9a6VYqYR7MAZYvB_Nyv,케키케키케키,4537133725,mid,1620,4,6,4,12903,1061,16230,20,14,17027,9497,181,4,0,70,2,10,5,0.5333333333333333,0.2
wNG50xCAhVgLifIO8NBug_9xKasuNRVlD2QtogD6FCIWJLD6Us4ebt4W,될 사람은 pig,4540406605,mid,1256,0,3,5,7781,817,10127,18,15,13909,6021,110,8,4,52,3,3,3,0.45454545454545453,0.13043478260869565
Nsg-IoBrlfH03Y9jdEQ4N3am-PhTs6HeI6KIX7Lp2MXm,FTL,4540406605,mid,1256,5,2,10,13805,2525,4358,16,19,10632,8079,122,4,0,50,5,7,4,0.6521739130434783,0.18181818181818182
akEuqxq_9kY1pLdhza4EuXftbbPcRnJkGjVMuRGbPok3Pow,김 승머,4540363253,mid,1617,12,1,5,20952,2383,18868,29,22,19120,13711,189,20,4,245,4,7,9,0.5483870967741935,0.0625
pEiFI8xIUo8S54IMZPo7I6KzfvNQ2uMEQMPybGVDXXl3aWk,정글님파이팅,4540707651,mid,1801,11,5,9,29566,7273,28354,24,28,24604,13808,185,17,9,201,4,8,5,0.5405405405405406,0.23809523809523808
CK5zFU_8nTBN9swtXD4VfJDJ6Irgj8zk4D8noMLgoPrSzKtEYew3dKX8,Hosuke,4540707651,mid,1801,8,2,5,27601,2225,15542,24,12,23009,12535,184,4,0,169,4,12,4,0.6190476190476191,0.05405405405405406
iS57g7KIT5DwXLmXLG9mjZvfCRV08PHVN9AKgVW6D38qVcI,아이쨩,4540544406,mid,1953,9,6,10,16212,9071,23567,28,22,30179,14218,208,36,7,153,3,12,3,0.5,0.1935483870967742
Li-YtxwkE1mq1VwN45-WxSvIdJZBjcxE0DLdP0HZqNeZwT7FvyXGOnMs,Vanali,4539866612,mid,2297,15,10,6,31311,7618,21571,24,22,40018,16831,203,19,0,252,1,1,12,0.5384615384615384,0.2857142857142857
7GSxBQ83JxCXRNF1RelLC2Ps36xoAQTnpn8etuqM2vQTbW8qYNtGZFoa,부천PC방콜라장인,4538604746,mid,1732,6,6,6,17174,4188,14419,40,17,20787,12049,167,24,8,221,6,10,7,0.4,0.17647058823529413
t1qlWtDoEjDKp3IfmDyNzdROjZg9EA0ks9D65leS6938,신곡주계,4538604746,mid,1732,13,2,12,32499,14506,12822,29,32,24428,16052,213,30,0,389,4,13,4,0.7352941176470589,0.06451612903225806
Gg2NtSHiPme3f6i4Ba5J7n9eayjRpfaI_gknTOLcSbWZ,강찬밥,4540692842,mid,1512,3,8,0,17530,5975,13036,18,18,23526,8407,174,4,0,418,2,10,3,0.16666666666666666,0.25806451612903225
N1r9IWDFFFInF6Pv0bsUYY3C4auYh6F7WgzLdDVWqNAdi1E,질 게,4534624832,mid,1210,6,1,5,14436,4327,3242,18,18,9273,8176,129,8,0,85,4,8,1,0.5238095238095238,0.25
mqNBFewrV5T2ocLMknL8iOt7yW9zRy9iTNpFhNT6eRKkF2vYdUL3P2bF,Clan opcr,4534624832,mid,1210,2,4,0,6922,733,6033,11,2,12316,6293,143,0,0,114,1,7,3,0.5,0.19047619047619047
3-AOXg-34P0YPVfmBQgb13KOPi5zP8c37Nm6AvL0VheKrHxL59zEjY4S,zhuzhulongQAQ,4507145974,mid,1452,3,7,4,10955,2556,5669,28,14,14778,8634,146,3,0,77,4,10,9,0.3888888888888889,0.35
01qE_w3gcvXrFQ2saacQGlI8iE7nnqo29Ubkq-uun24SdPgqrq_f60vQ,삼겹살김치볶음밥,4507145974,mid,1452,10,3,4,11315,3819,10743,18,99,14388,13726,209,16,0,201,3,7,7,0.7,0.16666666666666666
