account_id,summoner_name,match_id,position,playtime,kills,deaths,assists,totalDamageDealtToChampions,totalHeal,damageSelfMitigated,visionScore,timeCCingOthers,totalDamageTaken,goldEarned,totalMinionsKilled,neutralMinionsKilled,neutralMinionsKilledEnemyJungle,totalTimeCrowdControlDealt,visionWardsBoughtInGame,wardsPlaced,wardsKilled,killsRatio,deathsRatio
Yxy1fkdg2TncBnlVW6rLIY9fSjBXvJ0cW813ztOYGfqgmy4,최성딘,4539652353,carry,2400,5,7,6,15966,3640,10890,34,18,20815,15030,236,48,0,118,3,12,8,0.5238095238095238,0.1794871794871795
cOi1HnGEVKFA0W007AYSMG9zTkmq2BqlRRJBQimeVGZrqMA,리바텔포이즈리얼,4540487602,carry,1680,10,4,6,19842,3440,6193,15,18,14808,14132,231,21,4,208,0,7,1,0.43243243243243246,0.18181818181818182
5UfWUtu5tb7XZPA19p6JosGCSgN6Y1kx-BflT9RxYkIV,All mute to D1,4534421422,carry,1438,3,5,9,9473,863,4129,36,34,10193,7831,112,0,0,384,5,13,7,0.48,0.25
PAh1S3x8GT1NWFsZa6xSFLmkrl-DFNcC5AqIlR7VFIuBWoQ,조멍뭉,4533125383,carry,1658,2,6,4,13503,1257,4957,24,6,13129,8472,170,4,0,109,1,9,2,0.3333333333333333,0.18181818181818182
mhL36e5IhjmUpqbCb8Uiezmg-a3sW_wPS9mghGQIwJ6o,ABSoo,4533125383,carry,1658,7,2,16,24054,5354,14999,30,10,16797,12405,157,10,4,234,2,10,5,0.696969696969697,0.1111111111111111
qxPUMY9iv-6d3GlJy9kTB59yntAwXzFaB2OFxpkRK8hi,팔로유,4540087419,carry,1347,3,5,3,9356,1871,4915,10,11,13127,9102,183,1,0,46,1,7,1,0.46153846153846156,0.1388888888888889
HXroYNHAIU0hEpsNB8eS_3GI6KYbPW4Hu4YfMJ81QB6Iryw,수수깡의 만찬,4540087419,carry,1347,6,2,9,14552,718,3205,15,10,6867,9354,153,4,0,376,1,7,1,0.4166666666666667,0.15384615384615385
6aSYlLUqDrCq_O7k0f_AXMwTBloYPRY_TZM_eBva0xYWCq0,tuandui chayi,4521070593,carry,1221,2,4,4,10744,1064,4455,14,0,10160,8057,157,6,2,38,0,5,5,0.2727272727272727,0.2857142857142857
mpsm4rbtzm_Pmd3TeC8RuEubwCQ1gsx5UGOm0h8KuceC,진솔에,4532949732,carry,1330,7,2,6,14720,1583,4593,10,4,11180,11109,161,32,4,41,1,4,3,0.7222222222222222,0.2857142857142857
OX36axv85NajB5vk7lAZShxVpek0cgWwuE_fBAMtcmrTJJw,Jackey1ove,4532949732,carry,1330,0,5,2,3887,684,4399,8,14,10572,5625,108,0,0,422,0,3,1,0.2857142857142857,0.2777777777777778
IO_htO8LE7P5-1QG2oCykvnPp5RbTcXTwD8tayPk0AG1,evada,4525917747,carry,1865,3,2,12,17017,2204,5501,36,42,11966,12968,226,28,4,771,5,12,8,0.5357142857142857,0.15384615384615385
xaiqWSbvuMYYZjYhS45UHjW1P05cE0xSkhwct3ca7vd5WdD8IOye8EBn,연애 안함,4522066279,carry,1626,2,5,3,11487,1592,6196,12,0,15027,8314,150,0,0,0,1,7,2,0.3125,0.1388888888888889
hCsKxcYcNKsus-xAwE3OZoCnx0X3DTCFNM2xX8dscsT65SY,귀욤뽀짝 희숭,4522066279,carry,1626,7,4,11,23109,7311,11406,16,24,24498,13914,192,39,15,264,4,11,1,0.5,0.23529411764705882
EZfv_s9Tui3W78XtKjOCSmnVluNLptKXtgIOk66NEA3c,만보야간식먹자,4540236536,carry,1683,4,6,3,15199,4910,6764,22,40,16873,10311,201,8,0,548,4,9,3,0.5833333333333334,0.18181818181818182
NLzOXjFy8xBOdQuj1LCa1HmcS5GaWkIp4wJ6gT91AI2J,평가팀,4540236536,carry,1683,15,3,5,23279,2219,11675,18,13,12893,15885,251,15,7,111,1,6,6,0.6060606060606061,0.25
Yf6dJysWXWHOHNjWCc9GH6voqrIyciMizvQYgKTPnDmU,너 진짜 맞는다,4540771894,carry,1986,15,2,11,40495,4982,16698,40,12,13618,16108,205,24,4,293,1,12,3,0.6341463414634146,0.08
IvGBHMVG-XDgn6w4C4eDdz-dN7IC5dubqlrSTDoLtAZnMiI,성거같에쌀민아,4539284851,carry,1326,5,2,3,12217,2664,5726,13,5,12534,8982,148,4,0,272,4,7,2,0.42105263157894735,0.2
LMydlVLeR1oJcH6YzoERPIwOK1iaWCE7r2A0DJjo5rL7hFI,IllllIlIllllIIl,4539284851,carry,1326,0,6,3,8913,1294,5271,19,11,10780,7375,148,8,0,28,3,10,3,0.3,0.3157894736842105
Cv_qzHBE3k4BHXEF5eOAoaguleooM-dFncbT1jLSaqaaPyU,핵딴딴,4509581615,carry,1216,4,2,6,14173,1255,3732,13,2,7426,9340,140,12,0,98,1,7,0,0.35714285714285715,0.18181818181818182
tgvv5NSeAYloMWRX099KlW3xpv7cFe_u54Y1HdTJp6oh,백업중,4535331398,carry,2010,8,7,12,25261,3107,13379,23,2,23432,15094,209,48,8,58,0,5,4,0.5714285714285714,0.19444444444444445
Os-luBSmi91YYgKMh5CUKmqPYujvTt8T62p_1Vdlq50ohXY,심pig,4535331398,carry,2010,9,7,7,24732,1530,15082,22,10,25472,16271,259,22,0,143,1,11,4,0.4444444444444444,0.2
TSSlSZCiBFgWatmLutBvgaVYhto-uxpKS0IAXcSPp8zh8nANr_lwU-0e,채팅치면급발진함,4498595734,carry,1604,2,7,8,10633,2154,21283,10,31,20113,8152,120,3,0,496,1,7,1,0.35714285714285715,0.3333333333333333
KHY8evNmoPmn5L5Qk6HmlYOZ3CDcQ2YdASqIDbvII8NUKMbDtKVAwWG6,원딜장인박상욱,4498595734,carry,1604,2,3,11,25873,3430,8296,7,3,17258,10767,178,4,0,22,1,4,2,0.6190476190476191,0.10714285714285714
I2h8toiYBLjuZOyZgCW9Ef7YA4jn0ThLMlABqvkJ8EmZ,skadmlgus,4516123788,carry,2076,1,10,12,11948,2752,10502,16,14,23308,11459,214,4,0,50,4,9,2,0.5416666666666666,0.20833333333333334
