account_id,summoner_name,match_id,position,playtime,kills,deaths,assists,totalDamageDealtToChampions,totalHeal,damageSelfMitigated,visionScore,timeCCingOthers,totalDamageTaken,goldEarned,totalMinionsKilled,neutralMinionsKilled,neutralMinionsKilledEnemyJungle,totalTimeCrowdControlDealt,visionWardsBoughtInGame,wardsPlaced,wardsKilled,killsRatio,deathsRatio
_Ct7LkYINyCNmt5F7FIjxyDu-3-GBtqUU-YRXRNe18ck5bE,토 레,4539652353,jungle,2400,3,7,11,27104,20540,26444,78,43,39305,14427,65,189,12,1104,3,10,5,0.6666666666666666,0.1794871794871795
ySG2osKiw6dT9_3BYpPqCZi7jHB6BK6t7uL7-vkTC9w5,찐과함께,4540487602,jungle,1680,9,3,5,11962,10102,8321,25,23,21215,11158,25,124,0,128,5,8,4,0.3783783783783784,0.13636363636363635
JJ0UmMylsVq6CFbPaXgggh-E7e5VAvS0gBJYhW_Z7U5lAxLA-XS5qO94,혀눅이,4534421422,jungle,1438,10,3,5,11851,8050,7855,21,20,15955,11442,17,147,18,174,1,5,3,0.6,0.15
7IwMY3xtaWYXI4ir3hrbIFYRXikNhYWmmeQfjvM18Dxw,야 정글 주소불러,4533125383,jungle,1658,4,8,7,16296,12818,17121,20,27,32293,9712,19,106,10,447,3,3,4,0.6111111111111112,0.24242424242424243
foqh6CdEsv8fhDrb44_nUMrHLx0umFBpMYkrqbYjKAugZLDYrikYYIR5,Dream boy1,4533125383,jungle,1658,3,7,9,8257,5482,9848,15,11,19495,9411,36,91,0,174,0,9,1,0.36363636363636365,0.3888888888888889
C37b7MqsaY4u-c9zYbIbfK57GHSFxoqDOik_6dGDH9OHkqc,우빈이 와쩌염,4540087419,jungle,1347,2,5,2,5001,11969,10698,18,9,23115,6543,31,80,0,328,4,5,3,0.3076923076923077,0.1388888888888889
l-fO_z-twAZxtWphU87SJ2Y5wjOvd1qSo0dNatQXf_pS2MNd33ys0z3C,부진도파곤곤래요,4540087419,jungle,1347,6,4,10,8921,5598,14705,23,10,18871,9912,13,128,17,267,7,11,2,0.4444444444444444,0.3076923076923077
41z697VsVZW9upN0adp0lAj-pMAyGvA-P9ydfMT9iamYRdw,백정송재훈,4521070593,jungle,1221,8,0,6,10711,16181,13717,15,19,21796,10641,34,133,21,240,3,4,2,0.6363636363636364,0
I0sKbY47Mz_SqzherIrrz3OH9eKnAqk3WRhfbYjMo6sk,바라나시일몰,4532949732,jungle,1330,0,2,9,3517,5892,14939,27,11,17054,6906,18,90,10,159,5,9,3,0.5,0.2857142857142857
Jal7QthKQXWXNSy7Np5x0pRejEthmkKLOkQ4bw7FZEqnICOd-SQYikKz,벌레만나면탈주,4532949732,jungle,1330,5,3,2,6057,6040,15784,7,11,21027,8437,14,91,4,343,3,8,1,1.0,0.16666666666666666
