account_id,summoner_name,match_id,position,playtime,kills,deaths,assists,totalDamageDealtToChampions,totalHeal,damageSelfMitigated,visionScore,timeCCingOthers,totalDamageTaken,goldEarned,totalMinionsKilled,neutralMinionsKilled,neutralMinionsKilledEnemyJungle,totalTimeCrowdControlDealt,visionWardsBoughtInGame,wardsPlaced,wardsKilled,killsRatio,deathsRatio
vpOEx1HAPS7xoJd2YENN8PDEDWDYdlWC5DrIlc3DddPQ,은비득,4539652353,support,2400,2,7,9,9462,5388,18548,117,37,24263,9228,41,0,0,119,20,64,12,0.5238095238095238,0.1794871794871795
mxrmpTUVeqdK4-onNejjEmGuLRAQ1E0E92mDNDl_MpVJtl0,Leaner,4540487602,support,1680,7,3,13,9913,2330,7060,72,48,12357,9532,40,2,1,71,9,33,9,0.5405405405405406,0.13636363636363635
qSR4Btp_BsMkFnQ7wvxL4jUkGgF4Tnqj-JrQVrEZ4M6G,3판왕자,4534421422,support,1438,0,6,10,4619,897,11425,26,25,12499,5589,27,0,0,101,5,10,4,0.4,0.3
x5sRSwxikNYvZXQSgsEUDR6UQzLYF80WCMut-S8QtH5jouU,경상도 서폿님,4533125383,support,1658,1,7,4,3961,672,18948,48,31,17219,6015,33,0,0,305,10,24,3,0.2777777777777778,0.21212121212121213
DHWVB-6gZZzIN3jxdhwu_1t9EvNehnHm-cClHLsunWc_YqA,그랩잘못해여,4533125383,support,1658,1,0,24,7901,5362,21609,59,35,17213,8679,25,0,0,123,8,34,5,0.7575757575757576,0
czOpSqsFceGwZHmQdChNbW78tmIEKs2IbZhjO-mTXuEjodk,Kaiser Morde,4540087419,support,1347,2,6,3,3875,190,12181,37,35,11395,5956,23,0,0,177,10,19,5,0.38461538461538464,0.16666666666666666
zKFTMHsuh6qZgDJconhz6cyZCCJs2Dbup1FfoDDufdur,텐동판매원,4540087419,support,1347,1,1,16,3451,4639,4502,52,14,6490,6410,37,0,0,82,5,17,10,0.4722222222222222,0.07692307692307693
r6uoi4niWif5mKfU02b4jTtBh9jG98KkLy0iDltSyugdDAY,정승호보호자,4521070593,support,1221,2,5,5,4045,439,4035,29,9,8191,5031,2,0,0,71,6,12,2,0.3181818181818182,0.35714285714285715
rzdjOE4wHu8Cio76msIaGR8xJb1o0gkMTKzPvMeTm24P,믈브갓,4532949732,support,1330,5,1,11,7328,2638,6017,48,32,8221,8522,18,12,8,69,6,19,2,0.8888888888888888,0.14285714285714285
PKz0FxTZqbguXYCeuqRfHyv0yH9iWdp7u73j4OmbBLjZHr8,wecanwin ToT,4532949732,support,1330,0,4,3,2800,803,2209,10,3,6180,4148,24,0,0,49,2,5,1,0.42857142857142855,0.2222222222222222
gCQyXt4FAUiIPMrnGgQtwatwVPeYqTfOKGkVIqCX6nZOqYk,화가 안나는 남자,4525917747,support,1865,2,5,15,11998,9351,11696,68,29,14837,8192,44,0,0,247,5,38,9,0.6071428571428571,0.38461538461538464
HdZ01Grr2mP6ErrxSZdIMafQJEB3jNmTiSSATFc9h7bCpDs,피눈물질질흐른다,4522066279,support,1626,4,11,4,12548,6340,13175,57,19,23962,8045,21,0,0,42,3,24,10,0.5,0.3055555555555556
_XnagqaRpJhDYLddOOufKKATGCQc-7dDA0eyw2nGzJF6Mvc,Ayurveda,4522066279,support,1626,4,4,8,12900,1836,5220,59,23,14091,8881,28,12,0,48,4,25,8,0.3333333333333333,0.23529411764705882
qqYsPoqVNsti3WRBpgje7K5JVxZqKk6JtY6WG2rxbO-Wrq0,7월22일,4540236536,support,1683,0,6,6,6580,2878,3932,53,13,12310,6114,62,0,0,139,6,26,6,0.5,0.18181818181818182
FhUv0ZR4DBRxBAN07CeCYPz_7x3XSyoek-HyJ0EdL2sgBl0,영원박,4540236536,support,1683,1,0,25,9980,2823,7605,67,48,8608,8997,33,0,0,75,7,31,7,0.7878787878787878,0
9wysNbwtKnZpqJX7kDeR_N4eMpU8i1F31xR89kX1iQ2qQpJFeEcuZw1j,생모찌,4540771894,support,1986,3,1,25,13582,5405,34113,82,45,21203,10418,63,4,0,551,2,23,11,0.6829268292682927,0.04
Qd_a1OeTVLk42hLxJKpmWYw9-OdoRSjXbBdAu_A1R4FrpZDXN-55sf-Z,서폿이하윤했다,4539284851,support,1326,0,0,11,3369,890,2862,38,13,4799,6092,15,0,0,156,5,15,8,0.5789473684210527,0
QvU427wXfsGM1hx5cmH3IbcTrQ3T5k_yOyVAgPKHWnkWX_o,더이상은못해요,4539284851,support,1326,0,4,5,4813,454,5312,32,12,9191,5058,47,0,0,121,5,11,7,0.5,0.21052631578947367
W64l4yPKrivUTZVA63KV0NuAOJ6XF8Gk_Vd603j7xbBsFfuuFS8LcgjT,neowana,4509581615,support,1216,3,2,6,5204,411,2814,23,16,6904,6979,15,0,0,76,3,13,2,0.32142857142857145,0.18181818181818182
K4Htc0ru1-QvwHcFBDCoTObo33DKM3-jP5lGr3Xdjgf2,땜튜브,4535331398,support,2010,3,7,11,19511,1561,23274,91,21,20331,9456,49,0,0,234,9,45,6,0.4,0.19444444444444445
lrb7V-eAi6JK3BfPyLF9QHOL-jKGDdlxuSxpEo0JNlTbHt0,노잼시티동탄,4535331398,support,2010,1,7,17,6195,20213,10259,50,39,17500,8452,28,0,0,191,10,26,4,0.5,0.2
7CTsIPnKEZkUNIEWpCkpinmTz6w2swAoWIP2YLxou5lA2mcTADBMPNFf,워터멜론꽃꿀,4498595734,support,1604,6,6,11,13325,11162,7815,37,33,20046,9889,26,4,0,198,4,18,2,0.6071428571428571,0.2857142857142857
t5MK-LvCc4DmXo4SrGbRaaGfuSxlfvpEGLk281m14n0jKdc,정글부,4498595734,support,1604,10,7,4,24697,793,9965,46,78,13545,9527,41,0,0,364,2,15,5,0.6666666666666666,0.25
07ip8RIIGamdpX_3osc6cuH1AlOPSMEBdHQMN_T6CszmTPlDy4iscKtk,달 엔,4516123788,support,2076,8,14,11,26354,6148,21213,79,40,37856,11439,58,0,0,155,5,41,11,0.7916666666666666,0.2916666666666667
wUsqPj2YNTBw6b6fDFhElgZV86bRWh6x13TCLK3de_mH,훈이싫타,4516680344,support,1575,5,3,17,17174,12849,10220,51,44,18536,9332,17,8,4,219,3,18,8,0.5945945945945946,0.21428571428571427
JPUURGcfpX6o9G2Hu1Xqb_Gp2zAe5tHdX7Jeq5hn_Uw-mgc,버스그만좀태워라,4536830885,support,2305,2,5,10,13228,2983,12732,117,47,16718,10264,45,4,0,366,9,65,14,0.48,0.2631578947368421
