account_id,summoner_name,match_id,position,playtime,kills,deaths,assists,totalDamageDealtToChampions,totalHeal,damageSelfMitigated,visionScore,timeCCingOthers,totalDamageTaken,goldEarned,totalMinionsKilled,neutralMinionsKilled,neutralMinionsKilledEnemyJungle,totalTimeCrowdControlDealt,visionWardsBoughtInGame,wardsPlaced,wardsKilled,killsRatio,deathsRatio
qUyd7H6jPW93_CKg8nOrPtXk3Ozf75Hj5fPoYiwD1mzJ,탑똥흘러가유,4539652353,top,2400,8,10,4,26165,12705,46498,38,28,47942,15849,230,4,0,92,6,11,10,0.5714285714285714,0.2564102564102564
tnG5Zr4xW8z4D0gIINjC1BBxbkRUw9JTuwHAx4XZYTRP,뒤통수퍽치기,4540487602,top,1680,4,5,7,13844,5305,16676,16,15,23353,14162,236,16,4,66,1,4,4,0.2972972972972973,0.22727272727272727
ayxqbgJ8yW7DBBzxuyQ0w3LOsNfquq4Og0T8q442UT_ayrM,The Lucifers,4534421422,top,1438,6,2,4,9570,3042,26271,21,19,14693,10860,156,20,9,569,1,7,5,0.4,0.1
9LuPl0Xg2RvME7Kdec3dK8a-e6PzX64tio-TpXNxNM99rhwM9QFoqtha,눈굴러간다딱대,4533125383,top,1658,4,8,5,11998,4637,11647,14,22,22330,9584,125,1,0,375,1,8,2,0.5,0.24242424242424243
3Yf0iBB6-syORJdeVnLSJyhVqGkDps2qyS-9PHoOGgvoOHY,조졌으킹텀,4533125383,top,1658,14,6,5,22058,5855,18981,24,19,22989,13786,165,9,0,205,1,9,1,0.5757575757575758,0.3333333333333333
70cYAQLgMi1aUfASVOlaxsHadCHImC6dvk5MYQmgb5b8rYIeLFY922Xz,피지컬 괴물l,4540087419,top,1347,3,12,0,10431,2416,11440,8,16,20073,7822,126,0,0,59,0,5,0,0.23076923076923078,0.3333333333333333
M7exgsBpPysqRzemgmpZc680f-H-JnmQUze9KG86pXHhxhYffbo_8FUs,진 제,4540087419,top,1347,7,4,13,16982,2875,15108,11,9,16202,12072,170,8,4,54,1,7,1,0.5555555555555556,0.3076923076923077
GVbC8RMQPOjv8vn8ZwXA8M5IeKRgVrFKW-pCGvHpDqjZ4wE,냥 삐,4521070593,top,1221,7,3,2,13252,3308,7415,15,12,14332,10376,171,8,4,168,1,7,0,0.4090909090909091,0.21428571428571427
X9P1sluYLgei68S8F5sU6AT7fRyML8lSVWJyoaJaVlfg,백수가 될 사람,4532949732,top,1330,6,1,4,12755,3177,6483,16,8,10989,9253,137,4,1,243,3,8,2,0.5555555555555556,0.14285714285714285
sGEHQfP0ar4ApJKJX7HFqAS4rP1JpjVU1ycaxEW7fyiD,기도메타탑솔러,4532949732,top,1330,1,3,2,6234,2403,8958,13,6,16756,7600,136,0,0,32,3,8,2,0.42857142857142855,0.16666666666666666
WJzQW0t-_kMDDrcIIBrV4fwg_m5Wka_oFXAYRfsoB_4MvelZ0cigcWKy,창바나,4525917747,top,1865,4,2,8,21390,9450,32024,27,2,28121,13424,205,24,13,34,1,8,3,0.42857142857142855,0.15384615384615385
9QRhVZQWWvEGPR54VYMCvjSIxtIF-Ts41eCyrLXnb0V_66yR_pL5MumD,가슴이4개면4슴,4522066279,top,1626,5,4,1,16011,3209,11887,18,3,21457,9676,152,0,0,73,1,9,2,0.375,0.1111111111111111
F9IcH5EVCqR6CyanuEUzH115pvvm-doIGTBtY3P4ox7TXGQ,김영빈엉덩이점,4522066279,top,1626,6,4,7,16662,6708,10021,20,10,18883,10905,134,13,1,278,3,9,1,0.3611111111111111,0.23529411764705882
