account_id,summoner_name,match_id,position,playtime,kills,deaths,assists,totalDamageDealtToChampions,totalHeal,damageSelfMitigated,visionScore,timeCCingOthers,totalDamageTaken,goldEarned,totalMinionsKilled,neutralMinionsKilled,neutralMinionsKilledEnemyJungle,totalTimeCrowdControlDealt,visionWardsBoughtInGame,wardsPlaced,wardsKilled,killsRatio,deathsRatio
85ijSCxIVAq-ONjWEoBBYSZvXmRX5QjMHHHqprQXon1n7KI,tldi0312,4521410205,carry,1478,5,3,8,15075,193,3728,25,2,12419,9922,176,4,0,20,2,10,3,0.52,0.21428571428571427
iGCFsYW3nke9Lb-YwApV137FIvaHR3P_F9lBnLXWQQcK_Zo,연구진,4521410205,carry,1478,6,7,5,12072,3127,7614,11,3,16551,8959,122,12,0,34,0,5,2,0.8461538461538461,0.28
X9bLrXO0lG2Vx3Y314R3ahmkIiUUeQbWUlCpCWz2z7tbY-o,아기윤익,4541852695,carry,2340,14,7,8,34743,5940,12688,40,22,21124,18043,231,32,0,121,4,16,4,0.4583333333333333,0.1891891891891892
D0mFrT-FMQGGcKKUpmuwtW4sxMpoGDWJYC4cy8KVUcxX,감염실험체,4541852695,carry,2340,14,10,5,22984,4140,18633,24,33,28951,17446,232,12,4,381,1,11,4,0.5135135135135135,0.20833333333333334
U5Q53P1SnJjh8OCfek9bS6COSyFha4GwJRC1XD8j4HiN,뻘거킴,4431170068,carry,1657,6,4,4,20699,4914,9342,25,2,18925,11474,235,17,0,22,3,10,7,0.5263157894736842,0.1111111111111111
iRt5GLGtR1VdZFOZSTwJzdbZ4_Hs6lm9fxKBJQHi-umR,ADL Shooter,4533974386,carry,1484,2,8,3,11890,849,6832,9,2,13826,8182,150,0,0,120,0,7,1,0.21739130434782608,0.2222222222222222
YIVM56OroXwhDcyqX8LpLXP3unKn7BV0lQtUEAxfiqQ,행운세탁소,4486677014,carry,1238,16,2,4,19542,1856,6522,22,7,11438,12258,151,9,9,184,2,8,5,0.5882352941176471,0.25
MNCKQXDKbs0DFgevCXR1Ry26OCKGdNBQ9tDWbsJyGxAk,DWG Fox,4541656343,carry,1389,6,6,8,13326,2196,6315,10,23,15584,8788,130,7,0,121,1,6,1,0.5185185185185185,0.16666666666666666
cFHGl7EJ27wmx_-WYmMtXg2xMcGVMHbgYu6Egv7hTc8S,짜 노 구,4541656343,carry,1389,10,5,12,21535,2509,7492,8,36,18465,13967,172,20,12,779,1,2,1,0.6111111111111112,0.18518518518518517
eHXlyM2Sal3ggpGdO3bKPcwPYNMKLaZP2O_t4UkS5Sk,CJ제일제당097950,4532908723,carry,1797,2,2,7,11441,2462,6124,43,36,14763,11593,182,18,2,649,4,13,2,0.34615384615384615,0.09090909090909091
Jxwzz1ldqq52gRXXHQ08aN9tYuduB0so27nhJOVr7BlHAOY,암흑의 별 김조원,4541286938,carry,2187,13,5,11,31431,5081,12584,17,23,26498,17088,188,29,9,139,0,7,3,0.6486486486486487,0.125
tC93OZK10-SgcWZ-cBME7WK-sMELnBYMSwVKFBeFo7KOGms,맞으면 앙 기모띠,4541286938,carry,2187,7,6,13,30004,2689,8684,34,15,21999,13840,197,24,8,165,3,15,6,0.5,0.16216216216216217
6Bp-XGCn8hLQTzvLM3BOsVHDIOmnxqJ5Yvbl8TndzXx5KFw-7p_TfVym,미드갭 딱대,4538458335,carry,1731,14,9,9,34624,1535,15763,26,7,22111,14183,195,8,0,76,2,7,3,0.48936170212765956,0.375
XCUW3jAci7f7tN51Mr_koLyOIkfqKfBLci6NC-W0jRDg6ErJgWc0jUw7,인천효성고,4532284425,carry,2098,5,8,12,15533,2844,10081,31,10,24815,12540,171,14,0,163,2,12,7,0.425,0.3076923076923077
UYzV6GVdp3-YYRJMzPqSz7oQZYF6l-74GOzxZGhU4jp4Dug,진 원챔각,4532284425,carry,2098,5,6,11,23737,3570,8342,44,45,19353,13287,203,22,0,778,6,18,7,0.6153846153846154,0.15
