account_id,summoner_name,match_id,position,playtime,kills,deaths,assists,totalDamageDealtToChampions,totalHeal,damageSelfMitigated,visionScore,timeCCingOthers,totalDamageTaken,goldEarned,totalMinionsKilled,neutralMinionsKilled,neutralMinionsKilledEnemyJungle,totalTimeCrowdControlDealt,visionWardsBoughtInGame,wardsPlaced,wardsKilled,killsRatio,deathsRatio
y-vHQgxJCXHoXtDH5DVatxdat778j08IGbTgyVLkCOs_Sj7TOsNzjFcW,스웨이이,4521410205,top,1478,5,1,9,12586,2620,23000,15,29,13228,10080,161,4,4,309,2,7,2,0.56,0.07142857142857142
McUSorF7fDy6QXiwzLGyZhaLX5KveZLNSgfT6tSu6Nh3,동구별관,4521410205,top,1478,1,4,1,5423,4185,10817,22,3,16816,9489,174,8,0,65,3,8,1,0.15384615384615385,0.16
thjSxMHhOFPrSKajpMqA4N8R9dmCVUUlj_ZjEvKEvo3ik78,군대갈원이,4541852695,top,2340,11,5,9,34619,16759,30383,49,24,38964,18299,251,10,6,229,3,15,4,0.4166666666666667,0.13513513513513514
YNUFMaGxUOiCTexRy8SUwG5PMKKXtffshNqpD9O2apVG,휘릭휘릭 빠직,4541852695,top,2340,6,9,4,34790,6895,55812,33,35,43927,14660,244,4,0,161,1,13,4,0.2702702702702703,0.1875
CMThpzSnqxLwlsImyjJ_cIQrtc8N0GNh4-KK922e_ulOI8K3C0tMRyDg,바텀또지네 임병,4431170068,top,1657,5,6,2,11703,6697,17797,16,18,27407,11024,189,8,8,105,2,10,0,0.3684210526315789,0.16666666666666666
KhKHgqSFG6k0TI0DIwMpVMczQmuklroDQK0OoD2JouVfkjc,이리와혜지야,4533974386,top,1484,5,7,4,20076,5057,15688,7,37,27118,8520,127,0,0,335,3,3,1,0.391304347826087,0.19444444444444445
k1EQtN4jBKAMcj0wp-8IrKQdV27HWbk2Y74PhtbK8WtFiHM,매우화나있는상태,4486677014,top,1238,5,3,2,11137,2659,10916,7,9,15791,8777,129,9,4,51,1,4,0,0.20588235294117646,0.375
PmaSIcyVirtD67YUbyTzdaXkgbQA1oSUjh5f_5nSDSg-,현 핰,4541656343,top,1389,3,5,2,5322,2270,9874,14,9,17874,7248,124,8,0,46,3,6,2,0.18518518518518517,0.1388888888888889
OgBViNzSBwOe7PmhSu85MhqO9ktB3AG8GSXToQewbxoT,전동만,4541656343,top,1389,1,5,3,8561,1983,7697,10,15,13916,8224,136,0,0,54,0,7,0,0.1111111111111111,0.18518518518518517
AZkdcltOcWUVS4HF8sUd8f-RO2wK44JaPc_hkD1qikmiWp5Qu1ozo3cL,FriendIy,4532908723,top,1797,5,6,3,14614,5857,23514,13,5,29304,11906,208,17,8,111,3,3,1,0.3076923076923077,0.2727272727272727
YU9BOzLWT1nHK0M4SZJpeUGrtJm76QEGMPIvjRDnn_-P2yXiF9w5Is44,MNMNNMNNMNMNMM,4541286938,top,2187,10,7,7,31207,5554,49355,24,39,34248,13323,152,12,8,308,1,6,8,0.4594594594594595,0.175
Ot9OE68AaWNesFwAk-9NPy7asWrrUXzBLsJWt0fQLJBI9L4,탑솔러의싸움,4541286938,top,2187,11,8,8,33020,4099,19389,28,8,25764,15840,236,10,2,137,4,8,6,0.475,0.21621621621621623
1pSYYWSBKZEcHEBCRyFB4ayQd20a6_NmiY8KRljTDHrEMOc,NF XXXX,4538458335,top,1731,7,8,8,19524,5932,28725,21,21,26032,11169,147,3,1,62,4,11,2,0.3191489361702128,0.3333333333333333
CWd9VIGZJ0Q1TOGNWapKKtiS3bwmXVEDgpNvKXos-kEBQ4Q,경산유기농망고,4532284425,top,2098,10,3,9,25114,38283,59063,53,47,45281,13664,172,11,0,460,1,12,1,0.475,0.11538461538461539
ZwjE8KDViLIwa7vDyozjD7fzQE-bwgknDL4uwNrZD8SuRJQ,win XG,4532284425,top,2098,4,10,4,25192,5298,40291,14,39,33172,11739,189,15,0,141,0,5,2,0.3076923076923077,0.25
NITtPjq41laKgLrouQWFKsr_TQK_DrrhJrnD91WTxkMo,e공주님,4494491935,top,1920,5,10,12,31101,17058,31531,25,13,43928,12206,164,14,4,129,2,9,2,0.5151515151515151,0.17543859649122806
xCFDnBMAq947s_xC66uNlTyL-WvsFOvn8pc1R9O4wsz1pjqdglVwu11t,2020챌1300마감,4492887476,top,2071,9,13,3,15295,7010,36581,27,27,48628,13360,177,16,8,155,3,10,4,0.4,0.2708333333333333
7fuPHGqKuxE8aT1eNgP7b3qKqfSWa8Z9HelI1H0mLbMUf3Q,너구리궁디,4492887476,top,2071,21,6,6,68464,11036,10876,23,45,29153,19864,204,21,12,645,3,7,2,0.5625,0.2
MZzcbbO-w956dBaPjtK_QMy-IcN0aZtMmt-b5wqoXtT7KoymXABStI49,관짝 춤 추는티모,4495640972,top,2092,7,9,18,46771,6849,15051,20,56,33151,12377,140,8,0,433,2,10,4,0.5555555555555556,0.24324324324324326
_7Mj4VFjLBLfTfl-vNEsY6vtXdOfk4Kw39qxDVhCPnROV-UaJOxhxVRU,aaxxdd,4540380421,top,2326,9,9,11,37665,24710,67660,29,15,56010,19159,305,4,0,165,2,7,6,0.6896551724137931,0.34615384615384615
ZVZvTUdvbRgsgrKRbFCaACjEh24WexzoosRybAWIYFcwCR8,거발시비애니,4540380421,top,2326,10,6,1,30398,11749,44692,21,16,45598,17315,270,31,0,256,0,11,0,0.4230769230769231,0.20689655172413793
kDVBT7C_LJvxlkaxeawmow3vEnDp3zaHcZ9b7ek_sn_LR8w,베인손이베인이유,4537225591,top,1898,2,9,6,15359,9100,35287,17,17,33217,11228,191,5,4,152,3,7,2,0.17777777777777778,0.2727272727272727
ztB7Mi7hBDHUL6er7s_9sQtk5v6PG-eb_yCL2huU4S0E,판테온왜한건지,4537225591,top,1898,3,8,7,16352,5316,19797,10,16,32209,9892,174,4,0,30,1,2,3,0.30303030303030304,0.17777777777777778
