account_id,summoner_name,match_id,position,playtime,kills,deaths,assists,totalDamageDealtToChampions,totalHeal,damageSelfMitigated,visionScore,timeCCingOthers,totalDamageTaken,goldEarned,totalMinionsKilled,neutralMinionsKilled,neutralMinionsKilledEnemyJungle,totalTimeCrowdControlDealt,visionWardsBoughtInGame,wardsPlaced,wardsKilled,killsRatio,deathsRatio
TbG2iMSEs_lPvIHxmDa7OQ24SpeqHdIAyPh87V7CcepJuuA,똥똥이형,4529288161,carry,1235,3,6,5,10881,1558,5425,4,10,14191,7430,128,8,0,55,0,3,1,0.6666666666666666,0.16216216216216217
c8cMs_S6y8RoGwKVg2NTogik2yz-EH3R1NlFJ9rNlQejiwI,유니콘꼬리,4529288161,carry,1235,12,2,8,17090,1404,3722,7,18,8822,10573,135,6,4,36,1,7,1,0.5405405405405406,0.16666666666666666
9WBmQE-jcFeovxdY2vdz1Md6BhiqGZKmZPfq8AkraE1-YgxvKzLHT-WZ,팽수팽귄,4547763753,carry,1284,6,2,11,12530,10193,6058,18,28,12385,10475,118,8,8,100,2,8,1,0.4358974358974359,0.3333333333333333
dsk45DwavIsctDfr_HKbOonwoj0c6eC5GDgHz2tJi00,까고싶어,4547763753,carry,1284,1,12,2,8329,1375,6231,16,30,18093,5367,86,0,0,498,2,4,2,0.5,0.3076923076923077
rLfwwTuK75J4CamXKVSDlPdjM47gmtATNQdJtwhDDEo,FIRST클래스,4545083743,carry,2266,4,5,10,26976,3871,11935,37,63,22105,12634,199,16,0,926,4,9,4,0.6666666666666666,0.1724137931034483
EGdtknnhNm4_hzzaXp3c0jb9knve8pFk9br0NGoZmpU,Fukin Comedy,4545083743,carry,2266,7,3,10,28425,2838,11019,18,5,21626,12291,179,16,0,137,0,10,2,0.5862068965517241,0.14285714285714285
EnAFsSpsWNngIxlNDdgYUm9yXG7RO9TbrXSOPqSNVEfuEz-oQvEACkzJ,진이진우1,4543413063,carry,2077,16,2,7,29155,3502,16204,22,10,12570,20175,248,73,1,242,0,12,2,0.696969696969697,0.08333333333333333
hd4qGWXfx0_OkXUtpzR7-_BPcxZESC6XXz0FZ3pp0sQyT-g,마법소녀케틀,4543413063,carry,2077,6,8,7,22401,2675,10221,32,46,20914,14525,248,16,0,990,0,11,6,0.5416666666666666,0.24242424242424243
SV9mQELcRaecIU_q6Ggg50DlKwaswxXB_kgDjQTqeqkchS4,GUCCj,4515766018,carry,2277,7,14,15,34971,3958,16222,16,13,33969,15877,201,27,0,151,0,11,1,0.5789473684210527,0.23333333333333334
90kVdlHk-pEF4-ZKDjb8sCTh4IwDaQmk4J9gI0Ls9oT5,Leon0,4541771457,carry,1905,7,6,7,22385,3385,7986,18,5,19890,11866,184,12,0,48,1,8,4,0.5,0.2
kZK6lcZsSgwe77tESxc10gYEgxLdND1x7YxZIyQnjiNldL0,qkraldus,4541771457,carry,1905,1,8,7,18345,1967,9402,21,8,19261,9081,149,20,0,126,1,11,2,0.26666666666666666,0.2857142857142857
Zl6mz7fWZbNbdgnQ4D06iiSlcZVoFmNo8OJCR4eOtD0G,Deep White Eyes,4547735711,carry,2069,3,5,14,26143,4730,20021,20,28,21300,13173,215,40,5,353,3,15,2,0.6538461538461539,0.16129032258064516
Jkj0i7186AdYVPVrU_u1i8hYu03NE4AOuhCrNc7JtTqz,HitachiAuto19,4547735711,carry,2069,13,2,10,38441,4412,10846,12,17,19980,16678,236,8,0,122,0,8,1,0.7419354838709677,0.07692307692307693
xbkiWpG67g8uilMYwR7J2loGswkT2SojBbYyd_-UfhtKhxM,Luckyyme,4467763245,carry,1639,11,4,10,20645,11125,11408,27,6,21998,14830,184,44,9,85,2,10,7,0.6,0.19047619047619047
jGZS7wgd7IUhIx6-_qcxrSGLd3SeHkvncyUonwssdMrE,qkekqkek,4467763245,carry,1639,3,8,6,16010,2156,10265,18,16,20816,10485,175,19,0,272,1,8,5,0.42857142857142855,0.22857142857142856
pNZxiJL71y1iSDha_6pygSNLpIHp-NJc5ml_K5j4mfO5LO8,동글해요,4522944975,carry,1435,10,6,8,23639,1349,5908,19,8,12686,12894,159,13,3,283,1,7,3,0.4864864864864865,0.2608695652173913
81eJOjx3G8yDTWijufMZl0HQcvXznDFCL56_Qjs5BfF7XjU,ISENSE PC,4522944975,carry,1435,8,9,5,12101,1760,4663,16,4,16186,9767,136,4,0,15,4,11,0,0.5652173913043478,0.24324324324324326
48Ddr9Eg2X8pIJ_Ey4XXvgcZIkdTzwruGbLZVYDz7VrxX4BiLk3Ds8hE,아델 이렐리아,4515480857,carry,1525,3,6,4,16281,1237,8859,16,2,15113,9529,168,4,0,60,1,8,2,0.5,0.16666666666666666
