account_id,summoner_name,match_id,position,playtime,kills,deaths,assists,totalDamageDealtToChampions,totalHeal,damageSelfMitigated,visionScore,timeCCingOthers,totalDamageTaken,goldEarned,totalMinionsKilled,neutralMinionsKilled,neutralMinionsKilledEnemyJungle,totalTimeCrowdControlDealt,visionWardsBoughtInGame,wardsPlaced,wardsKilled,killsRatio,deathsRatio
Ph-octw7cgKAy2rlP2H74rvWO7gqmR7bo-A_f4P2GBUJLiw,김 망 뚱,4529288161,mid,1235,2,10,4,10264,1826,5628,24,10,15518,6704,107,0,0,21,5,11,5,0.5,0.2702702702702703
Srm2VwE5JSM6x-15Plf_cVGrv_DHq5VIwohEhNfRbzX3_4I,탈론표장작구이,4529288161,mid,1235,10,3,10,15041,4558,8261,12,15,15570,10488,109,16,4,74,2,6,0,0.5405405405405406,0.25
UCqQ75Ygidu_xf3HvWFGl7v6U_6EReHcPUErEnAZ-Eq3qbarqt7tbaY9,RPGLOL E레,4547763753,mid,1284,7,1,5,11524,3186,5079,7,10,11117,9860,159,4,0,136,0,5,0,0.3076923076923077,0.16666666666666666
GE4gRa1WFGMfw2tKLXf08H9cMKj-nyBlFcxE2sw3ZVSx,in safety,4547763753,mid,1284,1,6,1,9517,1195,4955,10,22,12514,6383,115,0,0,130,1,4,1,0.3333333333333333,0.15384615384615385
EcCwEsUim8Yj-wK04X6W9ocDW7s37tniQI9e3RhigkePHTwOxsWW8j9q,제왕의 길,4545083743,mid,2266,4,7,7,25954,12442,25006,21,25,33751,10461,149,3,3,336,0,12,1,0.5238095238095238,0.2413793103448276
4ahbIqS7DUSWBF6VDOHl_s0ey7JqznGYYyWx5dm856eL2aU,R0X smeb,4545083743,mid,2266,2,2,14,25252,9109,9860,31,36,20824,11525,194,16,4,176,5,11,6,0.5517241379310345,0.09523809523809523
juUsiRpjbvOMikaAb2SiPLr2HJ2jSPe_6WOY28Zxbul4,Foep,4543413063,mid,2077,2,3,6,11160,2483,7679,27,21,15251,11561,190,3,0,104,4,16,0,0.24242424242424243,0.125
CVC4q9yzkWDpnJE48NCmOc_EsLm9zAlkdAkSpgzy01kCxqw,hido on park,4543413063,mid,2077,5,6,3,21600,2310,16304,20,10,26393,12397,203,24,6,95,0,10,3,0.3333333333333333,0.18181818181818182
uwpYHCn8FMol7fkBFHGzzD6rPGcay3Al0fnhi4Nk_WyGki34n4STM8qJ,싸 짜,4515766018,mid,2277,8,9,2,16043,3214,20416,45,4,26705,13666,260,4,0,122,6,18,5,0.2631578947368421,0.15
M5vyNCHGmBM000Imcn1cbU3k4VuNv4I3skpu6o8txW9xiZj65HCDEQ-h,roingg,4541771457,mid,1905,9,6,6,22254,1689,14377,26,35,19846,10550,126,8,0,120,4,10,1,0.5357142857142857,0.2
qbUG0iZSor8xv7x8Lp1sdkH-nJocxULviTMmtvUegnPlQ5za0abeUr_f,ADGG,4541771457,mid,1905,5,6,10,27117,4588,56856,32,55,31057,12758,177,12,8,690,3,6,2,0.5,0.21428571428571427
DE1cAsw01VaUWdjHbSWq9fxBjy0gvlC8P5gxd1YTpoGONcU,동발련,4547735711,mid,2069,5,8,4,15897,1620,18437,24,3,22813,11271,170,6,0,59,0,15,3,0.34615384615384615,0.25806451612903225
oA7J5BYKvTRr1dPbG_qauJ4jndDyWLvYbr4s7GhkSb6g-yIYa7L3-YKh,우리집q평e평15평,4547735711,mid,2069,10,5,11,24376,7702,15020,21,24,22828,12957,150,22,2,41,2,14,4,0.6774193548387096,0.19230769230769232
3hjUgnKKekJzLek0y2OUdpi4XC1MgbnLk946MNmZXkR8yIw,나 어때 잘하지,4467763245,mid,1639,9,3,13,29179,4879,8160,27,30,13736,12559,138,12,0,71,3,12,0,0.6285714285714286,0.14285714285714285
2SzrrZrU0SybXbdZ1RWbLTpi9HVQYkmdVw1vaQi38CQ4AHMNRDjySv6n,만능혜지,4467763245,mid,1639,3,5,5,8588,882,4007,24,20,10398,7771,123,0,0,94,6,11,2,0.38095238095238093,0.14285714285714285
gld6PeEVCFXzsBrbDIYCOQ6Vu51-Z-7CAZtE-fBkApdyze0M3gmq89k9,사마귀와진딧물,4522944975,mid,1435,20,3,2,30274,1605,8399,21,8,14251,14106,155,4,4,91,3,5,5,0.5945945945945946,0.13043478260869565
nhsA8foeGojh4c93UXcZREC6arPvWl1ULEGy0AJblC_E565QO2A5V3DU,친도에,4522944975,mid,1435,3,9,4,9328,2574,8926,13,3,20934,6471,93,1,0,53,1,8,1,0.30434782608695654,0.24324324324324326
y-wV1SxQToLSzhyXZkdPPjqY2nQDKit5xuO27fqr2cE,중수키라,4515480857,mid,1525,1,8,3,12110,3570,12788,19,12,22475,7914,156,0,0,60,7,11,1,0.2857142857142857,0.2222222222222222
lcs7i44z3zDBcHoKciK2rInIUbf09GwEWFvoh_RrMg3AZIQ,내눈이안보여요,4542134272,mid,1988,5,7,2,22737,2210,11616,38,24,21489,12257,199,8,0,71,5,14,3,0.2916666666666667,0.20588235294117646
JIzNlq15aDhL0r83AUCwlkM1jqxYJ50LYKgnnywE1ZWqzMOlD9lTBas4,SKT T1 Y0J0NGD0,4548704855,mid,1332,2,3,3,5038,3026,5878,14,8,15172,6881,141,0,0,60,2,7,3,0.45454545454545453,0.16666666666666666
X1IX_KWMlV-foDm_G4r2PAvthhNJ2z6U0kJRI0N2jbx30gjIYqJeKdul,ll수박,4548683387,mid,2078,5,6,11,15021,9877,19597,14,13,32999,9941,116,4,0,194,0,6,3,0.3902439024390244,0.3333333333333333
billMT7NFN7AbuCFbL2BguCiewU6t19MOHg7rT-Raeh2mPEbsVfXyLWK,ClockAtelier,4548023719,mid,1212,3,6,3,8065,209,7350,12,24,12757,6284,98,0,0,142,0,6,3,0.5,0.17142857142857143
voD9VYFdzR7xZVwTfyGThepqn9sJIp0l1x6ULVoFCLxi8L4,미스뚱땡이,4548023719,mid,1212,9,2,5,15625,624,11274,10,4,9733,11102,153,8,4,20,2,5,2,0.4,0.16666666666666666
BbSYQ5rfNETAT_o8OIvxNEsXpwuBe5wYZv0aER6SpynE,팀운글러먹었네,4523076307,mid,1348,12,1,3,16320,2748,6278,30,4,12730,10719,122,6,4,75,4,15,9,0.5555555555555556,0.14285714285714285
xYAzShgS2hWSAAGvTxcUcn9wD0L5K9ElFzesr4oLWmnO,JustLlikeAMoive,4523076307,mid,1348,2,2,1,10084,918,9693,13,23,9048,6454,126,4,0,242,0,7,1,0.42857142857142855,0.07407407407407407
qjUNCNv1T4VTbx_B8XHUMCg3czqcCbchAahgWuRI3IjrLfo,강력한 자석,4503543622,mid,2091,8,7,7,19060,4680,28080,21,17,23796,15758,206,48,20,138,1,10,0,0.6521739130434783,0.2692307692307692
uCVZfzr7pDiobjsGaA4lxW37azOyoHhnbQltZGxstMLwg0g,수성구딱새우,4503543622,mid,2091,10,3,7,31597,1790,14368,22,30,17963,14372,228,24,0,328,0,8,5,0.68,0.13043478260869565
fSppCnnAI33oX6CLpUJ6E66fovr4G4gK02ibvGutdUXm,도란의 와드,4548039430,mid,2031,11,9,11,24813,3551,37831,31,24,29725,13758,133,4,0,301,2,12,3,0.7586206896551724,0.1875
doSitWU2TXsoWKwXBWgJLfpURosh7DrZ_ySJs-GjMjVyqEA,주고받고,4547110857,mid,1725,16,5,3,31498,5644,17037,8,154,26537,15845,179,28,4,401,0,5,0,0.6785714285714286,0.17857142857142858
SbpkQ5Js3tNbnEHI-7770hvUmfK_2UyFvqYhUF9HlrINtbyBkKomEEnH,명문전자공고,4547110857,mid,1725,0,11,4,10093,1709,15856,13,10,19449,8241,166,6,0,96,0,9,0,0.14285714285714285,0.39285714285714285
g3jv2z61QIbFo-h9-VnlF2I-5uR0AaMg_ByJWKORqYluXns2A_Is8ke2,척추꺾인할매,4542765264,mid,1978,4,5,3,21148,5723,14917,25,35,22746,11037,170,20,0,303,5,15,3,0.3333333333333333,0.22727272727272727
h_V85v4NrCIb1rfgINSPpDe94PS1K061aNEZWYH-2u4v,핑크색쭈쭈바,4542765264,mid,1978,8,6,4,28825,2921,16415,30,9,24340,12796,186,17,4,141,2,3,14,0.5454545454545454,0.2857142857142857
kPOvmV9kjfVoOtz4yBCGA7Ntqa-4il-N80k0Vwo9vKBmWnA,AP Mania,4548791524,mid,1650,8,4,3,11946,3553,12353,33,11,22053,10911,148,0,0,138,2,14,6,0.5789473684210527,0.12903225806451613
