account_id,summoner_name,match_id,position,playtime,kills,deaths,assists,totalDamageDealtToChampions,totalHeal,damageSelfMitigated,visionScore,timeCCingOthers,totalDamageTaken,goldEarned,totalMinionsKilled,neutralMinionsKilled,neutralMinionsKilledEnemyJungle,totalTimeCrowdControlDealt,visionWardsBoughtInGame,wardsPlaced,wardsKilled,killsRatio,deathsRatio
WsLZ8bRVQ7djOlID54P4urVC6yUqUn3l_8eIG22iwgkLaMQ,김다현 보고싶다,4547215720,carry,1840,5,4,7,24554,4120,17568,17,9,18723,13480,239,4,0,381,2,8,6,0.34285714285714286,0.2
R0lFeZLBUr2ixHgcEQHTKJPcjzTYEk3ymqO7KaXLEpz_,happy every dy,4547215720,carry,1840,2,5,6,22401,3169,9502,23,23,19555,11539,259,4,0,78,2,12,3,0.4,0.14285714285714285
Caq6uXuZg-tyi72Y4vjvcFOdfLbX74ejXhWAlC4VwvINCHO9aM-FV1Rt,HUYA1SEHUN,4519662268,carry,2350,13,7,5,46899,4615,13822,18,4,30425,18690,262,34,0,68,1,11,2,0.6206896551724138,0.1590909090909091
0qrO3JVerOCzhrHipqpl_WR6dmx2wwdy3qXQgO87wE7Nq3F2LfAYbseC,빙결 천국,4519662268,carry,2350,10,8,14,30435,6297,10367,49,55,30113,17059,227,29,8,753,1,12,10,0.5454545454545454,0.27586206896551724
bm49DWDNW0-ICIOIqD9_K_atZSYbyKZ5rSWu_l29Vq87gSsB5Uyg5qAE,baby   ye,4544442637,carry,1911,6,6,6,21179,5810,10351,18,0,21077,13953,230,30,1,15,1,10,4,0.42857142857142855,0.17142857142857143
zatAccgJH3-WnSrRYyxol3ML2G-k74BkNcN2IYXEMKQe8pNG2FcFQZ4_,WOWWWWWWWWWWWWWV,4544442637,carry,1911,8,3,11,51175,4446,14551,13,31,19696,17786,279,12,0,102,0,5,3,0.5428571428571428,0.10714285714285714
5kkFUnDEv0IF6ap7rDQvb9ruhwuILOXZpbs8ot09hAPclKM,Cr4zy moving,4548580676,carry,1609,4,6,8,17873,2283,6599,22,52,14401,11898,221,15,4,760,1,9,8,0.631578947368421,0.2222222222222222
pubFVCEgL22OYizMoVU47a8MNlu5n6SMgu6jbcHj69oVRc0OzBtYbj04,누누슴,4493694633,carry,1252,1,1,1,2771,658,4508,12,0,3586,7645,180,0,0,17,2,7,0,0.15384615384615385,0.0625
lUsWOe7PKH0Wk0iTaXW4XLelBWXgcM_VjiCj2y_Tc7I,obsequious,4493694633,carry,1252,1,3,3,4204,882,2861,21,24,6564,7492,177,0,0,389,2,7,4,0.25,0.23076923076923078
p6VdhU1x0hy1M-b-iyuCa4uOwXG3moTfjiYkXnCNtJ-VXgQGj0_AGuFS,huang jia lu,4547862966,carry,1541,7,6,3,13367,2568,8564,13,14,15859,10561,144,3,0,42,1,9,3,0.5882352941176471,0.24
