account_id,summoner_name,match_id,position,playtime,kills,deaths,assists,totalDamageDealtToChampions,totalHeal,damageSelfMitigated,visionScore,timeCCingOthers,totalDamageTaken,goldEarned,totalMinionsKilled,neutralMinionsKilled,neutralMinionsKilledEnemyJungle,totalTimeCrowdControlDealt,visionWardsBoughtInGame,wardsPlaced,wardsKilled,killsRatio,deathsRatio
NY2ozRNxcEHLTb7-SOjConU-u022x32-snEHiWxD4hflj0c,브랜드하는사람,4547215720,support,1840,2,4,16,8549,3317,33012,62,32,20888,8901,42,0,0,84,5,27,9,0.5142857142857142,0.2
jrObnJ6YrWZ0eYVjDlxlgXjB6SBZFXzD0RV1UqcOnMNW,리헨즈케리아승민,4547215720,support,1840,6,9,6,12420,2324,12232,62,20,23396,9390,38,7,0,59,3,31,8,0.6,0.2571428571428571
xEJ8aBnyItmrG4isI67G_T8QobWNFZn9EhMNIYK6TcJbQcQ,롤오브레전드1238,4519662268,support,2350,1,8,14,8393,14521,46087,104,48,34748,8432,44,0,0,100,20,52,22,0.5172413793103449,0.18181818181818182
Ki-4MNqGJZScU04Gu2vOrqLjCdQ50Ymvw_1lDONp2uXwRl0,메이롤,4519662268,support,2350,3,7,29,12876,21987,17263,106,56,22724,11726,22,0,0,247,9,51,18,0.7272727272727273,0.2413793103448276
bcs_dHtgTQ2eyyGzfAVN3o8J5gC8DQp884PSrz77_gt-O80,mingjiao,4544442637,support,1911,3,9,12,6063,2945,30199,60,23,25973,8703,35,4,0,163,7,41,2,0.5357142857142857,0.2571428571428571
a5bBA9a3kfEYyysNBR32z5FEFgroXZocKNL5NPvwciA,킹의듀얼,4544442637,support,1911,2,8,15,11190,1131,11091,65,52,12546,8794,22,0,0,284,5,33,7,0.4857142857142857,0.2857142857142857
1QtavZsHvL2bGuXQqy26KJi7HivJGL3LI_D3rXhzIKlI,B1g Dior,4548580676,support,1609,5,6,6,10572,3491,10053,99,21,17807,7853,41,6,0,93,5,50,21,0.5789473684210527,0.2222222222222222
t2ox3C-56lmFM_iCOilzs5CXC5tMVTB6qvnDLBOe5Zs-,약 빰,4493694633,support,1252,1,3,4,3258,273,2639,35,20,4272,4756,28,0,0,119,5,14,6,0.38461538461538464,0.1875
fqv3t0OqSX2oXeaMA0bidwIK8euc4ZbizxZdSSXoJdw8,박성은,4493694633,support,1252,0,2,5,2639,1735,5031,59,17,6065,4955,38,0,0,112,9,37,7,0.3125,0.15384615384615385
NCPzMRF5zy-I8GuI9m7lTW9kdaJMteFB1VMWhnJhw-UM,탐 피,4547862966,support,1541,3,7,10,4221,2835,7979,69,20,16810,8148,49,1,0,75,7,37,20,0.7647058823529411,0.28
vR61Hw2e8F6N4zQSylk5qzxAQh_90-5KLBevMDQMGOJVP84,인 키,4547862966,support,1541,2,4,13,6090,2710,14463,69,22,9538,8004,44,0,0,110,8,44,16,0.6,0.23529411764705882
EVYjqYWpX9DPjbICnz5yF2YH311FP2JUpL7NhkEjjP-Tjhw,feviknight,4537133725,support,1620,0,2,24,9367,11926,9960,83,31,14189,8665,49,3,0,186,5,38,12,0.8,0.13333333333333333
Mghpgtija_yE35pJXMwwgL18OyNjuCq4bTcdl2GLXku20BE,haahaahahaha,4537133725,support,1620,1,8,12,8265,0,15159,52,33,19144,6875,25,0,0,121,11,26,5,0.8666666666666667,0.26666666666666666
oVvOhZnnkMFKQtOEOmckK8fqXg_R9ed4aEJ47Vl5BG8MWEfpZdMRS9F9,Lefuhuang sanpan,4547711167,support,1630,4,6,11,14761,124,9782,61,46,13143,8835,34,0,0,213,8,31,6,0.5357142857142857,0.1875
pNOrfGY8SV9KO87hhwCkqEZ4vPjLykcFqS6ewrxoUFa3OWEa-qC8oD1a,Yodle,4542918190,support,1313,0,3,10,3729,1520,5567,30,18,9550,5788,30,0,0,111,7,21,3,0.7692307692307693,0.14285714285714285
vkOpW9_jl4s0Lyab0PCntX5X5lgbmq85bk4uzE1u6ZedtbFeypmfouCT,민 호,4542918190,support,1313,2,3,15,10173,7907,5165,54,25,9571,7819,14,12,0,128,2,18,8,0.8095238095238095,0.23076923076923078
_-jyDvWO65aP6fr6BVaIZ4kXmQBhCsE4IE_idAq_jYcdq3SI9jGOhgvM,mriews,4548573139,support,1412,1,7,3,7525,168,17779,49,22,20378,5208,35,0,0,81,10,25,7,0.26666666666666666,0.2916666666666667
o1_ht6MvkvnCk4I5wNi1lbX2kMlBBJ_V0e_IHWWlIxlG,다음속박은너야,4548573139,support,1412,2,6,9,10726,2017,7075,58,44,10547,6571,15,1,0,166,5,27,10,0.4583333333333333,0.4
4Wmdy4NZ913zMr_IThJeBS4hhgouo3B3di99pgoe1QlIVg849UtBe1ee,03 SPT ,4547279182,support,1490,1,6,5,5895,723,15940,52,12,16072,6287,41,8,0,64,11,22,19,0.5454545454545454,0.1935483870967742
4gpUs_ts3tV_opbuk55L8u37v39OSe6VwzGC34LuPAs9HnI,트위치 예르차니,4548624376,support,1528,1,4,11,11111,2118,5732,67,30,12248,6936,33,4,0,43,5,31,9,0.4444444444444444,0.2
fAlUJshrJqY0LS_6S3CWRpMAdb70PARofNC2q0JRRmKhg1_UFm3v1LUj,lilllillllllllll,4548624376,support,1528,1,6,10,4375,638,16586,38,27,14326,5764,30,0,0,37,5,17,4,0.55,0.2222222222222222
5Mqttn0UlKTg99QB9QQhiYf14rxd4rxJyij3hwnomfBD,Code 사부,4547509823,support,2083,0,5,11,7433,14615,8573,86,35,15321,8814,30,0,0,147,12,46,13,0.44,0.1388888888888889
P0Vc-_PcQNfBdXh1dG8ctfdv6mRe-guhdJt355ZgynkTC5c,연초보,4546987898,support,1710,2,6,18,6070,7544,20806,67,44,18392,8050,30,0,0,390,14,36,12,0.6060606060606061,0.16216216216216217
lKuTuvogFwrzKoPbz9TgvraUqILV6UI6lckbDyVGoONrneZWsk657z_0,유현초 오승범,4546987898,support,1710,2,5,19,13837,4008,9780,75,33,14869,8390,30,0,0,235,10,32,10,0.5675675675675675,0.15151515151515152
o2YsDSjj8KioxWDknj63nDqAs2dQxL2ckJ53phHeMao48LU,Gen G Neat,4507145974,support,1452,2,4,8,4989,3271,7926,69,21,10134,6308,29,0,0,97,9,37,9,0.5555555555555556,0.2
EhxsbI2F6DNm-PY-ZiCE3Z12VgB9VE_dDQz-vkoR6_BX,TML SUN,4507145974,support,1452,0,3,12,2423,6339,11876,33,18,9748,5951,28,0,0,67,10,22,7,0.6,0.16666666666666666
7QnGBe57dMOsrFEYfeF9QidZtLvehEqrB2-3NChvT0AN,Saint Ahn,4523227532,support,1841,3,7,19,10074,3165,25457,68,43,23978,9786,45,1,1,321,16,41,7,0.5789473684210527,0.1794871794871795
xEJ8aBnyItmrG4isI67G_T8QobWNFZn9EhMNIYK6TcJbQcQ,트위치 세에욱,4523227532,support,1841,1,6,25,8961,9567,40136,65,53,26816,8055,30,0,0,94,6,29,6,0.6842105263157895,0.15789473684210525
LhpyvjDYNUQkjWVQZ7N2TGo_Mbn-J1rGyKoTyilJn0uX1UFHr_iu9_Zp,dy2324526,4547458966,support,1853,2,3,14,12449,4282,16742,59,25,12788,8245,19,0,0,86,8,33,12,0.64,0.075
YQalxrJDKMzm79ou48YdZBRSOGOI2C-iM_rIQa4Y-hLBqbM,심석의 미드,4547458966,support,1853,5,6,3,6296,3347,10110,108,17,16386,10552,54,6,0,86,6,36,25,0.2,0.24
CCJYUYlwswvKutVuvwYs3x1nAHkEelF7cmQkGyyGMs91,god jeong,4498607210,support,1299,1,6,19,5932,1365,15278,46,31,13154,6023,22,0,0,95,11,30,4,0.8,0.17647058823529413
jBqxroZKaQgmEYFkeebudGYxg0tR3oJUamk-LBplC3BYOTfjs9HrVGmA,창우는 도구예요,4544076603,support,1683,2,5,8,9122,1650,9301,53,16,12216,7006,18,0,0,204,3,24,6,0.5882352941176471,0.16666666666666666
janACBFSNHTN_GNzgKKqyrMm4jQkLp5lS6ajWdFu2eCV4vM,그저 윤성갓,4544076603,support,1683,1,4,13,4705,1733,17937,61,31,12419,7378,26,0,0,166,9,31,2,0.4666666666666667,0.23529411764705882
tJ6rzBiI3DGgvi0066Py5JBfpAvmx9YUEvHYm8P2X5oarMn9cNqdJ9BJ,노틸이네,4511957640,support,1227,2,5,8,3824,4797,7388,41,16,9386,5413,22,0,0,93,5,23,3,0.43478260869565216,0.35714285714285715
ZQmeoV97jgUl2brvgHgyNONFp34PO7zySkCBSwWuroOgPYZmDYHpdtoG,who is sinner,4511957640,support,1227,0,4,6,3568,0,5633,33,17,9706,4750,20,0,0,57,8,23,2,0.42857142857142855,0.17391304347826086
7QnGBe57dMOsrFEYfeF9QidZtLvehEqrB2-3NChvT0AN,Saint Ahn,4547111796,support,1716,2,6,18,10657,3309,27125,42,47,21790,8573,21,0,0,181,7,28,0,0.6451612903225806,0.2222222222222222
QYYaSG0BooZ8S--pHdhEXhh2QkSMZlGTdMww-wyvFP33,뇽뇽냥,4528783607,support,1522,1,1,12,8045,2732,5639,81,19,9132,7365,24,0,0,127,12,46,12,0.5416666666666666,0.045454545454545456
W95VxFCMi0gYe9j4GS637hf360Op7oZxdSE3wv0YKRfM,jerrrrrrry ,4528783607,support,1522,2,2,6,4894,4590,11479,62,15,13652,6539,35,4,0,163,7,25,10,0.36363636363636365,0.08333333333333333
NrrOHvR2pxYo_9zAkhX5ItsW9khhjluYZghm2U2sYfJD3V0,양호선생님 케넨,4544570911,support,1705,3,3,21,17272,3937,8901,91,20,13685,10386,64,4,0,25,5,42,11,0.6,0.13636363636363635
hJLyrab687YoXFd3peu1PgOFgeev1ndfsYnw3kP_jzogae56Ct_TH_JH,티모의 인간극장,4544570911,support,1705,0,7,5,7100,15187,7457,24,17,11054,5925,5,0,0,41,5,14,4,0.22727272727272727,0.175
Pkq5wLueSL5YC9VKCYXE1d5fYyIYVA_TGvz_cNnV83ognND4WDXKeIOG,소환사의진,4544474276,support,1379,0,10,3,4371,71,3998,31,6,11476,4373,12,0,0,57,3,11,5,0.375,0.38461538461538464
hbqhzP97qHhW1C1MnPvlPX1m06bc0SRWfTcf4A1RyDaw,정화좋아,4546014672,support,1903,3,6,21,9538,3172,20048,76,48,15148,9433,28,0,0,116,5,41,6,0.8571428571428571,0.2608695652173913
HHxN7fqmeoevfAJ4GybkSiBXJUCeVxDBqRnye7PYFISC,모스트안하면박음,4545947978,support,1712,0,4,10,7206,3639,10395,74,16,14594,6892,34,0,0,127,15,47,6,0.43478260869565216,0.17391304347826086
IVexs9ZFaiyKcUkRFEIRukW34W_UiPCEf9Fao2ae65x-MUk,준서 OvO,4528948724,support,1328,2,4,14,5028,1316,7423,47,29,9441,6574,37,0,0,93,7,19,7,0.7619047619047619,0.4
XdNDQX4uWDqKUQs-LjlAyN4Tevff2SXDJ0jO7HGTBVCN-RE,오브젝트싸개,4528948724,support,1328,1,6,2,3881,234,8344,37,20,10557,4628,23,0,0,59,7,21,3,0.3,0.2857142857142857
9iXkPj9YcHC1G7Qj9i0pubPU6iK5DssP_pqKZCU8ic3M,협곡불지르는사람,4547540304,support,1744,5,3,9,12703,429,4118,55,31,10046,9710,12,0,0,259,3,28,5,0.5384615384615384,0.16666666666666666
7JfLLDL_dSBytoavV3UYAxe9PdffW2qf8uRHWymehpU-cBs,조의 영역1,4547540304,support,1744,1,9,6,6179,1829,8498,78,12,16268,6530,33,1,0,170,14,39,15,0.3888888888888889,0.34615384615384615
k7blW8zPqXxV4Gi-mxL5Ox3ekJsZgRbDm27WSXcZrpmkfO1UgRSTVaaF,놓치다sy,4526989153,support,1668,2,6,8,5803,335,20115,54,42,13521,6736,27,0,0,202,13,41,5,0.6666666666666666,0.25
jBqxroZKaQgmEYFkeebudGYxg0tR3oJUamk-LBplC3BYOTfjs9HrVGmA,창우는 도구예요,4548008218,support,1567,6,8,8,11962,2176,10178,50,19,20195,9232,49,0,0,78,5,23,11,0.5384615384615384,0.20512820512820512
Gj-WZcBwxrkqeACtdmgj25x4WylrkVq1MZLsGA6T-fZC,부들바들보들바드,4531102262,support,1618,0,2,13,4620,2813,14006,68,25,12471,7400,43,0,0,105,7,27,10,0.4482758620689655,0.13333333333333333
sCzaLwFoXfcAjJytxbgYPWQiY1Ead-MrAr1cIfBardTS7d8,흑 당 혐 오 자,4531102262,support,1618,2,5,8,9321,4826,8732,60,36,15032,6503,29,0,0,162,8,37,7,0.7142857142857143,0.1724137931034483
66o5le-tf71yFujYK6XvC_faWy_h8CmF9PI8BoTGL_wB,질판감정소모안함,4537560254,support,1805,7,8,15,28891,3520,10064,47,58,23911,9716,23,0,0,201,12,29,9,0.55,0.19047619047619047
