account_id,summoner_name,match_id,position,playtime,kills,deaths,assists,totalDamageDealtToChampions,totalHeal,damageSelfMitigated,visionScore,timeCCingOthers,totalDamageTaken,goldEarned,totalMinionsKilled,neutralMinionsKilled,neutralMinionsKilledEnemyJungle,totalTimeCrowdControlDealt,visionWardsBoughtInGame,wardsPlaced,wardsKilled,killsRatio,deathsRatio
yrUwWjL-I20Fk6zEfxWQ4hBNoj83Hb3kS0STzdt1t34K_hPUZn86a81F,QvQkimoji,4547215720,top,1840,8,7,6,22633,11541,26315,17,12,34514,13820,215,8,0,357,2,11,0,0.4,0.35
Dy1QT9oLYIoPJmr7MRdsp53LkVqUTQOvXPYjdjRnyju2,kim 돌돌,4547215720,top,1840,3,8,5,27220,2507,16267,20,12,23561,12329,227,4,0,161,2,11,2,0.4,0.22857142857142856
kjP13PeWZ9mfsKdZ2j4rRo6fWDtljVp-WdtLC74pzbebPts,쪼 수,4519662268,top,2350,1,9,9,12387,8357,30653,37,8,37123,9684,143,0,0,313,4,11,8,0.3448275862068966,0.20454545454545456
sBUMrF2GeciJlldxm14MJlArGTlaMczj9t3k30SNyN56uwTrMrAxQzTL,0096,4519662268,top,2350,12,6,15,40488,18265,53266,21,35,60385,18033,250,14,2,87,1,5,11,0.6136363636363636,0.20689655172413793
bzSVSfp8ek2vU-Hl4fUwzKD8BTPKouzCSoBPIB_yuV9_BMA,빛이나는 탑솔러,4544442637,top,1911,7,6,5,14773,8684,93092,22,32,46042,12720,200,0,0,620,4,9,3,0.42857142857142855,0.17142857142857143
RtF1G4CQvMWYoWg1v9sbmrniWouCu9u48ccU9gRJ6ipGSis,좀 서,4544442637,top,1911,4,8,8,20419,2849,11934,40,6,19964,11371,162,12,0,128,4,8,12,0.34285714285714286,0.2857142857142857
Oqw-wiNPkLsDS3RoIpOIU75X_TjOtJH3j0RtI_6gL4Oj_fw0Evi8r2ur,IMP TOPKING ,4548580676,top,1609,1,8,4,6416,3687,13193,14,13,22222,9489,197,4,0,83,0,8,1,0.2631578947368421,0.2962962962962963
eHnixejmROMDTHwWWNxTtNP9Ymg_vaqCGZSukOj4bj2zrBQ,11월 손11,4493694633,top,1252,0,7,0,7233,1919,14340,9,2,14465,5854,121,4,0,26,1,5,1,0,0.4375
DjRMAyKAvzomnGsq-DFTiLES0XsPJekX44WS0ghlkCsK_u4,채팅안치는탑,4493694633,top,1252,10,1,1,14197,2521,8893,11,8,15257,10042,155,4,0,46,0,5,2,0.6875,0.07692307692307693
J5MzRoCy6DQ8J4X5mXr7TQXJu0jIpMAFeV9NupyZH87U_Vc,ax master,4547862966,top,1541,0,4,1,6248,1594,11360,4,12,15609,7962,172,0,0,50,0,3,0,0.058823529411764705,0.16
i4bO9MIRxDsVIX5oVjliOz_eiJbwmfB_ivG5L0F_l0DxO6g,쓰레기게임삭제함,4547862966,top,1541,6,2,6,9656,1277,13263,23,16,13928,11463,183,20,4,154,3,10,2,0.48,0.11764705882352941
liXxWB_XTZdiS1_L9EV-_KnFJ6Z7zS8K28KodmhFLMbCueAE8eDMHApN,어리버리 팽수,4537133725,top,1620,9,4,7,18970,7176,13598,19,5,22633,12340,162,12,0,158,4,8,2,0.5333333333333333,0.26666666666666666
q71VC5CGMy0NCBox3e1MFMNWc05LtGCjEmipw_oGKknI,태규리,4537133725,top,1620,2,4,5,7627,2705,15575,21,12,23231,9367,170,4,0,51,1,8,1,0.4666666666666667,0.13333333333333333
VV5qSkXaXXR-NJQkOjWTBvy1zhr5NJa7lxZ5J4mq5Zl-m5nqyZYBN8C4,Twitch Joyul,4547711167,top,1630,4,3,5,16551,2750,24793,14,32,17325,9366,162,5,5,467,3,5,3,0.32142857142857145,0.09375
hio7U0TaGwddL8tv9BNHOTpTxTDk6PfWewBXPQiAxmrC0T11nusKTf7U,기본아이콘,4542918190,top,1313,1,2,4,5071,2009,8110,12,4,11300,8815,163,4,4,64,1,8,2,0.38461538461538464,0.09523809523809523
NbUqPFyvjBASMv5P2VbGmtioNemJYwqL0BoiVkupBDGuvuNN4U2VUR4_,철괴로다버팀,4542918190,top,1313,3,0,1,5369,3038,6167,18,8,8776,8000,161,0,0,110,2,8,2,0.19047619047619047,0
w1v2b2LAFa-51uzPxib2jQwyR4060TFlPR_vKHBHbUikrc5dGwtQQd-d,BBGGGGBB,4548573139,top,1412,8,7,2,13511,3108,11484,6,8,22079,8927,115,0,0,51,0,5,1,0.6666666666666666,0.2916666666666667
