account_id,summoner_name,match_id,position,playtime,kills,deaths,assists,totalDamageDealtToChampions,totalHeal,damageSelfMitigated,visionScore,timeCCingOthers,totalDamageTaken,goldEarned,totalMinionsKilled,neutralMinionsKilled,neutralMinionsKilledEnemyJungle,totalTimeCrowdControlDealt,visionWardsBoughtInGame,wardsPlaced,wardsKilled,killsRatio,deathsRatio
qasTd4p3Qsem2z1_hhOiwDxrxQ--Ayw82ovYkRyEATTa,wrecker,4548692380,mid,1930,2,6,6,16518,2505,8533,15,29,18261,9999,200,4,0,272,0,9,2,0.6666666666666666,0.2608695652173913
6cCSbSa4T7L9wgI_V0yNPbPqiqm4Fivtf4Fe-xRQBxZWLQQ,yi qiang,4548692380,mid,1930,8,0,4,12068,7993,6309,36,15,13368,18107,287,36,0,130,3,13,5,0.5217391304347826,0
qQyYhQWFIusK5LvzZaJIqv-B0lo9d4BZ9_Q9CQhLCREA,Rexos,4544493008,mid,2258,7,9,6,25841,14409,28784,24,31,40760,15880,229,41,21,606,2,11,3,0.43333333333333335,0.2
6Up6el7yx5fGkA-jZU2A1vkQp3yTEssnxUAl3zcjuH5YDlSOwYYmzUQA,공격법,4544493008,mid,2258,11,10,8,27004,6105,36476,25,19,37451,14557,175,23,0,210,2,12,2,0.4318181818181818,0.3333333333333333
2DSPVMz9bR7IPFuQD7b2uyjuyX_phITIut--qGjRquG3,EmperorM,4547828866,mid,1539,7,12,8,16545,587,6694,13,16,20437,10214,137,4,1,198,2,8,1,0.5357142857142857,0.27906976744186046
bq3T_b2pk_rHL4_5LAIgsrWE3BBIFuT6qXOt5UD2Q13EEFbp9nriGnqy,지민아 너랑,4544185742,mid,1883,8,4,11,19004,8732,16488,24,31,24700,11664,96,32,16,185,1,10,4,0.4523809523809524,0.21052631578947367
uf9AScgAvAJM3yy-jl94YShQkPOfZ_rO2FMoOzCjuoKD,캐지s,4544185742,mid,1883,4,8,4,17551,2583,10369,13,28,31103,9489,169,3,0,275,3,8,1,0.42105263157894735,0.19047619047619047
cUQENk3RgqNISovUTiJbs9dhQaFTChulAHDwknlB3V2q-A3HXN8HhlL1,PipiPupu,4541495340,mid,2382,7,6,11,31242,7930,15660,32,24,28144,13604,142,8,0,62,3,8,6,0.391304347826087,0.12244897959183673
b0LqZJj0iSAbDwJwB_6IsAPOs3Lt8I714t9Bp5jhFesz-VLRpJMgXeRP,웃으면서겜하귀,4546903145,mid,1455,5,8,3,12851,2312,9237,11,11,20514,8648,123,0,0,135,2,5,1,0.34782608695652173,0.36363636363636365
_5oMVvRi5Z-fuHZc6o5PEV655LEFl2jLSwx_OBCrrB2DGkI,어딜가쉬나,4540087419,mid,1347,3,8,2,10320,1237,5302,13,11,15736,6846,112,4,0,267,3,9,0,0.38461538461538464,0.2222222222222222
JrO6hAny_stfGqxosnuB5tfZev3PeTLM1UPG0BCZ2wZD,밍땃쥐미,4540087419,mid,1347,16,2,4,19737,3276,6258,28,2,12271,12863,166,19,15,104,4,7,6,0.5555555555555556,0.15384615384615385
o4edS-Q7HCIF3HuyQF0ep76YMo48lcUReT1nU6-Agv5_,렝건모,4521070593,mid,1221,3,2,4,6490,2504,3801,24,4,8970,7626,125,4,0,49,4,5,5,0.3181818181818182,0.14285714285714285
FLl4LHXTtuOOpgRNl54gN6fsRNePfPMwH4T597eXFYsuhGw,여고생 쨈지,4548648191,mid,1710,7,7,5,18323,6334,17025,17,7,30438,10538,170,4,0,175,2,7,4,0.75,0.1891891891891892
DgF3YqyuE0SGB26QFBHUETkuLs4wIx8wTqyWRNbEkH0Grws,캐리받는미드,4548648191,mid,1710,11,4,12,19442,406,31928,23,27,17282,11549,107,12,0,77,5,8,3,0.6216216216216216,0.25
yBm3e8pfvzebJRWEjhl-ntOd7wf7KjjdPkwVUidokSU5,MNHJ,4525917747,mid,1865,8,2,7,21687,9599,30405,30,27,29051,14802,212,27,13,103,5,10,4,0.5357142857142857,0.15384615384615385
IWAmPDFIObv5MVQirJdE09z49WGl5aO7MJxW7XqKZAXU,롤보다 롤토잘함,4548268079,mid,2160,4,5,6,21700,6938,17619,22,23,27220,12769,189,12,0,360,6,10,3,0.29411764705882354,0.19230769230769232
