account_id,summoner_name,match_id,position,playtime,kills,deaths,assists,totalDamageDealtToChampions,totalHeal,damageSelfMitigated,visionScore,timeCCingOthers,totalDamageTaken,goldEarned,totalMinionsKilled,neutralMinionsKilled,neutralMinionsKilledEnemyJungle,totalTimeCrowdControlDealt,visionWardsBoughtInGame,wardsPlaced,wardsKilled,killsRatio,deathsRatio
tJC0m2wmf7acDFJMQ2AZYAi0fRNdHVPkiFxHvYAyB3Lo,장미의환상,4378814870,jungle,1444,1,5,4,5436,5282,19575,18,23,17481,7462,13,102,18,468,1,6,2,0.15151515151515152,0.2777777777777778
Cn6t3-ljIbm4upSso_0Zhzf7blE8IOBifbnqnMDQQ3i826UyYm3DQHui,레드하마,4378814870,jungle,1444,4,4,4,9457,6637,16950,8,12,28674,8934,53,89,0,134,0,6,0,0.4444444444444444,0.12121212121212122
NIbHOBbRslNbF-EazPzrXNOZRoNEMD9BKgkSlO-q0VE-,토이치,4506228464,jungle,1561,5,4,12,10453,9300,10530,36,36,19024,10628,37,87,12,258,2,9,7,0.5151515151515151,0.21052631578947367
wDbsC8yftr3F9GkHsMzpQiR-Wa-M3qsVbPWTE8HFkPY5,정남이형님,4457193594,jungle,2649,7,4,16,41668,26645,39014,45,4,47061,16872,93,195,25,223,4,10,7,0.5227272727272727,0.17391304347826086
rodpwzrLQQmnhYsXIWguLopNa0sfAHYisIXpnUSuG0PJSRgpb1oGFtgi,니 상상에 맡길게,4457193594,jungle,2649,4,11,7,13214,9309,36603,41,18,45616,12015,38,117,4,444,6,18,4,0.4782608695652174,0.25
xTFDIDXLGQe3TyyqXgaYSGw3rIkoWlwLxFDHZBmJhEEEt-E,던둥이,4544218134,jungle,2902,4,12,15,15372,10367,70075,32,34,49665,13615,54,108,0,687,0,10,8,0.5757575757575758,0.27906976744186046
BOjc6p5kqCWxn_JwkUxm_mldrQAhp01MrQe17D9q1LUZMGk,Whithler,4544218134,jungle,2902,12,5,17,51509,31205,18925,36,9,42102,19512,75,222,8,233,0,13,3,0.6744186046511628,0.14705882352941177
pmztftbsxi6EWhIAdrHOzEQtzsUK8LDYwS5NmhhgBKrAe9kHasOiv1wK,따블에스,4384335150,jungle,1987,6,4,5,17500,11478,18767,21,4,27226,11319,44,120,4,204,3,5,3,0.5789473684210527,0.3333333333333333
yCRsQO52VBGNrCoBGdfjdd8swGZF_ca5wAvzR0MvXyQyYtEpfj2851KT,피즈의 삶,4384335150,jungle,1987,2,7,2,7262,7581,19333,31,10,25911,8910,16,112,8,356,3,14,0,0.3333333333333333,0.3684210526315789
XgyQPPkzIwvevzyUxKdmZS2WyMhLMbWj4tpUxUXd4k_r,동준이가간다,4300431140,jungle,1587,2,4,13,6384,7048,18482,19,25,22050,9047,16,91,8,198,1,7,0,0.5172413793103449,0.18181818181818182
DwqyJerh63qDZBJYhHDkMMUyNt0TI-1o24J4WNjeG3DIoV7HBm8eo4KQ,탈주닌자 2타치,4300431140,jungle,1587,0,7,1,5944,8323,14300,15,12,26436,7030,43,89,4,290,0,6,1,0.045454545454545456,0.2413793103448276
W85EY9TTMluJiyWRkX3T1XJ5J-jjrlHCgnTTnfwWQO9X5aRsMxUV8GxM,권대두,4486859797,jungle,2427,8,11,14,29571,7936,39031,25,67,38367,14737,68,151,20,297,1,11,2,0.6470588235294118,0.3055555555555556
S9Cq7NpnjrZodTFKNN5slNnNK4aqEAe1p0-UmX8PgPYOf1Lz9PuBGVQ1,돈과 커피,4486859797,jungle,2427,12,6,10,31258,22782,50866,29,40,47886,16538,49,147,17,369,0,12,3,0.6111111111111112,0.17647058823529413
AwcQkyyqTEHhkW4X1I2TEVTN48cBUXEv2SF3v0vCiFgMyCjXpDOZ-EnH,루리야,4548740269,jungle,1218,4,7,5,7698,2885,7106,15,8,13256,6854,17,52,0,98,4,9,1,0.6428571428571429,0.21212121212121213
FllkAfPLL7QHU04kCHptNKvbQDvoT0mh7Q78XgSCAktd8yw,트롤링의정석,4548740269,jungle,1218,10,1,7,9288,7230,13244,18,14,17707,10555,26,126,16,360,3,2,3,0.5151515151515151,0.07142857142857142
wNQ2bZEFAHlwuAyatCzND24URFjAbpxGMi7-8zsHqPGf9r69JnDAVAJA,heominggo,4511585913,jungle,2261,15,15,11,30508,15128,28156,27,9,48324,16283,53,132,23,295,4,5,5,0.65,0.2777777777777778
teCXjJrxnbirkGXKHCK-mS06ZisaIANaobIusLnoS2kT7_8,재우는  똑땅해,4501323228,jungle,1474,4,4,1,7431,5667,16505,18,9,19299,8509,31,110,0,432,7,11,2,0.35714285714285715,0.2222222222222222
m86ykQiJtn7Mvrag9qZO6T6CIg_wnjId3LFIj0fp750lV-Y,트린고추바사삭,4501323228,jungle,1474,7,1,7,12851,14681,13301,9,100,21720,11322,32,155,12,392,0,4,1,0.7777777777777778,0.07142857142857142
ao9jst8DkMsvD80gcZeCdNZ_KgRfkwBjxxmwTlZ5Xzvs,그늘집안에곰탱이,4477983927,jungle,1385,10,3,10,10974,8270,19117,7,17,20656,9704,22,61,8,180,1,2,2,0.7692307692307693,0.2
_LfX0ZXNsoqwahG7B5J1pesGSatkGjip-whi-Xxdar4c-QMtY0PSLpbM,FOREST0610,4548613119,jungle,2510,12,8,20,51531,24247,38848,15,47,51394,18528,64,218,38,642,0,7,0,0.6956521739130435,0.18181818181818182
T0C1gXqFK4eFih1o_0B7Tp5Om3RZx6ttgMJfOH_UYZSZ7NY,냄새고라,4445474413,jungle,1675,3,6,5,8039,7256,9305,8,19,22925,8445,23,94,8,391,0,2,1,0.5,0.17142857142857143
V6yjNIB9MGRIEL9uDCGwE8mgCqNOUeEgGVnncLzif3O6S1V77MXpjie1,전엉덩이를먹어요,4445474413,jungle,1675,3,4,7,6485,16480,17578,12,11,28899,9300,2,143,12,207,0,7,0,0.2857142857142857,0.25
t9VWONtfeECDtXq0Rv1LEtUuHT3D7Lp8HgSoAebusZc-54U,머리쿵해쩡,4530894375,jungle,2043,5,6,15,14177,9835,39983,51,28,30428,12726,24,148,8,569,3,14,6,0.6060606060606061,0.2
YvVKjeB0luWTqYHBkqnWHQULZxQ1nJbIreL6-Sj69LMebYr34cTL7Mnd,걸어다니는잡몹03,4530894375,jungle,2043,5,7,13,10190,16109,31948,22,27,34046,10690,38,104,4,367,2,11,0,0.6,0.21212121212121213
r-7FQNW1pP_z1hbeAFrul4j-oC2Trd5NY8GIVqJO0aNH,대전형아,4531099601,jungle,2891,13,7,10,41091,17174,20695,23,23,52506,17585,77,164,0,396,4,6,5,0.5609756097560976,0.21875
hGIv8YWPEbScB5dAZX7mKxHWySidH9Nkuqos2-b5PnvthSo,오늘 밤에 너랑,4531099601,jungle,2891,11,9,5,23618,19100,29568,28,203,43971,18070,53,203,17,634,0,8,7,0.5,0.21951219512195122
vdBVb-erss9qybTUy08vTd9FiBfkMy7KnEqrSG2sExAh42A,회복캐리,4179107280,jungle,2314,13,11,10,31279,18320,33070,28,29,48122,16008,83,126,0,672,2,12,1,0.6388888888888888,0.2894736842105263
94D8w1Hwf8ElcLiWVeOBffA2zYOvmTKPhRx7-sDQhnlt,Action Bronson,4179107280,jungle,2314,7,7,9,22443,16227,28787,33,26,39208,14940,54,156,12,694,3,10,6,0.42105263157894735,0.19444444444444445
aiHnQg9E2CAefXiJ89SQDFptGeIWKzi4caTZg1x2wCS51_ISfaAWQHC5,곱게알려주라,4319796079,jungle,1261,2,1,3,2204,8006,19461,8,7,15836,7228,3,120,0,448,2,3,0,0.23809523809523808,0.125
BG9BgSJp8RcRuwco83I2_OW-Fnk50jGeIEWUGiowNDAQtq0,조지 부시 2세,4319796079,jungle,1261,0,4,1,4627,4889,8027,10,8,14630,5600,20,91,0,320,0,4,1,0.125,0.19047619047619047
oifdTfEiNLvZAva0Eaa8qvXThguIM-y-7rKK8kA7nmnBGzqAwItUB_K2,류텐가,4317326699,jungle,1734,4,3,11,7968,10446,21317,17,16,25510,10132,33,96,0,165,3,8,2,0.4166666666666667,0.21428571428571427
