account_id,summoner_name,match_id,position,playtime,kills,deaths,assists,totalDamageDealtToChampions,totalHeal,damageSelfMitigated,visionScore,timeCCingOthers,totalDamageTaken,goldEarned,totalMinionsKilled,neutralMinionsKilled,neutralMinionsKilledEnemyJungle,totalTimeCrowdControlDealt,visionWardsBoughtInGame,wardsPlaced,wardsKilled,killsRatio,deathsRatio
4DlBIMhxYLgBOgxvjDgljrNKDo8OS4UzgjhzYOOEmS834jaU0i3Gux33,못한다고하면울어,4506621708,carry,1897,4,6,4,21059,2268,12315,30,44,20481,13488,256,4,0,1008,2,11,6,0.5,0.1875
yus_E2kw9ExkPzf24JoTwl3tes02wRdvrOn7MdLhF_xm,울산노잼시티,4548005743,carry,1437,2,2,2,12133,1496,4134,26,17,10358,7951,181,0,0,99,2,8,4,0.4444444444444444,0.07142857142857142
AzWJ3md46By9oajEIuNGmLdKPBtQDdxI0np9GiesPMDSgo8, Kwon Gumayusi M,4527596507,carry,2252,8,8,9,32937,5872,12995,30,5,21919,15329,198,27,0,96,1,14,7,0.6296296296296297,0.2
iyGf3_0v5wpkj14_WfU7Tr2lrJ05RAe3TABaDp7JLSIX,내일자살할사람,4506422484,carry,1876,5,9,8,21673,6270,15487,21,1,23561,12271,225,5,0,15,4,13,5,0.48148148148148145,0.2647058823529412
PhcKbiTa64ilL4r2yU-Wy_ThGtFyZpXK-v4w8NQeg6PB,vilz,4506422484,carry,1876,11,6,13,33967,6518,19618,21,14,26781,15325,232,18,4,426,2,12,0,0.7058823529411765,0.2222222222222222
Kattzkd1cxfETd_FGqsYuP-msJ6uMo0Z2YaCthxhra71,김성수팬티,4548241373,carry,1249,1,3,0,12140,704,3533,18,36,9044,7185,150,0,0,603,1,7,3,0.16666666666666666,0.11538461538461539
CiCu7c0VI8BIghgixty-PKXWodqK9gsZ21w5yzJqewsmSg63imJdXqc4,전설 오공,4518286588,carry,2354,4,9,10,21661,2695,13438,25,48,25298,12915,210,12,0,790,3,8,6,0.3888888888888889,0.28125
xU4A0wu3NdYdd6T-BEbdIHRGBBv3FJNMBzhz12NnmnKLBEM,응암핵주먹,4450281188,carry,1899,4,8,6,21163,1684,11425,28,2,18223,12199,207,9,0,24,4,11,8,0.5263157894736842,0.2222222222222222
SStBxI8rmHNpj5rN_PfaiMy2JqTFa6YntmadB9JroMIOQP4,오빠가갱갈게,4450281188,carry,1899,8,3,12,29317,4360,24045,28,9,18838,14949,223,34,4,372,1,10,3,0.5555555555555556,0.15789473684210525
Jxt8SAurXWRTBRX1R4bbF4fPMRvrzAzyU8Y20FgO5tWBueM,jean genie,4459745283,carry,2132,13,8,11,31853,6367,20246,43,4,30749,17012,262,26,1,82,1,10,4,0.6153846153846154,0.20512820512820512
oowoGonv44587TPmmt13Tk-U6ucwhBc5jhPSIeZLIpeN,노형석형석,4501680416,carry,1584,11,1,16,33114,1854,6892,13,8,10040,13034,150,5,0,196,0,8,4,0.6923076923076923,0.06666666666666667
0AX84rg5ajNzkERs6IrfIeVZejDeTWfJqlSXUBY0_UKg,아늑한 밤,4501680416,carry,1584,5,9,4,8234,1625,9534,12,18,20993,9601,126,4,0,52,1,7,2,0.6,0.23076923076923078
AeXhP6XiVspJBM7GYSIEgdggFCJicGJzzceseKS4Uo-e,입대예정인사람,4546535656,carry,1462,5,1,2,9001,1692,3885,21,27,9245,10048,190,16,8,620,2,11,2,0.2916666666666667,0.1
nMTlsl9zEp4I5DryDAKJ7nm6C_3cU13CByNb5NAOe6UO7Qw,우헹신난다,4546535656,carry,1462,3,5,3,10408,1959,5929,18,0,12705,7808,159,4,0,1,3,7,4,0.6,0.20833333333333334
0MbuDW3X8lBLQ6Whm62C40XkMjYzCVmNvKsQyPo_6UhF,언 인,4307057833,carry,2216,7,5,11,24894,9637,14433,35,50,29748,15192,220,48,0,938,2,14,5,0.6,0.16666666666666666
-LiOfKN675brSaYSpVGbsjpjpj2JD_rj_qCXlyvZEsMhhIo,칼날B베인,4307057833,carry,2216,11,6,9,37316,3898,23871,38,18,19052,18423,264,28,0,101,2,14,8,0.6666666666666666,0.2
wzxuENEAaGG1q__o1oRBc01j6RZFSUZDA13Nh54-yUOjo20,aweefd,4541927646,carry,2307,3,13,12,22002,2539,11984,46,2,29138,11019,149,28,0,33,1,14,12,0.3409090909090909,0.2653061224489796
kv-RHE5WvU_KregRJPjzA3701kF-DwWSbMADDSiOOoby9PFUSbR4IoYo,1 love uzi,4542258421,carry,2246,12,11,15,31827,10142,38482,35,7,39294,16692,223,25,0,286,2,11,3,0.48214285714285715,0.2037037037037037
T6gI8xLPloRS4to7StklkF2V_sTyEqp65jk8bOEOapMz,qi fei qi fei,4542258421,carry,2246,8,11,26,29639,4308,17590,51,51,39876,16713,198,35,4,928,0,10,3,0.6296296296296297,0.19642857142857142
r9VplgtF5YSPiro7wJrKTxX6mblu3kQAFADxLoTlElGQ,N0 Chat All Mute,4542117046,carry,3129,9,12,22,65917,2957,16009,33,32,36916,19602,302,24,0,498,4,19,0,0.5849056603773585,0.19672131147540983
MXpjtXts5eZhDi5fURZ0bAoqCQ5qpKC57OH2cIp1rYdU,박쭈원,4540774119,carry,1306,0,6,4,6676,1220,5359,12,3,12074,6575,133,1,0,23,3,7,1,0.3076923076923077,0.24
u8VDI47workPOw-30Up6AT5ywZF_WfCSZ-Fkp7YL3lZ9xPXuecsL4ZiH,보고싶은밤하늘,4540774119,carry,1306,4,3,5,7320,2555,4719,16,9,12638,9754,177,16,4,48,0,6,4,0.36,0.23076923076923078
lVwobyeKGyTtnWfw1AHGp_-qznr6PXP3EPVlQTsN6p8-,도레미파솥라시도,4432495231,carry,1954,14,6,11,30051,2705,21260,27,11,26758,14769,176,40,8,153,0,8,4,0.5813953488372093,0.3157894736842105
