account_id,summoner_name,match_id,position,playtime,kills,deaths,assists,totalDamageDealtToChampions,totalHeal,damageSelfMitigated,visionScore,timeCCingOthers,totalDamageTaken,goldEarned,totalMinionsKilled,neutralMinionsKilled,neutralMinionsKilledEnemyJungle,totalTimeCrowdControlDealt,visionWardsBoughtInGame,wardsPlaced,wardsKilled,killsRatio,deathsRatio
R_J2iS7AtuejUk1VeVo1BLpSz63rJRFaURF1Ci849eha0M-m2mHqJkB6,탑차이내드림,4506621708,mid,1897,2,7,7,14870,8718,17893,20,8,31146,10272,183,11,0,209,3,8,2,0.5625,0.21875
zgKh2NVl3Ts0yiZiaCUe7jIaayW62EPcbYb5E9DPLh8,백수사령관배성훈,4548005743,mid,1437,5,4,0,7638,2640,5808,12,1,12983,8778,126,4,0,9,3,6,1,0.5555555555555556,0.14285714285714285
wFFQEyHek9wEDwfkcDtb1c7dZKnIxlz4CFHswbTsPIO4XMsLQn4mrFUW,AFTV 킹재,4527596507,mid,2252,5,6,16,28233,6360,14383,21,43,27883,17394,242,19,4,181,1,3,3,0.7777777777777778,0.15
hregGqYzv8kzc8E0W_iagTmA9rn8XtTwWDhQ_klJyteFjKc,비를 뒤집어쓰다,4506422484,mid,1876,9,5,4,17955,2004,12069,32,3,22934,14456,234,16,0,26,4,15,6,0.48148148148148145,0.14705882352941177
eJCRsFoT5R1aRPJxSOjM64MI6X83fJIqZuDbNm7aRKE9A9ViDARsnH3N,머리빠지는수험생,4506422484,mid,1876,5,6,8,15117,998,10693,30,13,16479,12052,205,16,0,201,5,8,6,0.38235294117647056,0.2222222222222222
-rgEtfeoRUlG82-u-6G1L62QU0M4P6EFmjYyV6BGeMGv,잘가꼬마야,4548241373,mid,1249,2,7,1,8729,2529,6785,9,15,15788,5882,111,8,0,56,0,4,2,0.5,0.2692307692307692
gLRNOpL4pNM2iGE0VbsDx1LekYATE2Nuf_XuaFsmpdq2FTQ,피플 선임 작업자,4518286588,mid,2354,12,8,10,52309,64499,44045,42,9,70317,19995,269,32,4,134,4,12,2,0.6111111111111112,0.25
TeJJrzVruR3Rl98PeLaoYGescWeWMYOcVfMe-gIDcxHajEA,본인인증서,4450281188,mid,1899,6,8,6,24872,2398,10437,30,24,20133,10303,165,4,0,54,6,14,5,0.631578947368421,0.2222222222222222
OzQmdpiawm8cF9nL67XaVwUbYRsffF2XBuRjU0iBRWEpbco,EFS,4450281188,mid,1899,7,5,12,20580,9088,54439,26,50,25517,13556,165,20,8,585,1,10,6,0.5277777777777778,0.2631578947368421
lhaJoW4LqixETnYoMSoC15EuxaeCGECBNqxol5IGdSwT5bRlkwxV_MH0,아무리 생각해도 난 너를,4459745283,mid,2132,11,10,11,30487,2348,19894,36,7,30522,14774,209,9,4,66,1,10,2,0.5641025641025641,0.2564102564102564
M9xbQVY9VLHB9f5S2UfeipNTIIY7jPHHRqSZ6LeY54sulD8,바나나에코,4501680416,mid,1584,12,1,6,17390,7999,13782,16,10,17810,13150,172,25,5,302,4,8,2,0.46153846153846156,0.06666666666666667
9Y2r82puHNnI4gm9N5oDDwn0L7l9udOh7uwTRR1laVrZmvM,똥챔장인v,4501680416,mid,1584,5,6,2,13223,9886,24937,21,18,30199,12025,205,15,4,156,1,6,3,0.4666666666666667,0.15384615384615385
7sOA7CsN6p_YraCJ1GTJ4ryPP7yi0mM28la_eFLn6iF52nBjqjhifKC4,마판Rainbow,4546535656,mid,1462,10,1,6,16690,1968,6918,17,17,9670,13686,210,37,5,165,2,7,3,0.6666666666666666,0.1
sRnPZoGCo9h8722sxflo34oUtkDQA6rLAxOthFaeqG2sSXU,폰허브 fan,4546535656,mid,1462,2,3,1,7608,846,4822,18,3,10722,7377,155,2,0,93,1,6,10,0.3,0.125
