account_id,summoner_name,match_id,position,playtime,kills,deaths,assists,totalDamageDealtToChampions,totalHeal,damageSelfMitigated,visionScore,timeCCingOthers,totalDamageTaken,goldEarned,totalMinionsKilled,neutralMinionsKilled,neutralMinionsKilledEnemyJungle,totalTimeCrowdControlDealt,visionWardsBoughtInGame,wardsPlaced,wardsKilled,killsRatio,deathsRatio
el_pEhfKgP3Rl74ywXz_i7OE6xq63XH6Dmtn2lWrvG0Tfgs,장난없는타압차이,4506621708,top,1897,1,7,2,15798,5782,24642,11,21,35114,10568,200,24,1,67,5,8,0,0.1875,0.21875
-yk94DwQ9NgEZUSEVGStcZleFAo76Hj13D4KY_ScOKckJeUK2_XNcYpj,cute kitten,4548005743,top,1437,0,7,2,9125,5753,9569,11,13,20220,6511,124,4,0,210,0,7,0,0.2222222222222222,0.25
kUH0pLYA4GhRJ9Exiukm0CJXNetnrCQifaZV9yjYA3VhYv6MGrwX7oI-,못된두꺼비,4527596507,top,2252,3,10,14,20435,2119,32951,26,41,32577,10345,134,1,0,566,4,8,4,0.6296296296296297,0.25
FDhZI0tptGb3f5w1FZ01RAZuy-Ps4vkSOF97gnVy9IYo,킬따고 펭귄스웩,4506422484,top,1876,4,6,4,11248,3575,26479,19,29,26427,10830,194,12,0,130,2,7,2,0.2962962962962963,0.17647058823529413
MY7zhjX3mqq9dDEm1BwH434jUPtsYUfl3gOqkkpk_2SAoCs,Master Top laner,4506422484,top,1876,4,6,12,20020,11927,47244,13,66,33986,11231,163,6,4,460,2,6,2,0.47058823529411764,0.2222222222222222
ged-7OPac8t1pdKTa5fluUAUA9rCQhP3zPW7CzLEOQF1gbA,Change khan,4548241373,top,1249,2,4,1,3581,1261,8933,9,6,14476,6163,119,0,0,32,0,5,2,0.5,0.15384615384615385
1hV6RxLZ-wB_RGAcYgzPmTEjN5lOsGQorI99d7fuP3-T9tM2pqllQiu0,구리시 불주먹님,4518286588,top,2354,13,4,5,38532,17081,65149,20,26,46752,19222,276,17,4,213,0,4,5,0.5,0.125
t7UqXtFd7effBDAGBMCXr8rgCJDDAO5Z-uA-Npu_SFsRS9cBhSPTEGmw,피지컬단계,4450281188,top,1899,4,9,5,18830,7565,22736,27,17,31897,11922,244,13,5,100,4,7,5,0.47368421052631576,0.25
-5eM2yIJrCIkR21DVOCE-rH2KpY3ONUv4ucglKLA_gZbiXI,파이끄욧,4450281188,top,1899,4,3,4,10219,3378,11419,9,30,14957,10150,153,4,4,450,0,6,0,0.2222222222222222,0.15789473684210525
KRRangcs4F0o6G9vw-DDvgmJJo9-hCQbCItPUEORTeUo,삐대하게생김,4459745283,top,2132,6,6,11,15619,3134,29908,14,23,32138,13206,213,12,0,234,3,6,1,0.4358974358974359,0.15384615384615385
Li_r-J2VDC2wA1Kpn9_dyv8YbLz-3SSdk5qCcLlS7yE-Y4JZnYdYDd-u,린바라깅꺄꺄,4501680416,top,1584,6,3,12,19233,3947,17407,20,37,21150,10784,169,8,0,309,1,9,0,0.46153846153846156,0.2
LlK04dOkZ5QUdDy3suu5MKGEfPjkPmvW2WEu4gKqGxtNN3MBrM-lfuiW,생선보다 비린년,4501680416,top,1584,2,7,3,12324,6536,33450,9,51,32264,7616,131,0,0,392,0,2,3,0.3333333333333333,0.1794871794871795
